"sim","N","beta0","beta1","q","avg_prev","fpr","ppv","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",2200,-2.245641,0.1549768,0.25,0.111605099912472,0.653776978417266,NA,-2.24685293151683,0.00124114725608558,0.155327371673368,0.00205323300295548,-2.24564184490955,0.00144335115756948,0.10190210019394,0.00198118584019315,-2.24667510738981,0.00244645714178223,0.15468718651151,0.00416661437552942,-2.24679778583239,0.00126686275353115,0.155287341466518,0.00205452344889847,0.653272417279317
"11422-2",2200,-2.245641,0.1549768,0.25,0.111956935725888,0.653508771929825,NA,-2.24541300791842,0.0012489170552606,0.15645655781504,0.00204060638934645,-2.24569889338544,0.00146312510079139,0.105546706557105,0.00198316745188969,-2.24842720745187,0.00252478483939453,0.160836366978156,0.00405262567287652,-2.24533154286906,0.0012702003619704,0.156764249224877,0.00205530902197479,0.651236768426107
"11422-3",2200,-2.245641,0.1549768,0.25,0.111432562372968,0.634790528233151,NA,-2.24491149115791,0.00122768122829577,0.151620609706417,0.00207422679549228,-2.24570094495663,0.00143408820585594,0.100382827070767,0.00198135388078827,-2.24809002133639,0.00246731553762486,0.154614695588976,0.004134541412395,-2.2453150320921,0.00125218891815593,0.15114921888736,0.00210098067358642,0.642189059666944
"11422-4",2200,-2.245641,0.1549768,0.25,0.111402087131167,0.618698441796517,NA,-2.24420550474359,0.00121817999168106,0.153316174477738,0.00208903383968692,-2.2452725202447,0.00142926385071902,0.0995947017207823,0.00198092193915938,-2.2443601003283,0.00243118997385324,0.155935213839598,0.0041839799475367,-2.24442502095917,0.00124370670999896,0.153229853887695,0.00212406756735801,0.621844784291186
"11422-5",2200,-2.245641,0.1549768,0.25,0.111463822002074,0.643306379155436,NA,-2.24669747072273,0.00123686478079534,0.153714767131477,0.00206187148503047,-2.24742332438628,0.00144564173838429,0.1028989984872,0.00198312679657883,-2.24625878961537,0.00244226563563651,0.153002269749088,0.00418379457080947,-2.24673317424897,0.00126292621608642,0.153339478129789,0.00207859871311619,0.645430101597172
"11422-6",2200,-2.245641,0.1549768,0.25,0.111364683984576,0.665076335877863,NA,-2.24708127915566,0.00122918828146924,0.156093120044209,0.00207302363144907,-2.24720665880904,0.00140411026936472,0.106735746225964,0.0019796256289787,-2.24892788320425,0.00245687540486729,0.152620984773731,0.00416473231463325,-2.24708743417163,0.00124530134527343,0.156073981845464,0.00208618520784417,0.66529520393305
"11422-7",2200,-2.245641,0.1549768,0.25,0.111487972796591,0.637037037037037,NA,-2.24412040373748,0.00122347942757896,0.152593626395951,0.00207914137645512,-2.24490604273437,0.00142237968157047,0.101323704561076,0.00197949332554537,-2.242935092806,0.00247817875573712,0.153491515170608,0.00410134310023964,-2.24458343046596,0.00125409262337552,0.151722024568326,0.00209337344637327,0.647050081390848
"11422-8",2200,-2.245641,0.1549768,0.25,0.111599711263294,0.64760147601476,NA,-2.24445647960248,0.00123017757650439,0.153604722173431,0.00206844085930512,-2.24345392174516,0.00142463106124157,0.100231288335898,0.00197922438986352,-2.24610771772343,0.0024490236835963,0.157275746210283,0.0041650541385665,-2.24408546949637,0.00124828902562979,0.154146849601463,0.00209032576847674,0.640483302653286
"11422-9",2200,-2.245641,0.1549768,0.25,0.111553985630031,0.647166361974406,NA,-2.24563339597912,0.0012324570185485,0.154533915588692,0.00206475025351374,-2.24627000331552,0.0014317785748609,0.103908147632572,0.00197973302689355,-2.24698597737153,0.0024438184882743,0.158042378533984,0.00416736811033186,-2.24551329158999,0.00125257594185204,0.154920293688799,0.00209541290378468,0.644024985981495
"11422-10",2200,-2.245641,0.1549768,0.25,0.111564984514912,0.646072374227714,NA,-2.24722105957518,0.00124390282481611,0.154495085916632,0.00205076156044621,-2.24719293521189,0.00145912750231272,0.102441972645179,0.00198446505827011,-2.24537858875202,0.0024755425612063,0.150408509113948,0.00411944470582766,-2.24727727541539,0.00127325920832708,0.154238227044588,0.00205695156941348,0.647966574545139
"11422-11",2200,-2.245641,0.1549768,0.25,0.111582563362595,0.636609558160505,NA,-2.2452655175569,0.00123210331333065,0.15471292710924,0.00206606133948068,-2.24534836019434,0.00144208691058437,0.101366854476923,0.00198155133487696,-2.24755830950247,0.00245560107972496,0.156078779654564,0.00415598854617851,-2.24527519331358,0.0012540390196726,0.154186340433634,0.00209286307732703,0.638960616420995
"11422-12",2200,-2.245641,0.1549768,0.25,0.111602845220451,0.631625441696113,NA,-2.24527063125266,0.00123548210186343,0.153390628534059,0.00206029206751795,-2.24560847093196,0.00145716982313669,0.100213875577767,0.00198363258701177,-2.2426499174109,0.00243096043618312,0.145654326578798,0.00419427477929789,-2.24550361676596,0.00126274313084839,0.15292860101973,0.00206662621812924,0.636524070406666
"11422-13",2200,-2.245641,0.1549768,0.25,0.111361715137285,0.637627432808156,NA,-2.24529494895587,0.00122451642545669,0.152695012938971,0.00208059750879337,-2.24468450255678,0.00142164494360699,0.0988282753789928,0.00198086155384929,-2.24295305727202,0.00241013459077529,0.153871571351967,0.00422660618565775,-2.24484781050996,0.00124843859720276,0.152815480038755,0.00209237877068658,0.631397306140694
"11422-14",2200,-2.245641,0.1549768,0.25,0.111771335798007,0.65945945945946,NA,-2.24639489356791,0.00124347295889237,0.157176082237381,0.00204879702451791,-2.24776695840473,0.00144407185907429,0.10893818493311,0.00198048765640287,-2.24484449751151,0.00246435442676501,0.156276165189691,0.00412738495779559,-2.24632072541973,0.00126534986058474,0.157235262929561,0.00205964951941431,0.658256485367001
"11422-15",2200,-2.245641,0.1549768,0.25,0.111384131198584,0.653953488372093,NA,-2.24766478067882,0.00123233246758341,0.156905839975725,0.0020701167626648,-2.24721801626786,0.00142128160099956,0.104441961283631,0.00198121897973819,-2.24594530191129,0.002526476413085,0.154319265897957,0.00405002653772626,-2.24759594938098,0.00125186183897354,0.156841618245203,0.00208421623044439,0.653447623475016
"11422-16",2200,-2.245641,0.1549768,0.25,0.111457018528112,0.652892561983471,NA,-2.24525106950611,0.00123397714137978,0.150448037704035,0.00206559056835566,-2.24514376215904,0.00142837866738144,0.100551738390472,0.00198075236914769,-2.24618572051619,0.00248439662364302,0.14245271956726,0.0041219697213075,-2.245441413943,0.00125511237467183,0.149619023882995,0.00208005095710042,0.659338393479222
"11422-17",2200,-2.245641,0.1549768,0.25,0.111472211583204,0.651727357609711,NA,-2.24556376255827,0.00122915022382807,0.154312690432048,0.00207244337235157,-2.24666656609564,0.00141873897215615,0.105367913718334,0.00197997449089511,-2.2455817755151,0.00246944354039621,0.155754415973361,0.00412259455491226,-2.24598315652708,0.00125369204243443,0.1536047430555,0.00209399443780853,0.660444614756292
"11422-18",2200,-2.245641,0.1549768,0.25,0.111492118585354,0.655172413793103,NA,-2.24671350975804,0.00123141470735496,0.156970706378913,0.00206863222556628,-2.24617150779028,0.00141870052756772,0.104509555730554,0.00197965549655254,-2.24583236415101,0.00245170156922155,0.156628351453441,0.00415213551287095,-2.24636439160181,0.00125105680121972,0.15687920027058,0.00208193989759094,0.651190089134561
"11422-19",2200,-2.245641,0.1549768,0.25,0.111204694749107,0.642589118198874,NA,-2.24654352532215,0.00122438980493762,0.15292246933321,0.00208448050832522,-2.24661832178807,0.00141505110938277,0.101081514128652,0.00198218326761333,-2.24921348341874,0.00243591009326811,0.157131078760326,0.00420087734163395,-2.24619885511154,0.00124374882598472,0.15299572421246,0.00211823862767272,0.637745920954721
"11422-20",2200,-2.245641,0.1549768,0.25,0.111418281507417,0.656872037914692,NA,-2.24511481050625,0.00122612616939734,0.152675343090793,0.00207602164696804,-2.24467585281914,0.00140645537337401,0.101985440282318,0.00197895652798501,-2.24432756582438,0.00247362542123867,0.151403500437858,0.00411477616262604,-2.24452146065379,0.00124075641925746,0.152970157327799,0.0021068143903407,0.647714547559434
"11422-21",2200,-2.245641,0.1549768,0.25,0.111403207975429,0.644444444444444,NA,-2.24552518706264,0.00122820246138753,0.152836638108354,0.00207504032857746,-2.24476525702943,0.00142274821730141,0.0996581497533465,0.00198089619913378,-2.2467633558819,0.00248819283794846,0.154397603690037,0.00409959712813192,-2.24583951088725,0.00125084982103566,0.152673972108396,0.00208595706721392,0.649344185970664
"11422-22",2200,-2.245641,0.1549768,0.25,0.111957097613154,0.645048203330412,NA,-2.24473448810938,0.00124418204247842,0.15643578986929,0.00204490721693387,-2.24481942600804,0.00146298097038479,0.103810597531669,0.00198264495745457,-2.24829639569612,0.0024204339378514,0.164843617189951,0.0042151523951539,-2.24438277719968,0.00126639110256799,0.158211581068796,0.00206095165433863,0.633047900045018
"11422-23",2200,-2.245641,0.1549768,0.25,0.111946881755609,0.655693950177936,NA,-2.24412961696771,0.00124399338179167,0.154304056417763,0.00204478913922178,-2.24395630959391,0.00145029879124986,0.103500714528266,0.0019798958480808,-2.24411930767278,0.00247441320129888,0.153474060650055,0.00411179158924223,-2.24393420224273,0.00126492609111722,0.15506541118215,0.00205384413613296,0.649877412050079
"11422-24",2200,-2.245641,0.1549768,0.25,0.11148726132097,0.638586956521739,NA,-2.24492055067754,0.00123140531567707,0.151451737471276,0.00206831493168081,-2.2441644875763,0.00143776985054505,0.09789692372666,0.0019815320236067,-2.24277274537343,0.00241417678105822,0.147171164015722,0.0042278474508135,-2.24473596054817,0.00125579957754593,0.15118757963152,0.0020933679806996,0.637477994040313
"11422-25",2200,-2.245641,0.1549768,0.25,0.111798191716938,0.645075421472937,NA,-2.24520149967573,0.00124038507777319,0.155550889849457,0.00205172252589459,-2.24547777169428,0.0014533896140866,0.10356151906176,0.00198176738072685,-2.24891504523304,0.00251586782578088,0.156134741641805,0.00407282336670013,-2.24552804782128,0.00126897018782203,0.154940851932951,0.00205253127504966,0.651801178693179
"11422-26",2200,-2.245641,0.1549768,0.25,0.111333856251792,0.631483166515014,NA,-2.24735129825035,0.00122875679271029,0.156665689519904,0.0020758948311835,-2.24806670385019,0.00143759746841746,0.103132347404764,0.00198331204128153,-2.24346751466628,0.00246059164361457,0.150933367766065,0.00413591801961767,-2.24735000576161,0.00125154687888718,0.156027389887302,0.00209029865299833,0.63433193112495
"11422-27",2200,-2.245641,0.1549768,0.25,0.111502550355849,0.646846846846847,NA,-2.24687663985929,0.00123759778650902,0.154721551822941,0.0020599678205802,-2.24738534789311,0.00144356469554332,0.10367042204628,0.00198233669856102,-2.24652186478195,0.00245436577184421,0.152619758636558,0.00415903955140535,-2.24722671154309,0.00126286318905002,0.15465587614331,0.00206451762710376,0.651465546321805
"11422-28",2200,-2.245641,0.1549768,0.25,0.11123987039346,0.628545288197621,NA,-2.24606181977689,0.00122433197634107,0.151938992692793,0.00208256248972936,-2.24536252055383,0.00143074651214448,0.0968029636276572,0.00198252818652228,-2.24461952636615,0.00243505052410771,0.148113593321571,0.00419179908332063,-2.2459262927726,0.0012471853699809,0.151985739394702,0.00209951860512668,0.626545272409181
"11422-29",2200,-2.245641,0.1549768,0.25,0.111730659664703,0.659420289855073,NA,-2.24565368667366,0.00124106887186914,0.154951702237842,0.00205175204398439,-2.24587124576443,0.00143852087383194,0.105202241522487,0.00197966983213688,-2.2474555041662,0.0025296190729941,0.156419913139862,0.0040445804022303,-2.24605915662108,0.00126555776242016,0.154004208764205,0.00206131760875238,0.668887617468483
"11422-30",2200,-2.245641,0.1549768,0.25,0.111469805493008,0.657303370786517,NA,-2.24526893088317,0.00123049601234576,0.152564674712794,0.00206989821164116,-2.24517611624048,0.00141538268267243,0.102728374463591,0.00197942622901201,-2.24561302727096,0.00249634332706914,0.150219636388273,0.00409130742228335,-2.24588865659796,0.00125542462281942,0.15233689767358,0.00207184144513554,0.666653887190978
"11422-31",2200,-2.245641,0.1549768,0.25,0.111825962292923,0.665166516651665,NA,-2.24586426010272,0.00124620057545225,0.155652122992771,0.00204468285448489,-2.24603434832996,0.00144367902375209,0.106489198161284,0.00197994301380461,-2.24434430287446,0.00251089029383436,0.155812615881671,0.00405595527534515,-2.2455250977739,0.00126574657271254,0.156133358309905,0.00206099583182349,0.65874586034793
"11422-32",2200,-2.245641,0.1549768,0.25,0.111826532131339,0.647636039250669,NA,-2.24664228956565,0.00124085773122561,0.160367178714163,0.0020500627358478,-2.24597737625488,0.00144995880683652,0.105485755081647,0.00198060062795652,-2.24698259750997,0.00251104848621111,0.160833428626646,0.00405689119753988,-2.24611571588878,0.00125931076391435,0.161242624351401,0.00205948260729673,0.637531633046653
"11422-33",2200,-2.245641,0.1549768,0.25,0.111743501339573,0.661791590493601,NA,-2.2458208196875,0.00123956628157623,0.156566697951563,0.00205285181595531,-2.24610978797676,0.00143212796028062,0.106879349546644,0.00197843088285674,-2.24674505304093,0.00246954167388855,0.156715202671047,0.00412370514931318,-2.24590555770993,0.00126132818942812,0.156265967072494,0.00206347494830189,0.664270454479266
"11422-34",2200,-2.245641,0.1549768,0.25,0.111565084330935,0.615929203539823,NA,-2.24521679666756,0.00122774686676663,0.156189580731682,0.0020725196896471,-2.24486362192148,0.00145537846410038,0.0983667984931069,0.00198402789517774,-2.24699112899497,0.00238312096686727,0.164727600208772,0.00430147990690045,-2.24509430311514,0.00125960113338453,0.157128981840815,0.00209046215670374,0.61040269499057
"11422-35",2200,-2.245641,0.1549768,0.25,0.111452622544153,0.664461247637051,NA,-2.244659048832,0.00122987979506764,0.150197738292877,0.00207059210370974,-2.24402284132636,0.00140759745515116,0.100992200676844,0.00197897179491741,-2.24597369614929,0.00242605472843244,0.151559891394585,0.00420654723426921,-2.2444907178905,0.00125084486497837,0.1499322507595,0.00209256754797489,0.663490103995787
"11422-36",2200,-2.245641,0.1549768,0.25,0.11155733038974,0.639857015192136,NA,-2.24633501909223,0.00123705693327294,0.15495385729938,0.00206002516220286,-2.24614873957028,0.00144935555705938,0.101554348253775,0.00198299399606752,-2.24937968333631,0.00249747970278536,0.159197544654919,0.00409073403057013,-2.24667146336462,0.0012644719663809,0.154621264482633,0.00206586345582381,0.645327426242611
"11422-37",2200,-2.245641,0.1549768,0.25,0.111513528261204,0.644605621033545,NA,-2.24589387884886,0.00123404937986018,0.153651867589693,0.00206396592494549,-2.24652410689046,0.00143820991572656,0.102873687133118,0.00198123014275288,-2.2440849556515,0.00248103725931507,0.15036582745336,0.0041062046692834,-2.24678955068621,0.00126154459449979,0.153449812268612,0.00207439807218644,0.656909300897159
"11422-38",2200,-2.245641,0.1549768,0.25,0.111730379305872,0.648351648351648,NA,-2.2443006296047,0.001231898515574,0.155337863920039,0.00206305488098662,-2.24429106782864,0.00142945366988394,0.103401029265893,0.00197826666598481,-2.24377861620122,0.00244057765088247,0.158849398784292,0.00416136411755875,-2.24421398480948,0.00125306092991247,0.156125579168792,0.00209415271647663,0.64365884459159
"11422-39",2200,-2.245641,0.1549768,0.25,0.111415868783985,0.644736842105263,NA,-2.24521532080849,0.0012235041599548,0.154282029396352,0.00208113309721691,-2.24454381579383,0.00141207120708468,0.100791306255271,0.00197976073753511,-2.24438969844376,0.00243215342195276,0.157186708522857,0.00418579396886345,-2.24479455687126,0.00123635217091123,0.154896384177303,0.00212119783727294,0.63645721822072
"11422-40",2200,-2.245641,0.1549768,0.25,0.111570232131007,0.646125116713352,NA,-2.24360513071616,0.00122493532162888,0.152391279227696,0.00207575520071005,-2.243926202401,0.00141606372296904,0.101674679664234,0.00197842284785962,-2.24333717508058,0.00251656893026225,0.150580595143147,0.00405308479678114,-2.24376569091121,0.00124458420135931,0.152012467503854,0.0021042487474537,0.649976022417517
"11422-41",2200,-2.245641,0.1549768,0.25,0.111333262163112,0.651588065447546,NA,-2.24456541133482,0.0012198057271532,0.152196952749844,0.00208824954383617,-2.2442353480986,0.00139681243826351,0.101122718311215,0.00198015822774219,-2.24250081715775,0.00242679067880699,0.148819862283597,0.00419995666716389,-2.24445950686167,0.00124087682505778,0.151943325862504,0.00211010567617339,0.651258618894106
"11422-42",2200,-2.245641,0.1549768,0.25,0.111711181443082,0.648599819331527,NA,-2.2447933892738,0.00123652062274976,0.15412423234287,0.00205818865931543,-2.24401432795865,0.00143928509631769,0.101128941812434,0.0019801576421115,-2.24335148846791,0.00249022859591325,0.150102193300352,0.00409098992157409,-2.24487276075148,0.00125728654287599,0.154215950321725,0.00207057407069194,0.649209837756512
"11422-43",2200,-2.245641,0.1549768,0.25,0.111216059084131,0.625698324022346,NA,-2.2460844847073,0.00121851733232199,0.154571600718812,0.00209110491891356,-2.24693423560075,0.00141990989366409,0.101208746950458,0.00198125375345969,-2.24772785226772,0.00245557146882322,0.154084997296009,0.00415381508889122,-2.24632434868762,0.00123603672048776,0.15451778719757,0.00212774512964765,0.628955297440737
"11422-44",2200,-2.245641,0.1549768,0.25,0.11146271410316,0.63963963963964,NA,-2.24719810082794,0.00123447434745794,0.156232008808457,0.00206402597525172,-2.24753514579645,0.00144359472474041,0.103323822658453,0.00198233085038253,-2.24246869488569,0.00249739382568227,0.144950067684933,0.00407910771469076,-2.24702491631422,0.00125369908391222,0.156184728382585,0.00207498686830628,0.637674068928505
"11422-45",2200,-2.245641,0.1549768,0.25,0.11125381577346,0.633828996282528,NA,-2.24671459963064,0.00122344829697594,0.155291107230702,0.00208494136839316,-2.24614013621245,0.00142115824103343,0.10012962409892,0.00198210881583452,-2.24422864110191,0.00245521628412451,0.155123028252691,0.004146282985308,-2.24693898939558,0.0012459969633042,0.155225725073853,0.00210145754745014,0.637123695785376
"11422-46",2200,-2.245641,0.1549768,0.25,0.11174963874329,0.651098901098901,NA,-2.24377288284478,0.00123307989069163,0.153604721037641,0.00206201641384654,-2.24206929540379,0.00142834361622052,0.0993600832719723,0.00197840464064829,-2.24440680595504,0.00247453434697415,0.155022496662679,0.00410880162890828,-2.24369166825045,0.00125634554273393,0.153726546362896,0.00207587162807779,0.649614960427524
"11422-47",2200,-2.245641,0.1549768,0.25,0.111590890266,0.635242290748899,NA,-2.24532081100575,0.00123832726386567,0.152010418714932,0.00205790325880971,-2.24511293885878,0.00145928766977351,0.0988069127068465,0.00198464641305697,-2.24878361208894,0.00250021811757247,0.161399537884406,0.00408098304390358,-2.24593000888031,0.00127376895069664,0.151524415205979,0.00205879203496159,0.64509936878975
"11422-48",2200,-2.245641,0.1549768,0.25,0.111684247336921,0.642290748898678,NA,-2.24485210481255,0.00124122947107239,0.151443700940591,0.00205241739517136,-2.24488787058064,0.00145850048681176,0.0999684711409299,0.00198359956031955,-2.24508798706657,0.00246921004926339,0.153463621070238,0.00412497942996855,-2.24423291562172,0.00125823018504681,0.152539144952419,0.00208578953447684,0.629570909492368
"11422-49",2200,-2.245641,0.1549768,0.25,0.111229455155477,0.631336405529954,NA,-2.24740121064384,0.0012245457841787,0.15598552935262,0.00208232095685488,-2.24771015917321,0.00142759385101273,0.101880001993148,0.0019822342936173,-2.25057818139648,0.00245437323984171,0.155620086903085,0.00416476341626734,-2.24848053358838,0.00125299092754065,0.155318285142511,0.00209783823695535,0.648095013660135
"11422-50",2200,-2.245641,0.1549768,0.25,0.111334750217423,0.62262443438914,NA,-2.24738966112954,0.00122592258234938,0.158047626849593,0.00207932305027938,-2.24742407601236,0.00144036116232938,0.101384808508255,0.00198336041551774,-2.24309912014332,0.00243341352377065,0.149918091862758,0.00418498342147049,-2.2474156846686,0.00124850356149936,0.157732077781664,0.0020953370003528,0.624341354273142
"11422-51",2200,-2.245641,0.1549768,0.25,0.111412077406324,0.629061371841155,NA,-2.24740929575321,0.00122951347751667,0.158197254934248,0.00207255411449079,-2.24672811450857,0.0014417092085366,0.101126867619961,0.00198284407687484,-2.24973047828129,0.00245829296258802,0.15897030263106,0.00415792948576243,-2.24742017606273,0.00125141630852272,0.158275898079291,0.00208514033517751,0.629006022544148
"11422-52",2200,-2.245641,0.1549768,0.25,0.11150430820454,0.635773864689527,NA,-2.24452844039872,0.00122360672174074,0.154731776083808,0.00207942181519491,-2.24350066167862,0.00142109363816039,0.0991858648640728,0.00197960663701521,-2.2443163107791,0.00239230945858472,0.152404144750807,0.0042817426093232,-2.24434215753737,0.00124367346429212,0.155826506211804,0.00209936627653824,0.628519273758382
"11422-53",2200,-2.245641,0.1549768,0.25,0.111346257359998,0.665365853658537,NA,-2.24553488775535,0.00122227068662686,0.154340833042746,0.00208417454424571,-2.24538104151606,0.00138921006445388,0.104974604030229,0.00198027966525194,-2.24599187156265,0.00244676475190396,0.160302443753217,0.00415776158756145,-2.24509632385841,0.00123932139818057,0.154326027211701,0.00210809296892202,0.659473763121369
"11422-54",2200,-2.245641,0.1549768,0.25,0.111729233272948,0.664825046040516,NA,-2.24553736872158,0.00123841841417737,0.155801882630933,0.00205445941652935,-2.24637693864331,0.00142691643600248,0.107866902120254,0.00197791085901782,-2.24642302490206,0.00254576519529298,0.159741130573333,0.00401775788531037,-2.2461944240756,0.0012581055198348,0.156158616812442,0.00207075581164164,0.671619285678294
"11422-55",2200,-2.245641,0.1549768,0.25,0.111883904501954,0.670250896057348,NA,-2.24625981740525,0.00125078065850019,0.156386250683093,0.0020392709709227,-2.24624940111166,0.00144762487236698,0.107487136810219,0.00198043176242468,-2.24664844598999,0.00251243511402237,0.156343693926354,0.00406567979258201,-2.24589886682645,0.00126689619018201,0.156814166929343,0.00205420811858089,0.663999264149574
"11422-56",2200,-2.245641,0.1549768,0.25,0.111310685135342,0.633616619452314,NA,-2.24335831515241,0.00121643118773931,0.149262790329377,0.00209464009881214,-2.24320232698805,0.00140804527345654,0.0967742422225151,0.00198068609183482,-2.24258777910807,0.00249457939202559,0.151597965499902,0.00407395610741474,-2.24369862266358,0.00123779538838792,0.148556446623411,0.00212794728766842,0.641408772264231
"11422-57",2200,-2.245641,0.1549768,0.25,0.111649432851034,0.652739090064995,NA,-2.24542172552117,0.00123068885730111,0.157360152004744,0.00206656848878686,-2.24514770932538,0.00142073351939533,0.104936072573117,0.00197829783089933,-2.24618763355529,0.00245911785496445,0.163748606774673,0.00413021209567306,-2.2449222575134,0.00124371146730962,0.158622643537132,0.00209709526584317,0.640758171110548
"11422-58",2200,-2.245641,0.1549768,0.25,0.111283821155284,0.625583566760037,NA,-2.24497414771187,0.00121676522578834,0.153580546807428,0.00209319855676073,-2.24458067498466,0.00141614460835891,0.0980212468477233,0.00198064192636159,-2.24529067785553,0.00246460134419267,0.152394799524505,0.00413224832844963,-2.24527943001703,0.00124079347686,0.153951386915185,0.00210491669180687,0.62781308764227
"11422-59",2200,-2.245641,0.1549768,0.25,0.111744003733196,0.64769647696477,NA,-2.24470490643527,0.0012360991713218,0.154898069098059,0.00205710483997936,-2.24441748952138,0.0014394832991455,0.102536367321182,0.00197939994557696,-2.24381770113046,0.00249042160358617,0.15258710491511,0.00408872366850858,-2.24490469018413,0.00125730142271902,0.154708349897126,0.0020594409902211,0.651116280012851
"11422-60",2200,-2.245641,0.1549768,0.25,0.111432401311452,0.635049683830172,NA,-2.24709009695217,0.0012320257440822,0.156544359846268,0.00206852038638915,-2.24892988027945,0.00144314979591454,0.105729201554023,0.0019828187084924,-2.24624715642396,0.00250000700443079,0.152659448737934,0.00408102619987025,-2.24743362270593,0.00124922554980212,0.156200400788254,0.00209519646075935,0.640895104379023
"11422-61",2200,-2.245641,0.1549768,0.25,0.111381234418331,0.648798521256932,NA,-2.24817241167779,0.00123197425862334,0.158570139970733,0.00206898570655878,-2.24910673789862,0.00142642130679446,0.107555420194282,0.00198087897309148,-2.25212665608825,0.00248006811545955,0.161799861379671,0.00412153902642453,-2.24870431594454,0.00125467790562649,0.158285598880108,0.00208190673075309,0.656835437892601
"11422-62",2200,-2.245641,0.1549768,0.25,0.11104082093623,0.623955431754875,NA,-2.24655237167721,0.0012190957794286,0.151333323349769,0.00209466063350765,-2.24695444307738,0.00142222000796312,0.0979118610060789,0.00198349613166024,-2.24519613350072,0.00245614924548694,0.150412970845479,0.00415034417531227,-2.24684195497129,0.00124498513368221,0.150583198370523,0.00212563871919387,0.631016251495249
"11422-63",2200,-2.245641,0.1549768,0.25,0.111344281866985,0.648975791433892,NA,-2.24754580710025,0.00122953676815038,0.156886181831424,0.00207401940099878,-2.24779452109604,0.0014205688018066,0.105037884913043,0.0019811535837032,-2.2477692521129,0.00250559596189032,0.156682080726367,0.00407579533986177,-2.24772642954401,0.00125119441721676,0.15707452107463,0.00208020304281036,0.650275132241946
"11422-64",2200,-2.245641,0.1549768,0.25,0.111328793909416,0.637465051258155,NA,-2.2463145938907,0.00122349955457026,0.155653104478944,0.00208243699617109,-2.24480885428879,0.00141787586673324,0.0990565384396352,0.00198072101161652,-2.24667655357416,0.00242160480501333,0.15130698553085,0.00422246109597667,-2.2457044677588,0.0012407075097261,0.155928138301075,0.00210553272241929,0.628543504137999
"11422-65",2200,-2.245641,0.1549768,0.25,0.111286079717057,0.629017447199265,NA,-2.24755958619836,0.00122510257642802,0.157984103741711,0.00208133118383462,-2.2462996270779,0.00142965529647905,0.099873538322268,0.00198237821804392,-2.24558229863694,0.00239877046825303,0.155450872889561,0.00426427238938938,-2.24692242433272,0.00124455728062601,0.158666684951827,0.0021031518426653,0.618234328316251
"11422-66",2200,-2.245641,0.1549768,0.25,0.111399777142668,0.642009132420091,NA,-2.24698264435978,0.00123156033121439,0.155422307325725,0.00206925065744868,-2.24725626456976,0.00143347510994214,0.103061257609141,0.00198151658402401,-2.24739268770235,0.00246050955605644,0.151150220085186,0.0041506971896268,-2.24696353994061,0.00125636075195589,0.154776777452312,0.00207446547888048,0.644714184053364
"11422-67",2200,-2.245641,0.1549768,0.25,0.111450390596291,0.63849765258216,NA,-2.24482979438812,0.00122118112193245,0.155321764350479,0.00208418909447748,-2.24571561539514,0.00141384278819984,0.103666365547954,0.00197960325532123,-2.24562350485392,0.00244320591624808,0.152147952237805,0.00417426947696098,-2.24478717514592,0.00123863587801739,0.155321777420027,0.00211599885092669,0.638083764477776
"11422-68",2200,-2.245641,0.1549768,0.25,0.111561004112388,0.642985611510791,NA,-2.24667579947613,0.00123678822367588,0.156176989490712,0.00206053629549608,-2.24606553529764,0.00144480720279068,0.102001920155439,0.00198230669377482,-2.24987326909421,0.00246681257711531,0.157526283334094,0.00414129058180177,-2.24669567443558,0.00125832677133772,0.15572473539033,0.00208209900550938,0.645232865083604
"11422-69",2200,-2.245641,0.1549768,0.25,0.111782201055645,0.658318425760286,NA,-2.2456459262092,0.00124455200411044,0.154648088175258,0.00204626519365968,-2.2454705679746,0.00144770819948997,0.104117816131459,0.0019804732972812,-2.24326179681272,0.00247585336738107,0.152935130476183,0.00410447264241634,-2.2454914119117,0.00126557387901986,0.155214531485135,0.00205508517327945,0.653861880304234
"11422-70",2200,-2.245641,0.1549768,0.25,0.111514492698205,0.64037558685446,NA,-2.24329524275775,0.00122116555581417,0.152167167215331,0.00208378783901848,-2.24391017091353,0.00141273045224348,0.101269027187149,0.00197934057168621,-2.24381344576552,0.00245501641150216,0.152635298519904,0.0041489044191847,-2.24366855629931,0.00124918841631573,0.151128686663547,0.0021071830615175,0.650144095833685
"11422-71",2200,-2.245641,0.1549768,0.25,0.111344709182745,0.641804788213628,NA,-2.2465682803825,0.00122896370365907,0.154131387951487,0.00207438971418717,-2.24690309229879,0.00142770149248546,0.102248300472791,0.00198157520467102,-2.24740431495913,0.00252375547102708,0.158083601767877,0.00404536003273847,-2.24653602957464,0.00124838974478211,0.153986814825843,0.0020945628264842,0.642068187245869
