"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"11422-1",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.608974358974359,0.112838621820529,0.483542319749216,-2.27718826515895,0.00154880520565864,0.175838075526052,0.00197261343986724,0.144021113662661,0.0061901992807093,0.348468762217258,0.0662785820049571,0.474786031390103,0.356099896037347,-2.27918310996882,0.00204515313385859,0.109655835264614,0.00219877213719107,0.156961022155919,0.00618884083132981,-2.27341160330543,0.00511249320922007,0.171080637925346,0.00622834209851363,0.148227680552972,0.0203629913056796,0.601140798427978,0.217174828363871,-1.23486920995991,1.09623527919071,-2.2773732286512,0.00167202638665811,0.175832557961401,0.0066815499308522,0.146595673418415,0.00195227072560881,0.355707071081029,0.0697428299202922,0.376222687204032,0.364522582929889,"Converged",""
"11422-2",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.532467532467532,0.112482369456261,0.502321981424149,-2.27957315917559,0.0015667716019365,0.176810167705383,0.00197870722125545,0.151881354788342,0.00661551080115376,0.29455939976009,0.0657683992843236,0.387598486061888,0.38786448194911,-2.28027006906299,0.00211443598457066,0.10630349306186,0.00222540918975176,0.161780611780707,0.00664588958232018,-2.28200904667513,0.00481523888059035,0.171004349065456,0.00635473982442119,0.175134269275708,0.02343624755868,0.0985077062462007,0.207167774017233,0.299048270931499,1.23234738667872,-2.27889604045472,0.00167886556208402,0.176716869532469,0.00757515251824456,0.148329102598032,0.00195900710455965,0.27261628513042,0.0688909572011807,0.526357464254791,0.408516961724589,"Converged",""
"11422-3",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.593333333333333,0.11256006249011,0.492283950617284,-2.27734538163672,0.00154356847484046,0.177096544580984,0.00197725947926913,0.143280533289203,0.00664408891373522,0.252021621232224,0.0660499758329292,0.923797071169447,0.400664789536849,-2.28361130988457,0.00207488620414032,0.112548856643784,0.00220648774056437,0.167441102147978,0.00664899171324778,-2.28424737419569,0.00482146297792043,0.196763627523632,0.00626061047863026,0.127316377024599,0.0213023835783969,0.235849845335005,0.210869063242558,1.41101444135929,1.33995863215894,-2.27701153579224,0.00168226365110321,0.177615249305028,0.0075800525223745,0.136313151689813,0.00196235950606866,0.228563734344512,0.0704185059245585,1.22887005949199,0.439832043131664,"Converged",""
"11422-4",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.543624161073825,0.113035932327471,0.494719740048741,-2.27582793614661,0.00157123435287469,0.174763287698136,0.00196649961505065,0.127708484642711,0.00649260993223417,0.404203112252298,0.0658069584561069,0.545742803861143,0.373559924534305,-2.2781882042242,0.00210271885224499,0.111702296318974,0.00223971305729549,0.142526475026023,0.00649645432656693,-2.28192171721458,0.00491937240777543,0.183944572714642,0.00635493346138098,0.139070401559676,0.022484053038309,0.0692699162611588,0.222556706603441,0.914164791135368,1.30628225697806,-2.27587295452972,0.00172734513603639,0.175115869803229,0.00784739994781375,0.130770168700151,0.0019454984077349,0.401699624623925,0.0700050287375935,0.420597248416545,0.391722637457239,"Converged",""
"11422-5",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.64,0.113204533604727,0.482619240097009,-2.27745342294157,0.0015620748932422,0.175055882562352,0.00196528652721493,0.151149429153174,0.00610327945355331,0.419782968492082,0.0660716072892541,0.512163793244137,0.36137808743013,-2.27997048325138,0.00207209382319665,0.112913337482074,0.00221795676220217,0.164238683347631,0.00610145788976657,-2.28579004309775,0.00485493117700283,0.174509547914418,0.00626168013835993,0.177754264682391,0.0201475455219103,0.452470253055808,0.220506630605844,0.990456147898248,1.16510569523981,-2.27791299934353,0.00167943186759425,0.174564067829876,0.00701606376236347,0.153012348025815,0.00194565580902951,0.443743869443855,0.0700709158447497,0.440381597244909,0.380681950646875,"Converged",""
"11422-6",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.61038961038961,0.112611254848974,0.488317757009346,-2.27662572304795,0.00156198623247851,0.174635087180482,0.00197711464692904,0.134730039263719,0.00628814464273918,0.351776297690845,0.0655668976378903,0.245102818113882,0.362281415897246,-2.2801637056585,0.00208055901638558,0.110883443961852,0.00220815340079535,0.142418754520032,0.00630991901048894,-2.27398120753077,0.00508969182602328,0.165264528431045,0.00624968477788829,0.120782213895509,0.0208145274152858,0.467201165464855,0.214624714382358,-0.155767372443752,1.16562702655361,-2.27821665330798,0.00171131328820781,0.174480167573314,0.00708728228963404,0.137208382619138,0.00195127221563296,0.405996545150471,0.070030022850177,0.1707252043665,0.38157143829453,"Converged",""
"11422-7",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.569620253164557,0.112760300793895,0.486614173228346,-2.27765446238526,0.00155409991671718,0.174292896274854,0.00197208927904523,0.139360353752644,0.00594543155018892,0.3250500219407,0.0660824931982732,0.721135285732049,0.35848067663697,-2.28104320543609,0.00207743661404952,0.109906351044005,0.00220988269820553,0.15712721121453,0.00595403326990986,-2.26489885664129,0.00483198914275561,0.162455623684474,0.00625968676834297,0.105403189122814,0.0211712795620358,0.221093751558078,0.204685779779965,0.516215849090722,1.11472348237231,-2.27689171201922,0.0016658386937332,0.174325925542716,0.00658152332221365,0.138935058510858,0.00195738603083207,0.300332288968111,0.0701914056714971,0.723193744509424,0.373036718514482,"Converged",""
"11422-8",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.615384615384615,0.11244844048966,0.491828793774319,-2.27891972267862,0.00154544626158348,0.173994496460718,0.00197790716708542,0.148322327609902,0.00623479659281109,0.307110762259769,0.0648125570535152,0.589812088866313,0.370726597464849,-2.28149124937264,0.00208134263572838,0.107536255975681,0.00221381805189352,0.164067716482105,0.00626598842344678,-2.27104312735777,0.00507643355585531,0.164758653496035,0.00622220647023618,0.134952823620888,0.0206452913350698,0.350545209174955,0.219264176832183,1.08428623315912,1.34231620956786,-2.27858078883936,0.00166084992920013,0.174435147742033,0.006951427113927,0.147332183384238,0.00196459055036698,0.289173017870384,0.0682623014227382,0.624518836379999,0.382404433445285,"Converged",""
"11422-9",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.67283950617284,0.112766079728968,0.506279434850863,-2.27870828739864,0.00152653059368191,0.177923155907616,0.00197261231088928,0.146762490753506,0.00583739629902137,0.340635497986555,0.0634601778457075,0.187602314289328,0.33540668841387,-2.27845498262076,0.00206982564340934,0.10731844169767,0.0022317720116967,0.152832777234021,0.00586393246664101,-2.28804392617502,0.00532632863596685,0.180556714528745,0.00622337819855678,0.214552560142546,0.0218933880828593,0.689205461966321,0.212730434517607,0.322312798099455,1.340124770034,-2.27844215923504,0.00164098109758952,0.177453707484213,0.00656535255922015,0.145186412182616,0.00195344740263491,0.338413456934893,0.0665731838123238,0.24727864557853,0.350562429456958,"Converged",""
"11422-10",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.58433734939759,0.113285757980095,0.477145148356055,-2.27679501612742,0.00158455468311949,0.178292201420426,0.00196746313391522,0.142279601704561,0.00608712617095397,0.465369364795682,0.0663153030108306,0.0496454932923918,0.357068822233604,-2.27609501336547,0.00208737916434375,0.112214652385985,0.00220786975274428,0.1436295070855,0.00611582357676647,-2.28611381393717,0.00532933334988665,0.192702957232048,0.00627810237470657,0.150077187953657,0.0223406590630087,0.600220036860133,0.210520155369072,-2.27518926744536,1.21348525646286,-2.27696325409177,0.00170663440815737,0.179008785437359,0.00690228156776977,0.146421581767248,0.00194904008718978,0.460581081450658,0.0697434535694807,-0.108736622550628,0.372506788368995,"Converged",""
"11422-11",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.59748427672956,0.113087866020624,0.512355848434926,-2.27857969171642,0.00157595812945866,0.175582666066178,0.00196559594149135,0.141895017644968,0.0064148889183707,0.347114749138943,0.0649878122715789,1.09946843135007,0.3978184094896,-2.28204330355351,0.00217523757522627,0.111900208985824,0.00228377840949465,0.168173677707384,0.00642525072115072,-2.2850798825183,0.00520624759488318,0.184441467554826,0.00627481732167361,0.15396826950709,0.0217574520968335,0.527406348243114,0.211602984930883,-1.2185777802809,1.24087387600916,-2.27724214459912,0.00170436947122669,0.176138024526197,0.00740087830038759,0.139554973170831,0.00194826930323494,0.297042165124281,0.0688390395196825,1.16410819352823,0.423524459036594,"Converged",""
"11422-12",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.604026845637584,0.112909965785282,0.47109375,-2.27728276900829,0.00154790625861652,0.17630222298015,0.00197290957627054,0.147035212131757,0.00591826590030275,0.39080569630194,0.0659420084461326,0.268266237262009,0.341455006352922,-2.27704841776442,0.0020233695588831,0.108680132887751,0.0021800387247715,0.153877556902979,0.00592049235306754,-2.27031530687663,0.0048633262860504,0.173726167252518,0.00625323544832661,0.119945139056214,0.0182044417548937,0.478924636504411,0.208880295020535,-0.444180815016934,0.969137284114799,-2.27633286193191,0.00168022002265427,0.17634675802359,0.00698849388547652,0.143254940978534,0.00195140491793851,0.357469663234486,0.0695919370329584,0.408235047972002,0.360249002122068,"Converged",""
"11422-13",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.570469798657718,0.113019920168009,0.463570856685348,-2.28082705818292,0.00158557925817475,0.181535938335422,0.0019686240673101,0.14961660496997,0.00633798857150022,0.493247801217274,0.068403029395517,0.0263286443825056,0.387460258009888,-2.27813328007841,0.00205443652351708,0.113052936961345,0.00218945201473568,0.148935931822611,0.00633905341463504,-2.27121003357158,0.00495897111753765,0.1724915144251,0.00629872595159096,0.162210404174378,0.0206462539666091,0.270325092632385,0.211961152051647,0.124905720138876,1.23234897964364,-2.28018335597274,0.00167971585495527,0.181547514299063,0.0066996539105296,0.148239884025257,0.00194992858610164,0.471583847907385,0.07120462981654,0.0764538810879828,0.397044393165828,"Converged",""
"11422-14",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.583892617449664,0.112674845478815,0.48328025477707,-2.28006717685675,0.00157603987471927,0.176253516900162,0.00197337789909784,0.147178771126699,0.00640201337926983,0.470624095013062,0.0658069915929504,-0.257906694091268,0.356299759973168,-2.28001060620149,0.00206684097567734,0.111897921582508,0.00221244977746168,0.140795712647376,0.00641888906787499,-2.27354597606499,0.00477854152140034,0.169163388241192,0.00627850558212043,0.144142074336298,0.0175856557489665,0.407413772011357,0.205072353676537,-0.508194670942174,0.881712002269762,-2.2799820993954,0.00169628792954041,0.176307322595946,0.00725387136304147,0.148757749074826,0.0019565375896895,0.467114855630151,0.0692551572113709,-0.314050444013859,0.376913525865836,"Converged",""
"11422-15",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.610778443113772,0.112926794357521,0.501584786053883,-2.27923446184232,0.00158326433935808,0.181093920527349,0.00196977864719361,0.143544954446259,0.00672546284966766,0.380408919956461,0.0662173068590498,0.114393398287476,0.37135170579469,-2.2811417241263,0.00210895271487479,0.113972983982511,0.00223322902071222,0.147787773076387,0.00674181905166622,-2.28904208671721,0.00505583147207232,0.182333007850472,0.00624582485785561,0.160450207912068,0.0237460753892073,0.265999223150903,0.207745161376246,1.78252692485123,1.34834953936289,-2.28000520820733,0.001716717518154,0.181020831087098,0.00727190127970012,0.143449241982329,0.00194733870053464,0.405335246703178,0.0699599435468709,0.122728066849648,0.384497810150392,"Converged",""
"11422-16",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.614906832298137,0.112949095139577,0.489191353082466,-2.28016578108055,0.00156710905159894,0.178898993973411,0.00196852894249334,0.151538968160776,0.00634377147333027,0.386348489148732,0.0659909726769406,0.509384374084407,0.37512109830391,-2.28133937535419,0.00209027930670663,0.112222351519227,0.00222419004297084,0.164535626035083,0.00634854128758657,-2.27177232691821,0.00513830505352535,0.171136487606173,0.00621594005934714,0.127683242278646,0.0240199063679095,0.436257150044986,0.210894408159846,0.324049891194035,1.38731870233456,-2.27990585735774,0.00169377351495365,0.178769526229994,0.0070948017920872,0.149359351019414,0.00193941937846037,0.378535162285472,0.0693186044616991,0.599124207778307,0.397721921778379,"Converged",""
"11422-17",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.595092024539877,0.113348185411958,0.477440525020509,-2.27547159022968,0.00159766042233522,0.175644068039564,0.00196343965765821,0.130960321785028,0.00638530518183753,0.479619433766355,0.0672295701572261,0.37559073193101,0.376604182555975,-2.27618765442236,0.00210610087392325,0.113244431452335,0.00222280546496599,0.140446626264213,0.00640847793463685,-2.28082443604402,0.00511347337509669,0.179560807834726,0.00624032579232177,0.157177608495221,0.0198337589774581,0.384518607137779,0.205787524040176,0.00509959172758244,1.2327396726406,-2.27498332073998,0.0017319738053138,0.175664729274843,0.0069953108205338,0.130329542696991,0.00193914263081961,0.463682092893824,0.0710452887568496,0.390213777399955,0.390879461165299,"Converged",""
"11422-18",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.583892617449664,0.112697115504717,0.474603174603175,-2.27989340204262,0.00153981259826512,0.176091359361796,0.00197254707622291,0.15637307432195,0.00615187619370275,0.403325770197747,0.0645700967597663,0.477970810790477,0.374240378739508,-2.28155006993935,0.00204642625454322,0.111729377432761,0.00220261016661106,0.168540319220072,0.00616899974327278,-2.28550413806219,0.00497844630424134,0.187786115988533,0.00628856544037469,0.156967247114132,0.0248730370363855,0.152525147076593,0.217591713354829,2.05512019962706,1.60340530920597,-2.28097855994099,0.00165332346557479,0.176477709697014,0.00661225160862703,0.160159981955729,0.00194910535725513,0.43509978113397,0.0681221565093369,0.326924266843008,0.385746230770777,"Converged",""
"11422-19",2200,-2.2778541,0.1764544,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.572413793103448,0.112468348441395,0.478026214340786,-2.27993249561261,0.0015698296951032,0.179165386971718,0.00198013333432568,0.141469502169466,0.00633439540503955,0.356766212994997,0.0665282802401319,0.171331774171869,0.368934626837285,-2.27918158811539,0.00206462352908365,0.108352042176236,0.0021882719191187,0.14560290301351,0.00635494839509256,-2.27617580076047,0.00488902099867257,0.173857135712755,0.00635304196304645,0.119806963148539,0.0207936631769443,0.24891681761345,0.221269994922947,0.418810689480254,1.41741253289615,-2.27956609512489,0.00166782118676663,0.179305339237093,0.00687419945464572,0.139397764173336,0.00196500360575418,0.34158949708434,0.0693402232353477,0.251786894050377,0.383880888318766,"Converged",""
