"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",2200,-2.245641,0.1549768,-1,0.8,0.1,0.112027396752905,0.338653712699514,-2.24466385075562,0.00125446879780284,0.153466645185329,0.00203293049699892,-2.24487388990241,0.00154241255397238,0.0966153825477115,0.00200737244284995,-2.24694781908876,0.00394530148966558,0.15687765798216,0.00646740127074719,-2.24499447410482,NA,0.15314483242787,NA
"11422-2",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111435153199412,0.328694499668655,-2.24433279517474,0.00122527733014813,0.15132173704951,0.00207759396508138,-2.24467032252859,0.0014959114265822,0.0914694866325759,0.00199463554197593,-2.24155874308299,0.00390651708317222,0.152253814015423,0.00649585703043572,-2.244659188444,NA,0.151310584059058,NA
"11422-3",2200,-2.245641,0.1549768,-1,0.8,0.1,0.112022719328213,0.356551724137931,-2.24572695158373,0.00125073755955243,0.157872998382212,0.00203617805740453,-2.2463547795638,0.001559697513735,0.0974951233546452,0.0020142726818793,-2.2390694110693,0.00392779395023007,0.149829256043114,0.00645305616567669,-2.24575655250813,NA,0.15801529042548,NA
"11422-4",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111595152229547,0.360677966101695,-2.24667704089319,0.00124058648056674,0.155088381130808,0.00205462719454148,-2.24710420705299,0.001551926634976,0.0930608171198161,0.00201369733818262,-2.24248412538912,0.0039885599332498,0.148130569549383,0.00639622761737358,-2.24638567709106,NA,0.155266584672218,NA
"11422-5",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111600231609542,0.339473684210526,-2.24295417970017,0.00121951905453774,0.153840500538522,0.0020833934700391,-2.24297848947875,0.00150059292033507,0.090347338366811,0.00199488544811437,-2.24656893098963,0.00382902829793114,0.150668012573187,0.00668570798915152,-2.24251603756385,NA,0.154294495435939,NA
"11422-6",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111619766777454,0.342643051771117,-2.24732720005083,0.00124363254771901,0.156088898710715,0.00204998987651983,-2.24793388618715,0.00153437364467665,0.0964272654690183,0.00200638135565266,-2.25878404823598,0.0038862274964237,0.166805723827315,0.00661502112654782,-2.248175312101,NA,0.155762125261881,NA
"11422-7",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111888121258368,0.348805460750853,-2.24416543513828,0.0012434469751787,0.153325841456221,0.00204692434405058,-2.24514628212597,0.00154170659668906,0.0949188978765604,0.00200790352755181,-2.24673795962646,0.00385397098641515,0.151304064074523,0.00663510427031945,-2.24478534696858,NA,0.152390493550055,NA
"11422-8",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111766152566938,0.353658536585366,-2.2446336099541,0.00123880226889601,0.153850360822148,0.00205429214507667,-2.24481457725417,0.00154121216758355,0.0925003656513728,0.00200840594803037,-2.24391709620457,0.00405050767726146,0.152190547209623,0.00633675672708277,-2.24477500024332,NA,0.154396500677201,NA
"11422-9",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111527921027596,0.342336259284267,-2.24442167194191,0.00123687236909587,0.148305510797225,0.00206004121377451,-2.24494507241861,0.00152561327489766,0.0905565090760179,0.00200382129888681,-2.2346652882031,0.00379258739381838,0.140587287706279,0.0066914927906636,-2.2447977500806,NA,0.148282493599016,NA
"11422-10",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111696517710445,0.346883468834688,-2.24575879393821,0.00123924638562967,0.155227976256492,0.00205345060994476,-2.24663917146692,0.0015341893507564,0.0953148587586617,0.00200557393493268,-2.24923559902976,0.00399119579750471,0.158116877526541,0.006420516016999,-2.24628413334407,NA,0.155447526265968,NA
"11422-11",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111585573598313,0.36554054054054,-2.24788265354122,0.00123949577769661,0.159134798010853,0.00205656103300811,-2.24673308453117,0.00155517931670186,0.092016794050258,0.00201526281237713,-2.24575527358944,0.0039285814637352,0.153280050654614,0.00648623769371131,-2.24709059673605,NA,0.15925823572385,NA
"11422-12",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111672488928887,0.344262295081967,-2.24602560559694,0.00124486055886404,0.153015227874786,0.00204746094454082,-2.24543668863781,0.00153732250161106,0.092607148668031,0.00200706810193308,-2.24880384009467,0.00396177001087367,0.156834506012758,0.00645097690357074,-2.24575445442325,NA,0.152586656385208,NA
"11422-13",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111692675519567,0.349631614199598,-2.24656919334972,0.00123297030199545,0.160799020351742,0.00206293267181458,-2.24591143837451,0.00152844954730695,0.0944661002291854,0.00200397771734207,-2.24437107441037,0.00384751906221541,0.156654885513471,0.00661376744717831,-2.24622246106405,NA,0.160686780817205,NA
"11422-14",2200,-2.245641,0.1549768,-1,0.8,0.1,0.111705681501983,0.352981494174092,-2.24679410487648,0.0012480131949551,0.154974541407535,0.00204468438127164,-2.24774075940191,0.00155272533912015,0.0959038397959746,0.0020135500275281,-2.23970556097529,0.00375578961757055,0.14568384705365,0.00682965994203316,-2.2465181313548,NA,0.154903225821214,NA
