"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.11203932780034,0.303261623872311,-2.24440011642946,0.00125386219699518,0.153062469954944,0.00203321735815061,-2.24478816158991,0.00150268387688372,0.100462419391975,0.00199290803762953,-2.24397944902305,0.00178507643599159,0.154307260983292,0.00286030610820883,-2.24447849020355,0.00126644253480148,0.152575211681294,0.00202928173681431
"11422-2",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111510420259937,0.30106100795756,-2.24532317774246,0.00122597601523857,0.155860480896688,0.00207511807021694,-2.24555346641799,0.00146670259890149,0.0973915127435821,0.00198640805103491,-2.24408712434803,0.0017275841748397,0.155254241278374,0.00294070267728511,-2.24520729585,0.00123176289717771,0.156247860819144,0.00208341507481676
"11422-3",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111127231679571,0.3086014445174,-2.2472230298899,0.00122124756754828,0.154460717542127,0.00208902296587155,-2.24676881544643,0.00146848533412135,0.093210451713195,0.00198962577576702,-2.24612396808535,0.00170568964210677,0.15412175667282,0.00299746264369616,-2.24730217441891,0.00123474229704587,0.154500860310285,0.00209085008385869
"11422-4",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111896827819454,0.295687885010267,-2.24568555264977,0.00124604864742088,0.156931705362677,0.0020440823771861,-2.2461745609542,0.00148486434979348,0.10274221800386,0.00198871238013884,-2.24538254808282,0.00175779170668198,0.154557986856284,0.00289758443979263,-2.24542747808678,0.00124939536463921,0.156983032956877,0.00204950830050121
"11422-5",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.11188549234518,0.298692360633173,-2.24547804616345,0.00124920344270575,0.154514158203633,0.00203982910327017,-2.24704955227932,0.00149278289274808,0.10327786403512,0.0019906357919869,-2.2482879380676,0.00177317435439672,0.157490004789145,0.00288109315414648,-2.24570069331814,0.00126039192897866,0.153995997415648,0.00203743246429237
"11422-6",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.112097523080873,0.299513551077137,-2.24469933339223,0.00125496259401866,0.154818580990778,0.00203146949592723,-2.24466104830858,0.0014991639745953,0.101511107759018,0.00199150363684758,-2.24631037857573,0.00176726106744456,0.157309488246531,0.00288494899085352,-2.24464334550183,0.00126528953690467,0.154711976725892,0.00202456087738492
"11422-7",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111792515017154,0.312629399585921,-2.24569333752657,0.0012513004414244,0.152237180788949,0.0020401890936595,-2.24605905767786,0.00150948550436769,0.0982579908969831,0.00199704764486351,-2.24403861565592,0.00176417273090284,0.149262852581704,0.00289139863221358,-2.245383515181,0.00125603438247507,0.15239956341642,0.00204326654543113
"11422-8",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111893553544822,0.30449591280654,-2.24453135898065,0.00124267776487557,0.155179530438962,0.00204784803211447,-2.24428814740486,0.00148992539546439,0.0987366838713732,0.00199008157899881,-2.24363938409819,0.00175280009200083,0.152382872959135,0.00290248527891603,-2.24440152044936,0.00124932629377733,0.154927851629534,0.00204228878574075
"11422-9",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111942360567343,0.299454297407913,-2.24402960374965,0.0012428754174924,0.154526559454744,0.00204678730566369,-2.24419434627556,0.00148498061087086,0.0997422497886975,0.00198831232102416,-2.241939165323,0.00176199982749288,0.152567935998072,0.00288505132691394,-2.24406069483978,0.00125223667326041,0.154385101107623,0.00204398449276332
"11422-10",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111336290405992,0.320349227669577,-2.24780461442086,0.00123579522805029,0.154566861825486,0.00206540777863013,-2.24731495338971,0.0014984703127883,0.0945137827618911,0.00199644817807108,-2.24903780199037,0.00173933766957314,0.157155600990544,0.00293461739006888,-2.24767742252437,0.00124505080579605,0.154368943644308,0.00207259334169096
"11422-11",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111583070167271,0.277036048064085,-2.2454792140575,0.00123076538737862,0.156044948122126,0.00206793587634274,-2.24470242860531,0.0014469488018657,0.099461576455393,0.00198235287961351,-2.24605178412053,0.00170975095659449,0.155184031813612,0.00298923653794321,-2.24525259905626,0.00123753224079464,0.156449249977119,0.00207267791876354
"11422-12",2200,-2.245641,0.1549768,-0.7,0.8,0.5,0.111920432717907,0.293508287292818,-2.2438598901196,0.00124979846438298,0.150124823628807,0.00203800079871619,-2.2441770264822,0.00148718773711411,0.0990016867934598,0.00198847007472719,-2.24310855362442,0.00174884726596342,0.149200328689397,0.00290864074157574,-2.24365911197772,0.00125698262861847,0.15038953451369,0.00203990057390577
