"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.112083680245855,0.251214434420541,-2.24354689415828,0.00125337950435413,0.15187785722283,0.00203330407462907,-2.24358214025703,0.00144860418111474,0.105342901525269,0.00197894305095088,-2.23886514266692,0.00405673550467786,0.142978207669472,0.0063194250046284,-2.24322837803844,0.00128840344615302,0.151439949367059,0.00204971478753942,0.675160772195422
"11422-2",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.11150141157434,0.243820975283901,-2.24630807701065,0.00123106657437576,0.156149574062113,0.00206851915834315,-2.24452778924711,0.00141450317638787,0.101954991635631,0.00197907874834106,-2.24976654426496,0.00397901325418962,0.152813556840098,0.00645040474206814,-2.24658108401273,0.00126425643334409,0.155921193741134,0.00207590552611974,0.662754257925035
"11422-3",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111976347699718,0.236751548520303,-2.24462915207813,0.00124831937078236,0.154408974464699,0.00203925632832665,-2.24586267383349,0.00142983648732454,0.110555931069121,0.00197637046986597,-2.24316301006064,0.00404781858232018,0.153016520144135,0.00632811676036703,-2.24544241306078,0.00128611417213243,0.153806376817298,0.00205049195708547,0.697985771255835
"11422-4",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111611367881338,0.236413043478261,-2.24613603350904,0.00124183228331195,0.153359290539469,0.00205300292166275,-2.24745354933886,0.00142176278359825,0.108910337844452,0.00197881289533447,-2.24205351232092,0.00390956121217734,0.155360413675855,0.00648585420963929,-2.24631681675964,0.00127628801986902,0.153140170788326,0.00208385120734501,0.680129321965427
"11422-5",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111531274341575,0.246031746031746,-2.24506771943235,0.00122454578490292,0.156416075527558,0.00207776583476461,-2.24611284912309,0.00141076516854849,0.106364328874874,0.0019788220568826,-2.24546318322885,0.00386235595276804,0.154274545237201,0.00659370623554546,-2.24567628393816,0.00126374180595804,0.155146252518037,0.00211299726760163,0.662791136307101
"11422-6",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111665976801169,0.239864864864865,-2.24483785458588,0.00123715536049752,0.152753528607914,0.00205818931909651,-2.24592214753184,0.00141963651658312,0.106905758608338,0.00197830656972204,-2.25036020476277,0.00388364699106598,0.161429955128494,0.00657630172365216,-2.24540943007497,0.00127414853197991,0.152369640980021,0.00208873070003811,0.679028096798968
"11422-7",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111784943327409,0.255509641873278,-2.24695738299331,0.00125033759320199,0.155915370082037,0.00203994101416396,-2.24558359405865,0.00144809065657376,0.104282186964919,0.00198061194270192,-2.23977663954032,0.00388643217229696,0.14734944836146,0.00651851989715271,-2.24645390593354,0.0012864154573857,0.156229005393639,0.00205538457846209,0.660790113325934
"11422-8",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111484192551324,0.247160988643955,-2.24547243748531,0.00123093871165913,0.153270983555544,0.00206944096233166,-2.24565625459244,0.00141880608994344,0.103396032943201,0.00197973776345146,-2.24870463681243,0.0040041007986467,0.159567003209482,0.00639810068246109,-2.24571272390755,0.00126575873650054,0.152748914329606,0.00211400565377165,0.660832631409856
"11422-9",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111565194784573,0.245858184227966,-2.24566050482323,0.00122611792241024,0.158438841092629,0.00207438292442716,-2.24600544416694,0.00141228106890987,0.106580804328537,0.00197837338841388,-2.24344513078767,0.00386775419383776,0.150383065777292,0.00657092182934789,-2.24508085572317,0.00125476153860809,0.159132780670997,0.00212241642844329,0.640230441922147
"11422-10",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111964054019958,0.241379310344828,-2.24332438483527,0.00123658393184208,0.155731424737678,0.00205317307277677,-2.243431228346,0.00141981396338984,0.106978687797513,0.00197538062409671,-2.24172262720072,0.00381310104980178,0.163990882183938,0.00663757465535798,-2.24398893442984,0.0012770206150817,0.156083415718929,0.00205885553974272,0.675640405659384
"11422-11",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111674698531222,0.266530334014997,-2.24605776620223,0.00124396449195879,0.153719639403514,0.00205072312505334,-2.24560810808646,0.00145202848759981,0.102033711288705,0.00198310246368873,-2.24503645985119,0.00414409981817083,0.152646630058425,0.00627009572981608,-2.24594116030702,0.00127654609935051,0.154526624864029,0.00208879914052668,0.647099394980845
"11422-12",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111642834840201,0.248995983935743,-2.24428112313863,0.0012314025415264,0.153391796937025,0.00206670889216407,-2.24404566466646,0.00142050713728027,0.10262672841172,0.0019788337148109,-2.24667640208807,0.00390345041357339,0.155321217584789,0.00653103794922784,-2.24414688226575,0.0012678649229215,0.153763100116166,0.00209197767132702,0.651436786216485
"11422-13",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111903923034429,0.229023383768913,-2.245905334508,0.00124882740854292,0.15631652739223,0.00203924422641618,-2.24612577963655,0.00142269057666288,0.111023401348796,0.00197586430929414,-2.24307319307701,0.00396759688723794,0.149116239132804,0.00643637781625912,-2.24582763424578,0.00127739874678036,0.156768834067751,0.00206137645527063,0.688236785393006
"11422-14",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111239782110514,0.261936339522546,-2.24758267862694,0.00122780062079595,0.155373519670927,0.00207876686113482,-2.24673416874214,0.00142860449729184,0.100005135095991,0.0019829479695595,-2.25287995660474,0.00391528056646726,0.159577941221542,0.00653576087840498,-2.24725543633735,0.00125742260636373,0.155208920244476,0.00212474077461589,0.633193418357906
"11422-15",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111607146857147,0.256170780520347,-2.24541067935473,0.00122994300076206,0.156624237512599,0.00206892475451097,-2.24567853220435,0.00142626165930195,0.104448582646774,0.00197946334910287,-2.24260661102948,0.00372251564826316,0.143904730567961,0.00693830577837874,-2.24570295809479,0.00126740061330957,0.156565517129341,0.00209078743797158,0.650166020553886
"11422-16",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111501116440339,0.253671562082777,-2.24418010870479,0.00122956090194122,0.150333916372854,0.00207095155195074,-2.24448841294775,0.00142337785655166,0.100667285160399,0.00197990908399508,-2.24593712463074,0.00385125505256802,0.141660167089138,0.00665252068962401,-2.24393122471381,0.00126570569408219,0.150156578619544,0.00211513673264945,0.646391618814464
"11422-17",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111902217765303,0.236895847515317,-2.24468842918645,0.00124169159664623,0.155915494357052,0.00204823677051612,-2.24513630428432,0.00142178872697359,0.109062202861369,0.00197623963027912,-2.24210834843679,0.00405787130978947,0.153679165644952,0.00631250573430847,-2.24481089260126,0.00127523933330407,0.155726509755755,0.00206747296665709,0.679918117713072
"11422-18",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111595534026996,0.257472826086957,-2.24547842779001,0.00124147339802928,0.151226392035953,0.00205390278885506,-2.24671828250291,0.00144228790071735,0.104258115976098,0.00198154513454102,-2.24504895550593,0.00384791799580168,0.150003999700876,0.00662276602860732,-2.24606194402007,0.00128551689537196,0.150265439741966,0.00207003127201137,0.66963439566044
"11422-19",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111240727585673,0.25,-2.24761295868699,0.00122749255123343,0.155450694074869,0.00207808236844358,-2.24867454678347,0.00141828520724701,0.105382976746816,0.00198152939413365,-2.23954273244703,0.00400757208288912,0.141694322054373,0.00636652532843995,-2.24759601402693,0.00125602714874637,0.156058188674587,0.00212415626049718,0.644235155197198
"11422-20",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111516403510918,0.261163734776725,-2.24716880492961,0.00123987304783122,0.15511627660207,0.00205656113635446,-2.24716385928315,0.00144232391753221,0.103805717875411,0.00198188674794895,-2.24562954194031,0.00391870538747022,0.157336946531098,0.00650280408316349,-2.24716446144742,0.00127649386380615,0.154055902296885,0.00208700187943766,0.656355539081053
"11422-21",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111613441168939,0.239027683997299,-2.24489807848743,0.00123741484258618,0.151874321154091,0.00205872603775038,-2.2441553686466,0.00141768776337779,0.102898143332651,0.00197860263528167,-2.24052353012228,0.00402135272689665,0.145076704477706,0.00637131680781594,-2.24448411217791,0.00126231560512967,0.15229613049587,0.00209071396880629,0.662539811013721
"11422-22",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111845409135845,0.250170415814588,-2.24561724980375,0.00124294836435636,0.156677721833173,0.00204758407830241,-2.24535672239774,0.0014351363329847,0.106546452156762,0.00197822256792839,-2.252001905593,0.00383437241258736,0.16340435863692,0.00667942807950787,-2.2456038206366,0.00128034904281923,0.155966494567006,0.00206738739925313,0.669496547712623
"11422-23",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111585331409949,0.244652406417112,-2.24634731406242,0.00123202845314433,0.158105212931898,0.0020662144984664,-2.24599152412043,0.00141712826880746,0.106156050166662,0.001978754866557,-2.24352392954347,0.00383332997471602,0.156076840183071,0.00663442702747223,-2.24652752322873,0.00126686419105825,0.158481348575992,0.00207825216270901,0.658635195297362
"11422-24",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111528670609054,0.244788164088769,-2.24611866186432,0.00123557920067308,0.154215668545681,0.00206267225248738,-2.24564148237765,0.00142163779236759,0.103768617150807,0.0019797127801127,-2.24407203096249,0.0041254383918009,0.149865213603825,0.00627794854384253,-2.24647930493638,0.00126971712613677,0.154406440522399,0.00207933631792439,0.665792239789901
"11422-25",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111785958334427,0.245205479452055,-2.24669867914902,0.00124661784202896,0.156776660849204,0.00204400306500748,-2.24581901310173,0.00143410587786222,0.106624166775347,0.00197841417882218,-2.24590771541497,0.00384803189905627,0.163276641585482,0.00659964884635171,-2.24698310118211,0.00128798097153804,0.157164543329212,0.00204259964959746,0.675620563017511
"11422-26",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111927760277787,0.232204561161023,-2.24488666367083,0.0012517463979425,0.152844628263576,0.00203695833425835,-2.2461623155801,0.00142939964900395,0.110600983774732,0.00197705363173628,-2.24679466597476,0.00400313810993673,0.156213586199823,0.00640376739081188,-2.24568629712908,0.00129626266243696,0.152131715456023,0.00202542239678942,0.705274370111863
