"sim","N","beta0","beta1","q","avg_prev","fpr","ppv","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",390,-2.245641,0.1549768,0.25,0.111915952525216,0.626262626262626,NA,-2.2424161297424,0.00291650447719517,0.156213431615352,0.00491024552070975,-2.24443094787114,0.00343656683966647,0.104416952560332,0.00470339937345054,-2.23224545750617,0.00582399939758315,0.135422197222507,0.00975286922960065,-2.24238267172203,0.00294694747835584,0.156461385619756,0.00479565815877537,0.625032416612078
"11422-2",390,-2.245641,0.1549768,0.25,0.111349055408326,0.655,NA,-2.24832654506771,0.00296387581489372,0.150779208953502,0.00487290562242427,-2.24892540531633,0.00345964667265906,0.102446986030392,0.0047185359799237,-2.24222153202621,0.00585406131225552,0.13720096246381,0.00980332969403402,-2.2479825281147,0.0030254942877243,0.150305757167641,0.00467558069562388,0.652938805198226
"11422-3",390,-2.245641,0.1549768,0.25,0.111542139027304,0.651041666666667,NA,-2.24826970303783,0.00292766989381922,0.16221827801937,0.00490341270601331,-2.24494754519917,0.0033823751865513,0.102028605486843,0.00470009566819288,-2.24752505256735,0.00590589696995075,0.158942377399593,0.00968953477683512,-2.24846493964986,0.00294969492769765,0.161744006322869,0.00481709794242161,0.655319742551931
"11422-4",390,-2.245641,0.1549768,0.25,0.111966115766025,0.670212765957447,NA,-2.24443724379144,0.00293189496533229,0.160839977914143,0.00488867660011925,-2.24131310193312,0.0033459406483111,0.104577208312504,0.0046928561880931,-2.24182997765567,0.00580757566687447,0.151438125386894,0.00982397274110599,-2.24400703759188,0.00297520666792689,0.160530840178225,0.00473526572924158,0.666399860677532
"11422-5",390,-2.245641,0.1549768,0.25,0.111713394935552,0.616915422885572,NA,-2.24070896574782,0.00291572348088787,0.146336534257926,0.00492140805644843,-2.24235095429801,0.00346425255260732,0.0957813834228146,0.00471312133721239,-2.24035071454638,0.00647781695164956,0.150282266767852,0.009277042621867,-2.24070204732999,0.00284397419860219,0.146036075660496,0.0051341209735187,0.618175240194856
"11422-6",390,-2.245641,0.1549768,0.25,0.112190891914038,0.697435897435897,NA,-2.2450889201016,0.00298896483619432,0.156815856426579,0.00481289066744047,-2.24160284613152,0.00340514355381606,0.105389326590804,0.00469207924602828,-2.24528321308911,0.00614422495103084,0.152510349747617,0.00943784828826192,-2.24440807196617,0.00298416795212968,0.157038849368904,0.00474014866742472,0.688033866773881
"11422-7",390,-2.245641,0.1549768,0.25,0.111444985919769,0.62962962962963,NA,-2.24549855306937,0.00289295284300736,0.159216504788952,0.00496234194343135,-2.24560355840683,0.00335981128135879,0.103331147506921,0.0047020086134929,-2.24321310702506,0.00581247807168468,0.156100712192584,0.00980811109775664,-2.24576948558477,0.00290299916772484,0.157574132855592,0.00492400061334585,0.639916231248058
"11422-8",390,-2.245641,0.1549768,0.25,0.111425418599534,0.661458333333333,NA,-2.25251393602753,0.00294718574229578,0.16867653322971,0.00488511192488069,-2.25251360147265,0.00339694105278379,0.114720015184311,0.00470508707548327,-2.25055418568855,0.0058814356923335,0.156737349372314,0.00976219001519204,-2.25201175336581,0.00292877503536096,0.169012656355486,0.00480248444711131,0.654258385585891
"11422-9",390,-2.245641,0.1549768,0.25,0.111693495192941,0.655339805825243,NA,-2.24742400954894,0.00298639119063512,0.152412354531662,0.00483695872577282,-2.24477011416602,0.00351052185954312,0.0976550256576796,0.00472422350120065,-2.24223550312173,0.00614109507364353,0.147525515564247,0.00944070352762771,-2.24738546160131,0.00295811192643445,0.152615574169728,0.00479904898410886,0.653593887765984
"11422-10",390,-2.245641,0.1549768,0.25,0.110846605939016,0.601123595505618,NA,-2.24646716687351,0.00283213303088109,0.161098042861709,0.00510529319071082,-2.24717824439241,0.00327455408886656,0.101338285201022,0.0047157786018685,-2.24360231510206,0.00569018102577341,0.145923396255126,0.0101106467978978,-2.24745997084407,0.00284833593732399,0.161637724628398,0.00506778521347867,0.612068998437647
"11422-11",390,-2.245641,0.1549768,0.25,0.111225237010218,0.642458100558659,NA,-2.24475431712222,0.00286959615169446,0.155890201829883,0.00501248844813344,-2.24731843690358,0.0032817052471303,0.107993621437955,0.00470747724944342,-2.2469318058063,0.00557659167216213,0.143423778273589,0.0104679967254869,-2.24534345028276,0.00290085584621422,0.15468271828001,0.00496018645045638,0.655497899865026
"11422-12",390,-2.245641,0.1549768,0.25,0.111298250617832,0.612244897959184,NA,-2.24269147836157,0.002893400660867,0.145780403948327,0.00496372192602614,-2.24477830310261,0.00341794812254679,0.0956922970547268,0.00470879407110999,-2.24652204914434,0.00586089261627434,0.15339916950527,0.00974171707519423,-2.24313334579374,0.00288876293267002,0.14476663603855,0.00504535579655542,0.622716351500208
"11422-13",390,-2.245641,0.1549768,0.25,0.111749353508925,0.688172043010753,NA,-2.24712337954815,0.00294302179381965,0.160420742172136,0.00487775375973544,-2.24641848575829,0.00333335072732636,0.111688894831988,0.0046941176440445,-2.2547509787559,0.00611795149254405,0.169591274175111,0.00946369525670932,-2.24701080726672,0.00291232324080095,0.159428163855777,0.00487838986131533,0.691724516286115
"11422-14",390,-2.245641,0.1549768,0.25,0.11163740914923,0.613861386138614,NA,-2.24512651354962,0.00291800681508969,0.156994021040055,0.004911857280836,-2.24602691697156,0.00347102878873517,0.100991779195097,0.00471174743793887,-2.24848265970766,0.00573058724531905,0.152711877087718,0.0100035499210991,-2.24630116278578,0.00295606656272805,0.154595260215783,0.00493604410087301,0.638686306282057
"11422-15",390,-2.245641,0.1549768,0.25,0.111122042756569,0.654822335025381,NA,-2.25158620730046,0.00295430217779429,0.156203911965282,0.00488358432694984,-2.2506964299107,0.00343575565825548,0.103186826863213,0.0047140084282051,-2.25077820647459,0.00601102012268016,0.149844792176206,0.00960562176167442,-2.25202695486142,0.0029688742243939,0.155879677961065,0.00475063063829974,0.661858976987199
"11422-16",390,-2.245641,0.1549768,0.25,0.110943924865653,0.560606060606061,NA,-2.24433775152795,0.00285064515452174,0.151821849460326,0.00506686375618636,-2.24478164123389,0.00343731791004885,0.0887608578963044,0.00472185810410351,-2.2491008641467,0.00596411871560727,0.156414944102847,0.00963762678355622,-2.24475582460344,0.00279699393671198,0.149616719015197,0.0053919322309624,0.574735178533764
"11422-17",390,-2.245641,0.1549768,0.25,0.111505025014736,0.629441624365482,NA,-2.24633176419779,0.00292111737471907,0.157054864245704,0.00491430125564605,-2.24596062960753,0.00342855889806847,0.10106221509819,0.00470690210805246,-2.23858561814261,0.00537641962222224,0.156423866755529,0.0111759907262427,-2.24588457932498,0.00303346722302755,0.156148586456742,0.00475772431155619,0.628001884319209
"11422-18",390,-2.245641,0.1549768,0.25,0.111936928907806,0.637305699481865,NA,-2.24222034657628,0.00291084015012287,0.157530718933256,0.00491138511191919,-2.24449402457079,0.0033922273814013,0.107743385911489,0.00469370987807483,-2.24395341088834,0.00564854436817517,0.163194040941005,0.0101580973670215,-2.24371399469401,0.00299838237626408,0.155657208508117,0.00481638999581811,0.664202384254256
"11422-19",390,-2.245641,0.1549768,0.25,0.111742244825057,0.672131147540984,NA,-2.24456754561475,0.00291151904739785,0.159230577528241,0.00491748795419707,-2.244394771412,0.00330703601288743,0.109343492769912,0.00469278958684741,-2.24619376044748,0.00604497169012583,0.155262663522356,0.00951695051742473,-2.24473304707133,0.00291407759668038,0.158836912328676,0.00481522035283272,0.676376882105924
"11422-20",390,-2.245641,0.1549768,0.25,0.1119932279052,0.697435897435897,NA,-2.2480801842281,0.00299143775367525,0.160110330275447,0.00481199073688311,-2.24861182074917,0.00341396243829186,0.115463691688111,0.00469415413035863,-2.25434584719118,0.00617119244323926,0.179735962200819,0.00939637959386143,-2.24913039443853,0.00300495799503106,0.160297610852114,0.0047049290532889,0.70985663593602
"11422-21",390,-2.245641,0.1549768,0.25,0.111810432551307,0.626262626262626,NA,-2.24276467628579,0.00291567375235855,0.154639651131158,0.00491479912664692,-2.23993898980601,0.00342594245815152,0.094274419622619,0.00470318073851329,-2.24134267725621,0.00618877407785244,0.156559433642874,0.00936903962729324,-2.24283514087989,0.00287232521554382,0.15588573774259,0.00496243607535881,0.621351256062801
"11422-22",390,-2.245641,0.1549768,0.25,0.111910266512454,0.723404255319149,NA,-2.24802823735737,0.00298861739652083,0.158012944170304,0.00481391722618371,-2.24820525576959,0.0033517803010126,0.11708058351803,0.00468704183262692,-2.25167988952007,0.00569997008533449,0.173479451640385,0.0100459863777926,-2.24848431625349,0.00302690065445261,0.158415046499775,0.00470038796705799,0.727111727247635
"11422-23",390,-2.245641,0.1549768,0.25,0.111518827653001,0.67379679144385,NA,-2.24423012808591,0.00293025825639026,0.149095614304337,0.00490730405993187,-2.24409739138943,0.00334210774643425,0.102560291170778,0.00470128152085431,-2.24354526198712,0.00565052836943725,0.140366342039476,0.0102252294937942,-2.24428302947537,0.00292912964321491,0.148332557080824,0.00486648743212983,0.67850032935941
"11422-24",390,-2.245641,0.1549768,0.25,0.111315069633541,0.663157894736842,NA,-2.246215713437,0.00293063578381316,0.149682830881571,0.00491088685115296,-2.24679543497036,0.0033680908849604,0.102777861407886,0.00470465624827993,-2.23696218433155,0.00551552446280084,0.146022321387815,0.0105629830183183,-2.24565994829122,0.00293628316829127,0.150058051680464,0.00509346757481762,0.654084545456158
