"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","eta0_gs","se_eta0_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","eta0_cc","se_eta0_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta1_mle","eta0_mle","se_eta0_mle"
"11422-1",390,-2.245641,0.1549768,0.1,0.8,0.113055636655498,0.190677966101695,-2.24271211833516,0.00309655319255116,0.151987200422091,0.00471375889855916,1.23029011264162,0.16945704358638,-2.24290571240865,0.00344248756275625,0.119918341233088,0.00468441437960156,-2.2439122153728,0.0101686699481968,0.142292186720688,0.0148012033430485,1.22377543162034,0.508746664905278,-2.24239431684527,0.00315582079002233,0.152023152468483,0.00456215789157692,1.20582855939656,0.191264660849399
"11422-2",390,-2.245641,0.1549768,0.1,0.8,0.112389213930524,0.157446808510638,-2.24978743359462,0.00311526375384943,0.153814108086042,0.00472452001828311,1.43250720427496,0.182971665640071,-2.25043048491916,0.00339525660490535,0.127161746924303,0.00468963652653052,-2.25952793403934,0.00939557452152775,0.151568618199444,0.0155187644185732,0.955511445025101,0.526234432470928,-2.24925793525025,0.00316190526947197,0.152948598180317,0.0045905196451472,1.42067608181912,0.213307206167018
"11422-3",390,-2.245641,0.1549768,0.1,0.8,0.112758165958528,0.173160173160173,-2.24969455788245,0.00314026183408457,0.157479038279088,0.00469741826873121,1.38002474810606,0.176887794061506,-2.24997721775667,0.0034541937607797,0.128327350435167,0.00468811674627218,-2.24161830262742,0.00950400170805447,0.124809198852398,0.015266327944145,1.54044504094715,0.636209001554974,-2.24892359674925,0.00322861158463111,0.157190148694112,0.00445184644509034,1.33101435510643,0.193913584050046
"11422-4",390,-2.245641,0.1549768,0.1,0.8,0.11258315685248,0.204081632653061,-2.24315556994527,0.00303795542711412,0.151791209442128,0.00475833219081187,1.06471073698942,0.164001541511686,-2.24301219017996,0.00340530150180928,0.11469083906077,0.00468403463012996,-2.23506875543672,0.00968593788684168,0.154289506133332,0.014876265900342,1.32175583998169,0.562731193399911,-2.24436510023363,0.00311125143460032,0.150293721316808,0.00481552140835333,1.19284761106156,0.198009917287477
"11422-5",390,-2.245641,0.1549768,0.1,0.8,0.112876517861304,0.200873362445415,-2.24847223234771,0.00315363188364419,0.155081071669533,0.00469255347493131,1.25276296849397,0.167183359483168,-2.24973131684279,0.00352890042886917,0.125025756459699,0.00470697566361302,-2.26064812707147,0.0096198295376551,0.145871394070234,0.0152971826830429,0.693147180559744,0.462909964890575,-2.24926546824667,0.00325867954297604,0.155076059221303,0.00449244414004353,1.31015000262172,0.194729681948097
"11422-6",390,-2.245641,0.1549768,0.1,0.8,0.112381686130713,0.173387096774194,-2.24585304538042,0.00302475182921551,0.156678615274905,0.00477861742752725,1.19462694190555,0.174063268765099,-2.24463502845055,0.00332502980823152,0.119913933229751,0.00468349688828998,-2.24201812973703,0.00990681652838599,0.158401027825888,0.014798336800434,1.38629436111969,0.559016856137217,-2.24583509957653,0.00308399326353589,0.157383984963249,0.00473514642194172,1.17246288674464,0.193889210253917
"11422-7",390,-2.245641,0.1549768,0.1,0.8,0.113344376741089,0.169565217391304,-2.24100860581526,0.00313354853812933,0.148667327036884,0.00468965488654219,1.41161216910406,0.178580552586056,-2.24015369118082,0.00343662805407583,0.119654568784977,0.00467753637538274,-2.23008654787643,0.0103202502421819,0.131731722614177,0.0146573565994159,0.944461608838632,0.445435091907926,-2.23978356177673,0.00313496827183153,0.149313139244224,0.00462509939829961,1.29190433835211,0.200130262193303
"11422-8",390,-2.245641,0.1549768,0.1,0.8,0.113608080289336,0.162280701754386,-2.24424895438364,0.0031517046519769,0.159160487284204,0.00467629057371377,1.47667842258814,0.182208292758451,-2.2451870590519,0.00344598093214807,0.133065022906042,0.00467436770372435,-2.24358746835129,0.0103930103015466,0.166672885572623,0.0146574496466007,1.50407739677627,0.552770777123328,-2.24480654411839,0.00325793733499545,0.158375403865771,0.0044240691507814,1.55327956211702,0.214776551439281
"11422-9",390,-2.245641,0.1549768,0.1,0.8,0.112946580220751,0.135021097046413,-2.24582881815152,0.00309375113874065,0.157980023119917,0.00471577128650637,1.5647020023815,0.194371925883967,-2.24590448541411,0.00332655686512014,0.13251675148237,0.0046703493697372,-2.24989946622497,0.00975157045465919,0.156860998805124,0.0149747114486398,1.60943791169281,0.632445590326353,-2.24666468866499,0.00317503732967731,0.157162774166291,0.00449763754505969,1.67765118857576,0.227140946862824
"11422-10",390,-2.245641,0.1549768,0.1,0.8,0.112477710444279,0.180616740088106,-2.25177490985208,0.00317289194941489,0.152939527149246,0.00469830381589734,1.38017813410221,0.174714616350622,-2.25065046958516,0.00350422238031958,0.121982116621705,0.00470772948640324,-2.25546762093847,0.010688004725806,0.164354480694054,0.0147229720679167,1.15267950993577,0.468292520021481,-2.25157712092129,0.00323634672465609,0.152097932031889,0.00453844328735989,1.39452971266942,0.203707242566521
