"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_srs","se_beta0_srs","beta1_srs","se_beta1_srs","beta0_bcc","se_beta0_bcc","beta1_bcc","se_beta1_bcc","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_resid","se_beta0_resid","beta1_resid","se_beta1_resid","ppv"
"11422-1",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111404398866349,0.368217054263566,-2.246931050614,0.00301265498946951,0.151169217882264,0.00498227549699532,-2.24675663882119,0.00311054294902515,0.151926524854794,0.00514228045944538,-2.24652624746588,0.0030711561988821,0.151736203873091,0.00512093480967291,-2.24726924245882,0.00319810378685888,0.151342018738936,0.00523758375926436,0.581497797356828
"11422-2",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112664452497031,0.310204081632653,-2.24351792042865,0.00311799724532163,0.159359938502355,0.00466710281198543,-2.24322435681447,0.00326863309555092,0.159638223697142,0.00467229507714713,-2.2433784668035,0.00316443589723498,0.159492649049258,0.00476767241161201,-2.2432312840586,0.00336584083906023,0.159454336874088,0.00483088014599872,0.656108597285068
"11422-3",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111577266643286,0.281853281853282,-2.2482993251106,0.00309423589526157,0.157806693200725,0.00481591324246344,-2.24808532073785,0.00311913927596744,0.158008046067385,0.00489163237125986,-2.24836103706495,0.0031228692252073,0.157968754186657,0.00489682515885868,-2.24842849158875,0.00319829944455413,0.157727402775855,0.00488790373135103,0.642156862745098
"11422-4",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111919937647104,0.30952380952381,-2.24686008242237,0.0030615550072454,0.154640107679554,0.0048843671607893,-2.24591280071535,0.00311319251839411,0.155875450843682,0.00504826030201982,-2.24673267881518,0.00307577638200756,0.154538950466317,0.00486122507748659,-2.24610835545641,0.00319563963333793,0.155572733228517,0.00508169778630864,0.638888888888889
"11422-5",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112093022979405,0.288,-2.24830386513939,0.00321778225134218,0.154141530555293,0.004632664886194,-2.24854112707339,0.00323026483428949,0.154046743766075,0.00464917699469364,-2.24762082695897,0.00319430804533117,0.154728278154904,0.00464649582227685,-2.24862930403064,0.00335529450817047,0.153768721509815,0.00470469081412157,0.660377358490566
"11422-6",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111046414945171,0.305019305019305,-2.25000910699433,0.00312189718807032,0.147119546255752,0.00507220346616741,-2.25045665229295,0.00310465096424155,0.146565422180582,0.00501783723983503,-2.25022889772275,0.0030494091143442,0.146666921647641,0.00517553395606921,-2.25000460152115,0.00323226905153138,0.146745065361198,0.00530274790242952,0.623809523809524
"11422-7",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111284846384095,0.3,-2.24657764351616,0.00304135768910377,0.154852505205565,0.00513440081233494,-2.24611110284916,0.00309518365365487,0.154123604612823,0.00511737092715676,-2.24657879175118,0.00301092174087764,0.154730129622205,0.00505920916237073,-2.24700202530174,0.00317100856053569,0.15426513917668,0.00522325077247769,0.597014925373134
"11422-8",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111003479624719,0.29136690647482,-2.24308962094188,0.00294174979073353,0.150302867684611,0.0055554973673773,-2.242922211013,0.00293660109430091,0.150365242761043,0.00566665003971755,-2.2432227809491,0.0029221089722549,0.149797659312565,0.005438076073109,-2.24295768122693,0.00300817016951061,0.150219911532644,0.00581222349460216,0.580310880829015
"11422-9",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112360620487926,0.259541984732824,-2.23911917013322,0.00300209420966159,0.154847626247424,0.00498279478397488,-2.23922821678819,0.00303807412094133,0.153962204459384,0.00487623592726735,-2.23953499438784,0.00302569672401094,0.154434226479602,0.00495568676191081,-2.23955413111054,0.00312212584082698,0.154227827228371,0.0049725066658057,0.653061224489796
"11422-10",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111324416501015,0.30188679245283,-2.25035056302576,0.00313998348033844,0.156756305569732,0.00497135426839504,-2.25065085371685,0.00318613139675434,0.156932358414122,0.00503344195091881,-2.25041574332507,0.00308194894304336,0.157319251385123,0.00492367780806719,-2.25087656238906,0.00323334483960549,0.156685825801191,0.00503294028679648,0.609756097560976
