"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",390,-2.245641,0.1549768,-1,0.8,0.1,0.111280251605626,0.422480620155039,-2.25046596637986,0.00297174403385274,0.15395767004617,0.00485898411191416,-2.24980641758546,0.00390857484621793,0.0862767115176429,0.00489277506784489,-2.24930155777967,0.00952942128784379,0.146769113257011,0.0152091542889733,-2.25039876852031,NA,0.154214181774443,NA
"11422-2",390,-2.245641,0.1549768,-1,0.8,0.1,0.112408491988861,0.358870967741935,-2.24541109137217,0.00302284421877636,0.156351173743146,0.00477498300141081,-2.24794243971103,0.00378313065291839,0.102928409104447,0.00481462025152698,-2.2606328986248,0.0107291422334852,0.167733636255624,0.0147368954930282,-2.24643916231321,NA,0.156820483074141,NA
"11422-3",390,-2.245641,0.1549768,-1,0.8,0.1,0.112111828638226,0.367588932806324,-2.24586292699092,0.00299383661215572,0.155958348389885,0.00481245600499289,-2.24436023850794,0.00376128484092365,0.0932675876197943,0.00480937261638443,-2.24457659953133,0.00994004060670731,0.150943569942091,0.0148473585462066,-2.24577421100247,NA,0.155351630044758,NA
"11422-4",390,-2.245641,0.1549768,-1,0.8,0.1,0.111508830010559,0.371647509578544,-2.24704907657324,0.00295086591345675,0.153488772134965,0.00487790645931673,-2.24460171613095,0.00371893548204775,0.0864338069787794,0.00479787904441312,-2.25028119140989,0.00899878781055184,0.178702119680919,0.0159995859601809,-2.24582123950966,NA,0.15263308007042,NA
"11422-5",390,-2.245641,0.1549768,-1,0.8,0.1,0.111301597356438,0.327338129496403,-2.24203360388139,0.00285163031203336,0.153327361483107,0.0050442548074545,-2.24274327628708,0.00347786550743753,0.088809869365152,0.00472157912956941,-2.23550604839145,0.00849657048045999,0.126984876739262,0.0178926263177407,-2.24210139750623,NA,0.152635868192813,NA
"11422-6",390,-2.245641,0.1549768,-1,0.8,0.1,0.111858516822375,0.387351778656126,-2.25023969373091,0.00299995989572904,0.161360193598678,0.00481394817262026,-2.25363926752079,0.00383829653416942,0.102582629340324,0.00484982488289766,-2.24237378637306,0.0103622702887276,0.153137952663492,0.0146861765987986,-2.25046489076203,NA,0.162785359266314,NA
"11422-7",390,-2.245641,0.1549768,-1,0.8,0.1,0.11294307971023,0.358333333333333,-2.24115511652753,0.00306982459100147,0.149727022576655,0.00472924782104381,-2.23973068936761,0.00382709338272362,0.0956380338716695,0.0048305441175694,-2.25218698858184,0.00994643264491665,0.174723627169849,0.0148194751225417,-2.24149044709195,NA,0.151459895831626,NA
"11422-8",390,-2.245641,0.1549768,-1,0.8,0.1,0.111036740555768,0.334519572953737,-2.24473053799098,0.00284015197287268,0.158354347508694,0.00508173480700305,-2.24330052214329,0.00347826500189799,0.0855093700556745,0.00472664826624923,-2.2571547732811,0.00875074130469426,0.156747651724525,0.0171509741025652,-2.24382401115632,NA,0.158731370264084,NA
"11422-9",390,-2.245641,0.1549768,-1,0.8,0.1,0.111530921313714,0.320754716981132,-2.24513379370749,0.00292418819046412,0.153233450662058,0.00490920639358339,-2.24382082985725,0.00354676722205473,0.0916341137204241,0.00473351234956251,-2.25125016249212,0.0093753181010046,0.134768735153849,0.0155035069200024,-2.24595780924512,NA,0.153010418027255,NA
"11422-10",390,-2.245641,0.1549768,-1,0.8,0.1,0.111373284399011,0.369811320754717,-2.24354373774171,0.00292432593274523,0.144672472098183,0.00491623375441353,-2.24568078561156,0.00368592278613774,0.0874752132493025,0.00478543029436057,-2.25046595858784,0.00872572126617219,0.147439371563797,0.0171562201208546,-2.2424964169134,NA,0.145845148258451,NA
"11422-11",390,-2.245641,0.1549768,-1,0.8,0.1,0.11138722046686,0.342412451361868,-2.24974171914767,0.00297591280337789,0.153281767763428,0.00484908755398855,-2.24816661093716,0.00366861830475787,0.0923541723653718,0.00477686968542703,-2.24724337508465,0.0101508434161781,0.136280885736021,0.0148043960888463,-2.24966969668514,NA,0.151385948424474,NA
"11422-12",390,-2.245641,0.1549768,-1,0.8,0.1,0.11099344675756,0.36,-2.2488912986532,0.00287953671021182,0.162097158857162,0.00500589559026981,-2.24633907445985,0.00359454084660931,0.0861232364779643,0.00475855076530196,-2.2560488885324,0.009219033976437,0.160127152112472,0.0157132940234912,-2.24796649622225,NA,0.164127516445623,NA
"11422-13",390,-2.245641,0.1549768,-1,0.8,0.1,0.112793383567174,0.31404958677686,-2.24092304325237,0.00305292491472007,0.14785321291854,0.00474041031594888,-2.2415164429335,0.00368594705097324,0.101124925858081,0.00476441793539157,-2.2371807569054,0.00931532687611003,0.143249455406339,0.0154026480794597,-2.24144325270766,NA,0.148839271769146,NA
"11422-14",390,-2.245641,0.1549768,-1,0.8,0.1,0.111042310275031,0.323843416370107,-2.24011763067289,0.00283099816519724,0.143683464605959,0.00509485611626906,-2.24263932695552,0.00344729131405051,0.0854856729945188,0.00471824543150511,-2.23964257198286,0.00866914231642179,0.130427993621044,0.01716802796367,-2.24002436638197,NA,0.142096514120336,NA
"11422-15",390,-2.245641,0.1549768,-1,0.8,0.1,0.112174982045993,0.308300395256917,-2.24233277414255,0.00298961931185749,0.148346690537627,0.00481376025435211,-2.24187039202289,0.0035952145960538,0.0961629605500515,0.0047402770977394,-2.25874268684006,0.00958706008843762,0.184003321283107,0.0151287551675583,-2.24218590835055,NA,0.148036028533405,NA
"11422-16",390,-2.245641,0.1549768,-1,0.8,0.1,0.111742814173603,0.322222222222222,-2.24258389482949,0.00289406717219121,0.157052080537733,0.00494806493251844,-2.24655052896822,0.00352322297301714,0.101120976023103,0.00472464458352577,-2.24282586417671,0.0085094810080895,0.128830060781555,0.0179315063280139,-2.24413973444905,NA,0.155295904283479,NA
"11422-17",390,-2.245641,0.1549768,-1,0.8,0.1,0.111565312366771,0.333333333333333,-2.24951614551386,0.00295202275686248,0.161648387884117,0.00487555599146745,-2.25013630553333,0.00361501026988458,0.100643654858858,0.00475648574246856,-2.25768781844568,0.00922688093620675,0.176804546440024,0.0156666242120933,-2.25099888149676,NA,0.162049047935516,NA
"11422-18",390,-2.245641,0.1549768,-1,0.8,0.1,0.111921769446553,0.33955223880597,-2.24242943327539,0.00290653383512305,0.158853774753618,0.00492617641400785,-2.24043175425785,0.00357315993491256,0.0905577059516496,0.00473830076069869,-2.24358348887049,0.00918591397827668,0.161773752132803,0.0156565272020435,-2.24272323194934,NA,0.159329640506218,NA
"11422-19",390,-2.245641,0.1549768,-1,0.8,0.1,0.111698061151786,0.372623574144487,-2.24780254538253,0.00294010764887719,0.162283756958396,0.00488562480545911,-2.24861947530302,0.00371249768467211,0.0961927968012212,0.00479300484819879,-2.26130194766459,0.00938977245710519,0.190353221601772,0.015327245129811,-2.24687778293417,NA,0.162100601309888,NA
"11422-20",390,-2.245641,0.1549768,-1,0.8,0.1,0.112174929353872,0.34016393442623,-2.24983638364323,0.00305590271459977,0.158064155994266,0.0047611625697444,-2.2551153300424,0.00376894376234966,0.112335036841657,0.00481219180851138,-2.25788663680071,0.0100245832298899,0.170592167539979,0.0149080660495943,-2.25293994819167,NA,0.158624552889674,NA
"11422-21",390,-2.245641,0.1549768,-1,0.8,0.1,0.112147231002454,0.318725099601594,-2.24580878224957,0.00300685516548341,0.154673249489567,0.00479547120344323,-2.2447666604235,0.00364422590816844,0.0990766771175957,0.00475703131895551,-2.24560525016887,0.00992827637051235,0.150190016333944,0.0148549904959165,-2.24520375634986,NA,0.154768799922725,NA
"11422-22",390,-2.245641,0.1549768,-1,0.8,0.1,0.111356047536569,0.349809885931559,-2.24579420156528,0.00293749333624118,0.148472254082779,0.00490042713393782,-2.24224263445265,0.0036383117825257,0.0826484937555258,0.00476760304440814,-2.25182076429806,0.00955985762680852,0.161370885428782,0.0151648198244821,-2.24562715466119,NA,0.148133144118678,NA
"11422-23",390,-2.245641,0.1549768,-1,0.8,0.1,0.112209620472286,0.36046511627907,-2.24391494572725,0.00296271832141443,0.15862939555859,0.00483814321093625,-2.24727262350721,0.00371132171399902,0.10168195200316,0.0047845089357491,-2.23987233800628,0.00915852081961526,0.170329194430731,0.0155904925662966,-2.24443537636505,NA,0.157886134626799,NA
"11422-24",390,-2.245641,0.1549768,-1,0.8,0.1,0.111432228460254,0.306273062730627,-2.24322945239304,0.00289095732469071,0.152159128705023,0.00497014113391359,-2.243868842404,0.00347278639444238,0.0935631471750079,0.00471942869045631,-2.24331953366165,0.00868318219123444,0.138146088169837,0.0172132069068259,-2.24335184383673,NA,0.151746404444576,NA
"11422-25",390,-2.245641,0.1549768,-1,0.8,0.1,0.111494340214364,0.349442379182156,-2.24466608990762,0.00290422809844861,0.155621485769155,0.00494738605585163,-2.24005317152971,0.00359103919161615,0.0825492226855283,0.00475092926461317,-2.2284329231041,0.00947494243041663,0.110318425808,0.0152482550634581,-2.24499554446897,NA,0.154122859859604,NA
"11422-26",390,-2.245641,0.1549768,-1,0.8,0.1,0.112059215808676,0.32824427480916,-2.24297094227997,0.00293827912217516,0.156739448343029,0.0048753869997229,-2.24476385314007,0.00358632479067104,0.0998149175389625,0.00473957410625692,-2.25087958629039,0.00889354344684511,0.158344528397179,0.016530874389397,-2.24392892508872,NA,0.155051051850356,NA
"11422-27",390,-2.245641,0.1549768,-1,0.8,0.1,0.111908904493983,0.356862745098039,-2.24413269385133,0.00297946379440364,0.148969752193634,0.00483318384905671,-2.24472074917489,0.00371636705080143,0.0925179671121432,0.00479176773715447,-2.25061624806141,0.0101723525426569,0.14126617773403,0.0148539974928188,-2.24572489462176,NA,0.149271628058436,NA
"11422-28",390,-2.245641,0.1549768,-1,0.8,0.1,0.112079042883692,0.310344827586207,-2.24194716182038,0.00294218099011034,0.15344032707905,0.00486563155386559,-2.24393174403253,0.00354496158921717,0.100612815000945,0.0047243677387244,-2.24198485393235,0.00952510370482514,0.140875077891228,0.0151812535611723,-2.24297703406412,NA,0.15210446193562,NA
"11422-29",390,-2.245641,0.1549768,-1,0.8,0.1,0.111087493804118,0.344322344322344,-2.24695091037289,0.00288452785267581,0.15618966147103,0.00499273212187876,-2.24728327036035,0.00356192186905246,0.0902308583245335,0.00474673310622573,-2.23112199276745,0.00893141783444569,0.150934198775879,0.0159820046830929,-2.24581244442348,NA,0.158126138451659,NA
"11422-30",390,-2.245641,0.1549768,-1,0.8,0.1,0.11171923298019,0.284584980237154,-2.24876300362399,0.00299854351116674,0.154347497650393,0.00481720790138395,-2.25130306400538,0.00354835185190366,0.108437508261072,0.0047307991809854,-2.24321880877943,0.00932464026184702,0.153597084043391,0.0153551469056144,-2.24838661289103,NA,0.154282780181465,NA
"11422-31",390,-2.245641,0.1549768,-1,0.8,0.1,0.110464846751288,0.351254480286738,-2.25156887723565,0.00285933706501938,0.160847419652737,0.00506504235821432,-2.25444640366772,0.00355691644642823,0.0937464612705984,0.00475431539937873,-2.2381958726498,0.00914166670844445,0.13389763600987,0.0157374044368818,-2.25168825027615,NA,0.160449969251558,NA
"11422-32",390,-2.245641,0.1549768,-1,0.8,0.1,0.112237563488411,0.395256916996047,-2.2460078598765,0.00299496433937448,0.159325258877338,0.00480606796690991,-2.24212798158781,0.0038429137302422,0.0890186407306417,0.00484744466289,-2.2430488254762,0.0101566005956426,0.13944748658402,0.0147888472909898,-2.24483145271848,NA,0.159149807052401,NA
"11422-33",390,-2.245641,0.1549768,-1,0.8,0.1,0.111732477056891,0.347328244274809,-2.24627537190928,0.00294378686573693,0.157870912947989,0.00487662095556109,-2.24916943634419,0.00364795789882294,0.100336006271078,0.00476501903284383,-2.22733844400718,0.00943479757224663,0.135032216118577,0.015095220109442,-2.24586355549466,NA,0.159345801039586,NA
"11422-34",390,-2.245641,0.1549768,-1,0.8,0.1,0.111680107708557,0.335907335907336,-2.25003296428739,0.00296714907790708,0.163532856121981,0.00485876497721943,-2.24857265221281,0.00363811875631056,0.0988845738206498,0.0047651815808543,-2.25547153768025,0.00922570228086482,0.17252899575348,0.0157255595323178,-2.2504400608737,NA,0.162975603230225,NA
"11422-35",390,-2.245641,0.1549768,-1,0.8,0.1,0.112402612683387,0.36144578313253,-2.24192642642221,0.00301304526559006,0.148506761848651,0.00478263859952786,-2.24231883404415,0.0037737183441612,0.0938595146076808,0.00481000079999139,-2.24774475820114,0.00954765247125498,0.159686600260519,0.0151168861762175,-2.24269753898631,NA,0.147296506348791,NA
"11422-36",390,-2.245641,0.1549768,-1,0.8,0.1,0.112298204729648,0.30241935483871,-2.24777259444533,0.00302817558769394,0.159957465305813,0.00477475416852338,-2.2488012149418,0.0036258301250596,0.109405560494067,0.00474850056286086,-2.2515682168002,0.00951647246913271,0.148076931604546,0.0152140665682339,-2.25000410389324,NA,0.15903891375241,NA
"11422-37",390,-2.245641,0.1549768,-1,0.8,0.1,0.111649188848514,0.357692307692308,-2.24585693021231,0.00295045492420653,0.152477763853049,0.00486950517938883,-2.24311008317801,0.00367664317387394,0.0869035403972334,0.0047767252557467,-2.2439966141742,0.00992142924772726,0.153783410098694,0.0148364022022261,-2.24492771378156,NA,0.153811477384063,NA
"11422-38",390,-2.245641,0.1549768,-1,0.8,0.1,0.110640862524086,0.423357664233577,-2.2496630980977,0.00288302865120297,0.153604518453344,0.00501158892680268,-2.2425305726026,0.00378348263699025,0.0681765919082849,0.00483826231383994,-2.25878128531076,0.00891047164025314,0.159403758121722,0.016587019481476,-2.24842818994567,NA,0.155430844850656,NA
"11422-39",390,-2.245641,0.1549768,-1,0.8,0.1,0.111500058280115,0.371212121212121,-2.24770826175317,0.00293591019491891,0.158366490698565,0.00489658401574843,-2.24457595732235,0.00369433919289123,0.0871166407473968,0.00478739605240115,-2.22752666172442,0.00946009577625158,0.107739632059907,0.01520779334206,-2.24798188133275,NA,0.157401531602727,NA
"11422-40",390,-2.245641,0.1549768,-1,0.8,0.1,0.110798879069336,0.416666666666667,-2.25413997014897,0.0029429705859707,0.158748158264966,0.00491546782522772,-2.25878291517152,0.0038603115672783,0.0952999133963621,0.00487462088000134,-2.25565924600071,0.00904282963412256,0.165776888474519,0.0160560919844371,-2.25574177730182,NA,0.155107520838835,NA
"11422-41",390,-2.245641,0.1549768,-1,0.8,0.1,0.111715935303719,0.333333333333333,-2.24430402116432,0.00291447232443084,0.157766149472159,0.00491735865479921,-2.24083635820315,0.00356296172937843,0.0885795209669695,0.00473616158493999,-2.2518521437249,0.00901632579413901,0.152397537037931,0.0161302473022123,-2.24424189685215,NA,0.157376314858362,NA
"11422-42",390,-2.245641,0.1549768,-1,0.8,0.1,0.111484178076859,0.32421875,-2.25319596284489,0.00298693720194835,0.163666185851764,0.00483749108071546,-2.25490782134299,0.00363537695983605,0.107158751994276,0.00476405083590349,-2.26717892984343,0.00924618509047461,0.191813143098418,0.0156275997574158,-2.2540265456549,NA,0.164989250821275,NA
"11422-43",390,-2.245641,0.1549768,-1,0.8,0.1,0.111234935771476,0.370503597122302,-2.24486054305201,0.0028545331106817,0.160275192627101,0.00503873400126893,-2.24073300957944,0.00359094669851142,0.079423841670576,0.00475256571015197,-2.24028502849702,0.00867762283976587,0.170977005902786,0.0169248157295585,-2.24556926201943,NA,0.159679358505306,NA
"11422-44",390,-2.245641,0.1549768,-1,0.8,0.1,0.111930019613207,0.368217054263566,-2.24456397754153,0.00296404520395876,0.153651489005914,0.00484731042883048,-2.24235551256754,0.00372545947697864,0.0885594437693709,0.00479485973181602,-2.24948939960375,0.00872937906575903,0.165569761092337,0.0170271183350628,-2.244868206307,NA,0.152651499765685,NA
"11422-45",390,-2.245641,0.1549768,-1,0.8,0.1,0.112107757724555,0.369230769230769,-2.24303372404016,0.00294872284398723,0.155821708763355,0.00485758097224631,-2.24837603639962,0.00372582136697564,0.101267738416901,0.00479227633775605,-2.23436158487063,0.0098748850083007,0.144109780904734,0.014802817850835,-2.24354299613882,NA,0.153743388417304,NA
"11422-46",390,-2.245641,0.1549768,-1,0.8,0.1,0.110811678735171,0.28158844765343,-2.24675934835667,0.0028623689114367,0.152949345856435,0.00504737018911067,-2.24725085204147,0.00337697060329286,0.094195884077682,0.00471666182781991,-2.23397039106672,0.00985711880047507,0.136314296500493,0.014832830824069,-2.24716402118625,NA,0.153260252595467,NA
"11422-47",390,-2.245641,0.1549768,-1,0.8,0.1,0.11157286615542,0.36328125,-2.25038974616525,0.00298240417550978,0.158532858062336,0.00483954208447619,-2.25505182841786,0.00374771000597744,0.104166634744669,0.00480942459153728,-2.24573960806399,0.00930886982555058,0.158165210513884,0.0153782388085459,-2.25165591167646,NA,0.157204351488016,NA
