"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",390,-2.245641,0.1549768,0.1,0.8,0.113055636655498,0.190677966101695,-2.24271211833516,0.00309655319255116,0.151987200422091,0.00471375889855916,-2.24290571240865,0.00344248756275625,0.119918341233088,0.00468441437960156,-2.2439122153728,0.0101686699481968,0.142292186720688,0.0148012033430485,-2.24239344150999,0.00322154350161226,0.152024003256228,0.00446727678687055,0.76954430242372
"11422-2",390,-2.245641,0.1549768,0.1,0.8,0.112389213930524,0.157446808510638,-2.24978743359462,0.00311526375384943,0.153814108086042,0.00472452001828311,-2.25043048491916,0.00339525660490535,0.127161746924303,0.00468963652653052,-2.25952793403934,0.00939557452152775,0.151568618199444,0.0155187644185732,-2.24925535372853,0.00322985664642212,0.152951215643572,0.00446757191227588,0.805395795460797
"11422-3",390,-2.245641,0.1549768,0.1,0.8,0.112758165958528,0.173160173160173,-2.24969455788245,0.00314026183408457,0.157479038279088,0.00469741826873121,-2.24997721775667,0.0034541937607797,0.128327350435167,0.00468811674627218,-2.24161830262742,0.00950400170805447,0.124809198852398,0.015266327944145,-2.24892208552455,0.00328361187843762,0.157192029414827,0.00431580744188118,0.790979471616575
"11422-4",390,-2.245641,0.1549768,0.1,0.8,0.11258315685248,0.204081632653061,-2.24315556994527,0.00303795542711412,0.151791209442128,0.00475833219081187,-2.24301219017996,0.00340530150180928,0.11469083906077,0.00468403463012996,-2.23506875543672,0.00968593788684168,0.154289506133332,0.014876265900342,-2.24436429665964,0.00317756705364082,0.15029434275125,0.00476524895118474,0.767236033743381
"11422-5",390,-2.245641,0.1549768,0.1,0.8,0.112876517861304,0.200873362445415,-2.24847223234771,0.00315363188364419,0.155081071669533,0.00469255347493131,-2.24973131684279,0.00352890042886917,0.125025756459699,0.00470697566361302,-2.26064812707147,0.0096198295376551,0.145871394070234,0.0152971826830429,-2.24926397343928,0.00332809038591885,0.15507742072706,0.00435350447190009,0.787512800006526
"11422-6",390,-2.245641,0.1549768,0.1,0.8,0.112381686130713,0.173387096774194,-2.24585304538042,0.00302475182921551,0.156678615274905,0.00477861742752725,-2.24463502845055,0.00332502980823152,0.119913933229751,0.00468349688828998,-2.24201812973703,0.00990681652838599,0.158401027825888,0.014798336800434,-2.24583476147567,0.0031377284690388,0.157384302166249,0.0046463795781813,0.763583792284784
"11422-7",390,-2.245641,0.1549768,0.1,0.8,0.113344376741089,0.169565217391304,-2.24100860581526,0.00313354853812933,0.148667327036884,0.00468965488654219,-2.24015369118082,0.00343662805407583,0.119654568784977,0.00467753637538274,-2.23008654787643,0.0103202502421819,0.131731722614177,0.0146573565994159,-2.23978125939754,0.00319360507516606,0.14931509255057,0.00453584661128628,0.784428415219979
"11422-8",390,-2.245641,0.1549768,0.1,0.8,0.113608080289336,0.162280701754386,-2.24424895438364,0.0031517046519769,0.159160487284204,0.00467629057371377,-2.2451870590519,0.00344598093214807,0.133065022906042,0.00467436770372435,-2.24358746835129,0.0103930103015466,0.166672885572623,0.0146574496466007,-2.24480575487377,0.00333174561523288,0.158376074396725,0.00427404397802005,0.825373473939969
"11422-9",390,-2.245641,0.1549768,0.1,0.8,0.112946580220751,0.135021097046413,-2.24582881815152,0.00309375113874065,0.157980023119917,0.00471577128650637,-2.24590448541411,0.00332655686512014,0.13251675148237,0.0046703493697372,-2.24989946622497,0.00975157045465919,0.156860998805124,0.0149747114486398,-2.2466638692156,0.00324009064321599,0.157163469140772,0.00434929913022543,0.842578405566052
"11422-10",390,-2.245641,0.1549768,0.1,0.8,0.112477710444279,0.180616740088106,-2.25177490985208,0.00317289194941489,0.152939527149246,0.00469830381589734,-2.25065046958516,0.00350422238031958,0.121982116621705,0.00470772948640324,-2.25546762093847,0.010688004725806,0.164354480694054,0.0147229720679167,-2.25157506549334,0.00330478472523788,0.152099428493325,0.00439897099165812,0.801280267551276
"11422-11",390,-2.245641,0.1549768,0.1,0.8,0.112955989695694,0.158995815899582,-2.24166386911305,0.00307503047617459,0.150357039684345,0.00472582714204071,-2.24425724421389,0.00335763268131087,0.126904589453911,0.00467253102995431,-2.23761460758793,0.0101242775910501,0.153450356255928,0.0147046855095796,-2.2429682218652,0.00321383634622144,0.15158281015459,0.00446858474669235,0.809387174870576
