"sim","N","beta0","beta1","q","avg_prev","fpr","ppv","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",390,-2.245641,0.1549768,0.25,0.111467374632529,0.29520295202952,0.597989949748744,-2.24383597522519,0.00289231148522148,0.154669311916527,0.00496621096722448,-2.24290571240865,0.00344248756275625,0.0936989980861595,0.00471294331533864,-2.24638525051969,0.00586230375648824,0.164201953977859,0.00972328602477466,-2.24375417819064,0.00288583383192169,0.154545656122402,0.00512683229095196,0.597632579645254
"11422-2",390,-2.245641,0.1549768,0.25,0.110978942521896,0.277153558052434,0.624365482233503,-2.25196182746595,0.00292743145442759,0.160839370146007,0.00493552474513253,-2.25455427709528,0.00344815124357451,0.108373352512512,0.00472393652094993,-2.24685823299286,0.00582400010005606,0.160430421674292,0.0098135556762133,-2.25135462168,0.00295403463171034,0.160866881910414,0.00487977606013347,0.616988196759883
"11422-3",390,-2.245641,0.1549768,0.25,0.111433031496013,0.337078651685393,0.577464788732394,-2.24488850697249,0.002913383828478,0.15233383773395,0.00492857287465818,-2.24634783445566,0.0035817672206978,0.0933420754269165,0.00474593431259574,-2.2416407986985,0.00599059923321783,0.155543383826588,0.00954347600337552,-2.24621211786858,0.0029704454345331,0.152607572611946,0.00482553650315797,0.591643050902955
"11422-4",390,-2.245641,0.1549768,0.25,0.111451358154058,0.217228464419476,0.679558011049724,-2.24668640028982,0.00291572379367094,0.157587581911936,0.00492329300186533,-2.24946631790695,0.00330002377652488,0.115450625015127,0.00469923314813704,-2.25008844516434,0.00582686733380787,0.169001689872951,0.0097875065888727,-2.24762803303555,0.00294664295118846,0.155688238098114,0.00497390357903773,0.701346337440986
"11422-5",390,-2.245641,0.1549768,0.25,0.110500800507491,0.304659498207885,0.566326530612245,-2.25219194267728,0.00285920849014517,0.163803671403508,0.00505838561593823,-2.25307690697551,0.00342968839189334,0.0978204157772821,0.00472418002760686,-2.24933995142813,0.0056661069977863,0.168034343948532,0.0101579036625151,-2.25241620825202,0.0028933254073555,0.162468141041232,0.00508515020949171,0.573961565404829
"11422-6",390,-2.245641,0.1549768,0.25,0.111548969567503,0.301526717557252,0.618357487922705,-2.24569384262658,0.0029420151768826,0.151740196554227,0.00488433345732804,-2.24465619389997,0.00351820380966058,0.0946986561907754,0.00472495175599819,-2.24654474477419,0.00546570186918979,0.154724231412705,0.0108654172131564,-2.24599654856645,0.00302592357290482,0.149838368813353,0.0048777458304706,0.630545767837487
"11422-7",390,-2.245641,0.1549768,0.25,0.11125648013318,0.289377289377289,0.596938775510204,-2.24708167265023,0.00288477991564913,0.161348917581209,0.00498481835241272,-2.24905499176821,0.00342541983945609,0.103149258394425,0.00471279555654145,-2.24891230216908,0.00569562363907648,0.163302474766062,0.0100783180999193,-2.24652400031722,0.0028745509764426,0.161273430134736,0.00518408378989223,0.590491828626481
"11422-8",390,-2.245641,0.1549768,0.25,0.111671498924611,0.287313432835821,0.613065326633166,-2.24767259038447,0.00291193861639362,0.167529999070946,0.00492329407749105,-2.24508902430533,0.00344422291831688,0.101190800241868,0.00470769511714661,-2.25503557881913,0.00580063415301788,0.174285658544275,0.00987483840742899,-2.24699003721218,0.00291971946745028,0.167838096814775,0.00492675174875834,0.603927127873124
"11422-9",390,-2.245641,0.1549768,0.25,0.110977407611103,0.256410256410256,0.625668449197861,-2.24477796275886,0.00288104227885844,0.146822512523042,0.00500219586832909,-2.24357295476504,0.00333897663641735,0.0919632636662589,0.00471044458261546,-2.2440565602439,0.00590291490792422,0.133120729491667,0.00975117003295237,-2.24527353012863,0.00287019537668763,0.146742745036162,0.0050114960877495,0.633245787201608
"11422-10",390,-2.245641,0.1549768,0.25,0.110987106245508,0.322222222222222,0.579710144927536,-2.24738212888613,0.00290338383589376,0.151192758432831,0.00497467237480466,-2.24462379362535,0.00352086410275652,0.085425205937358,0.00474052469563925,-2.25411716594606,0.00607422989175988,0.171197873643288,0.00952366319547178,-2.24685368485386,0.00286258492114273,0.150652815417905,0.00533969245288804,0.575843097317602
"11422-11",390,-2.245641,0.1549768,0.25,0.111682625044994,0.237918215613383,0.654054054054054,-2.24415191032488,0.00290190401783214,0.158857869109468,0.00493726861484614,-2.24662946930254,0.00332915483920098,0.11161874328416,0.00469556836131172,-2.24680213517232,0.00594522168704313,0.168227459193183,0.00957615423267525,-2.24510637201632,0.00292751155849354,0.156708366171375,0.00494323903509935,0.676277289495332
"11422-12",390,-2.245641,0.1549768,0.25,0.110801827527233,0.301418439716312,0.559585492227979,-2.24392753379445,0.0028344416356456,0.150093902061703,0.00510749922814233,-2.24246594350115,0.00338669827786843,0.0840197373023828,0.00471801748461652,-2.24721866739408,0.00578595403975067,0.160257356003555,0.00990252731714315,-2.24422336719788,0.00280595989813762,0.149070697105225,0.0054093351106123,0.567485421667287
"11422-13",390,-2.245641,0.1549768,0.25,0.111058603860019,0.304347826086957,0.575757575757576,-2.24527982946851,0.00286649382146836,0.154284110051368,0.00502187677562792,-2.2454872707025,0.00343699320096504,0.0922129240973724,0.00471638582982182,-2.24230180118918,0.00571736530933156,0.151780938543663,0.00996747069082665,-2.24534787514034,0.00287191701436158,0.153745461131154,0.00511610839893908,0.578878981437557
"11422-14",390,-2.245641,0.1549768,0.25,0.111420132908296,0.324528301886792,0.592417061611374,-2.25016799998584,0.00293045958945689,0.164453006233587,0.00490310418980102,-2.25010336079335,0.00356563366443051,0.100512437357547,0.00474017702630474,-2.25223750322671,0.00597230323910915,0.165128752776832,0.00961615446109867,-2.24965745830689,0.00296180761322982,0.165312512196267,0.00482065215885858,0.583463070177657
"11422-15",390,-2.245641,0.1549768,0.25,0.110798141922466,0.257950530035336,0.594444444444444,-2.2447196279726,0.00282894648367022,0.153869112413699,0.00510928301470153,-2.24427891562163,0.0032829068123533,0.0935010545588977,0.00471355551276143,-2.24119753198534,0.00559357640383173,0.156538450169033,0.010277204946711,-2.24471916702146,0.00283308345834537,0.152722528773511,0.00536365265091679,0.599366813270647
"11422-16",390,-2.245641,0.1549768,0.25,0.11119194908489,0.292418772563177,0.582474226804124,-2.24366311194508,0.00285659411502145,0.154254923154119,0.00503252685601699,-2.24294689106474,0.00339498296863598,0.0912774285234495,0.00470739892011228,-2.24863925757672,0.00557910836645204,0.166970106977426,0.0103776732827688,-2.24389979813012,0.00292373436275183,0.154961568320326,0.00496074578181476,0.5821886717418
"11422-17",390,-2.245641,0.1549768,0.25,0.111536606291979,0.29277566539924,0.622549019607843,-2.24659976285061,0.00293653056755775,0.155089434647975,0.00488811271882172,-2.2443888364841,0.00348853622175519,0.0953254369906696,0.00471615597599237,-2.2425040209741,0.00635205304307885,0.141771207264923,0.00932756210995686,-2.2471151511943,0.00294402245378995,0.154255472702788,0.00471834039302567,0.632576218378083
"11422-18",390,-2.245641,0.1549768,0.25,0.111239593842313,0.271062271062271,0.612565445026178,-2.24584060644626,0.0028809344238459,0.157105019195196,0.00498404788735548,-2.24570029559964,0.00337423999377568,0.0988693941550341,0.00470376456903301,-2.24419141524903,0.00593997568702653,0.15394048605278,0.00959930656168688,-2.24669158589398,0.00291802210735403,0.155539390407763,0.00478309643540264,0.630364431644716
"11422-19",390,-2.245641,0.1549768,0.25,0.110583092073156,0.243816254416961,0.607954545454545,-2.24619381035257,0.00283240566249018,0.152664309825502,0.00512374104605428,-2.24819227710011,0.0032625763954712,0.099578857023846,0.00472572177627448,-2.24478437321984,0.0056445831653691,0.15754068342839,0.0101762548953801,-2.24552959903314,0.00281641178208847,0.153844606800035,0.00535994311113575,0.59340820888599
"11422-20",390,-2.245641,0.1549768,0.25,0.111774780112057,0.314606741573034,0.594202898550725,-2.2386730725871,0.0029038611292477,0.143235155871118,0.00492926064261229,-2.23757095367699,0.00350738929599186,0.0854845307474352,0.00471896483850751,-2.23999914894155,0.00598813034026522,0.137283496774247,0.0095893433045033,-2.23895041891978,0.00286761848691225,0.14253500962733,0.00498406372247734,0.600965937982105
"11422-21",390,-2.245641,0.1549768,0.25,0.111342964740791,0.329710144927536,0.55609756097561,-2.2437083217876,0.00286323705760454,0.157354382981302,0.00501056030553594,-2.24345854876228,0.00349423881411123,0.090313512960547,0.00472101956318472,-2.24535080879315,0.00585676914137404,0.152442669471538,0.00973791923913137,-2.24365088672661,0.00288037273939839,0.160226155247244,0.00499416862193627,0.544463238169713
"11422-22",390,-2.245641,0.1549768,0.25,0.110854967437957,0.353571428571429,0.526315789473684,-2.24709029665221,0.0028461504027031,0.15922543588696,0.00507181047950596,-2.24714724727288,0.00354051519990314,0.0869489311352317,0.00474273517383738,-2.25373153301203,0.00575358978584615,0.149131273816897,0.0100442316376352,-2.24757677815464,0.00282437667352579,0.157143041982424,0.00522445958980947,0.539359196961409
"11422-23",390,-2.245641,0.1549768,0.25,0.110594927302763,0.249110320284698,0.608938547486033,-2.24743169154837,0.00284135538303271,0.154229842332113,0.0050916924986408,-2.2452902963548,0.00327462423510736,0.092300617651401,0.00471880058566751,-2.25274843022583,0.00574551163282977,0.155046329383497,0.0100103013053125,-2.24746379576805,0.00283286043843869,0.154416587738769,0.00512052337455635,0.608622450597102
"11422-24",390,-2.245641,0.1549768,0.25,0.111787567380703,0.284644194756554,0.618090452261307,-2.24544916152196,0.0029143485697122,0.162951230847792,0.00491640966678412,-2.24422951658309,0.00344461031714959,0.101448591539187,0.00470623606510087,-2.25357594046521,0.00559690623240372,0.183363708033666,0.0103561434948721,-2.24444941716169,0.00290908161221199,0.165912945588465,0.0050818482878915,0.594265681048415
"11422-25",390,-2.245641,0.1549768,0.25,0.111530033048967,0.310469314079422,0.5678391959799,-2.24210202857907,0.00285802858704258,0.158710228995267,0.00502193002018512,-2.24135386829203,0.00344089733871246,0.0918430129209235,0.00471069978322874,-2.24998757422389,0.00583638569855516,0.168658801726548,0.00979786731679834,-2.24145149949721,0.00284642667061343,0.158558385637806,0.0051185989182315,0.560770353228534
"11422-26",390,-2.245641,0.1549768,0.25,0.110675323871468,0.3,0.56701030927835,-2.24871403394094,0.00285049485327735,0.159467040160544,0.00507587293373004,-2.24710209478681,0.00340242283859077,0.0905005780017692,0.00472070812928322,-2.24614366802553,0.00542829115529409,0.160807217606834,0.011030239375265,-2.24934005860391,0.00291128168417159,0.158254439239883,0.00520297143898305,0.579381479006378
"11422-27",390,-2.245641,0.1549768,0.25,0.111076498793995,0.276752767527675,0.61340206185567,-2.24616058262876,0.00289460038556371,0.151327245676252,0.00497940572224502,-2.2469257304219,0.00340628857052104,0.096870094143226,0.00471506854829751,-2.24301376006145,0.00569055004439922,0.153910307470018,0.0100861514219639,-2.24590863568913,0.00291216683005356,0.151731260171638,0.00502142744364184,0.608525080733453
"11422-28",390,-2.245641,0.1549768,0.25,0.111722268271393,0.313653136531365,0.583333333333333,-2.24206123551758,0.00288956921597581,0.156375000315722,0.00496135637884976,-2.24398024928549,0.00349012937092529,0.0977164318863947,0.00471874578639,-2.2426745493964,0.00576744819999046,0.162768282737248,0.00986804688874573,-2.2421978897584,0.00288245923609473,0.156573899852999,0.00507228127245916,0.58412026595895
"11422-29",390,-2.245641,0.1549768,0.25,0.111297986228635,0.33976833976834,0.598173515981735,-2.24704343726066,0.00296439707744328,0.146218941770545,0.00487393458317655,-2.24298392627202,0.00364079442043043,0.0831482796791006,0.00477117313014327,-2.24090948430158,0.00589767661793248,0.134205958157223,0.0097164453967991,-2.24672522433028,0.00295364675878102,0.146407343021816,0.00489304471338566,0.593762840099307
"11422-30",390,-2.245641,0.1549768,0.25,0.111073744251131,0.283582089552239,0.616161616161616,-2.24926157396379,0.0029162940193061,0.156610804710589,0.00494427344677309,-2.25077924750822,0.00344784453972038,0.102295454670106,0.00472054405992097,-2.25165636899736,0.00575749849421044,0.164739664564096,0.00999588724345275,-2.25033942568688,0.00293992315543975,0.157724604656543,0.00495613860979402,0.624502873766778
"11422-31",390,-2.245641,0.1549768,0.25,0.111486435089909,0.324626865671642,0.583732057416268,-2.24836366335891,0.00291428664126918,0.164720899358246,0.00493156702129444,-2.24721416704056,0.00354395917649213,0.0973625988724229,0.00473610984739887,-2.24923981988638,0.00586825513687575,0.170443628331389,0.00971851895294251,-2.24809035997398,0.00291262843008405,0.164438662612161,0.00500935114612731,0.581940741861376
"11422-32",390,-2.245641,0.1549768,0.25,0.110867035121792,0.27536231884058,0.6,-2.24844735286133,0.00286998582520435,0.158586878791308,0.00502556963860759,-2.24581899468187,0.0033670402729536,0.0929875781305673,0.00471293392931227,-2.24639896897283,0.00569433057383399,0.153514434564822,0.0101043157148744,-2.24817178796216,0.00288731059160252,0.157457877865737,0.00503027766469866,0.601201043842657
"11422-33",390,-2.245641,0.1549768,0.25,0.111116212911247,0.244604316546763,0.622222222222222,-2.24250736688725,0.00285183915517527,0.149696861644499,0.00505299479744253,-2.24385450004901,0.00328313770013328,0.0985014746828412,0.00471033854344548,-2.24925634956743,0.00583172011225017,0.158684466222711,0.00982310158713102,-2.2420861382628,0.00282594374550036,0.150928426685305,0.0051295877579201,0.61069470727044
