"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.11203932780034,0.303261623872311,-2.24440011642946,0.00125386219699518,0.153062469954944,0.00203321735815061,-2.24478816158991,0.00150268387688372,0.100462419391975,0.00199290803762953,-2.2432128819126,0.00251854752007605,0.151812916391149,0.00405303293985112,-2.24460823217436,0.00128766824072446,0.152243881028124,0.00203094977163586
"11422-2",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111447771094815,0.308050565535595,-2.24658358178835,0.00122883287773817,0.156817792905848,0.00207209246191961,-2.24700696070124,0.00147733494934219,0.0979360340258182,0.00198940599724439,-2.2484489506686,0.00245517191554152,0.155783124621744,0.00415643476220034,-2.24733153784994,0.00125954276597853,0.155592507834678,0.00208614935828782
"11422-3",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111491744370058,0.299128101945003,-2.24604747036451,0.00123343438095778,0.153937777296145,0.00206524448325319,-2.24628743915704,0.00147350481101106,0.0976917131612496,0.00198825393393776,-2.24882115727687,0.00245705357095848,0.157026486939379,0.00415669520539758,-2.24631104637696,0.00126553007540315,0.154176622837773,0.00207531884455109
"11422-4",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111890517654763,0.292950034223135,-2.24472656122053,0.00124557595651884,0.154125788056266,0.00204462665536609,-2.24483427556953,0.00148141276649666,0.100510510538218,0.00198777692390731,-2.24542570671533,0.00252155613065783,0.158802455694479,0.00404841195343807,-2.24454107782215,0.00126901543313432,0.153871808307247,0.00206235226352339
"11422-5",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111595152336333,0.296570275722932,-2.24628779232601,0.00123521907026485,0.156417395242957,0.00206085950625148,-2.24705170050743,0.00147328414333545,0.100887841400095,0.00198731125937413,-2.24460513986725,0.00240093380153184,0.154337386769142,0.00425838273205705,-2.24625496564897,0.00126281719143596,0.156620894253076,0.00208143882627392
"11422-6",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111517182943128,0.29879679144385,-2.24633506602749,0.00123169574970465,0.156459850094961,0.0020679517533293,-2.24467007469014,0.00146960759864246,0.0954999492080729,0.00198748129098306,-2.2474951266758,0.00247498882456872,0.155218135778908,0.00412456680824897,-2.24597822701249,0.00125349331972044,0.157014511942585,0.00208502448115492
"11422-7",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111453633564415,0.292484766418416,-2.24817916032905,0.00124044902117104,0.156104830444071,0.00205650343616549,-2.24786252303946,0.00147428444910948,0.0999602307614989,0.00198858841305547,-2.2505465837185,0.00247692426812854,0.156165915432535,0.00412567102743352,-2.248560332765,0.00127083831466437,0.155406359548144,0.00205464907519017
"11422-8",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111806193646301,0.29553264604811,-2.24567968134687,0.00124846139710098,0.153577734276123,0.00204229386681109,-2.24628202719633,0.00148798761541689,0.101118796663646,0.00199000322611313,-2.24445354989681,0.00253080947946809,0.151865350697285,0.00404124166908986,-2.24516450951028,0.00126646349052343,0.153810648102025,0.00207008403844498
"11422-9",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111367208031611,0.304692663582287,-2.245125605388,0.00122421634925005,0.152637157930323,0.00208103702126591,-2.24620187630525,0.0014688337390287,0.0961145037865137,0.00198829046421053,-2.24702880953489,0.00245019225019574,0.151303701169671,0.00417407147860382,-2.24507784885599,0.00125247715795324,0.152274140844032,0.00210435381454809
"11422-10",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111421097291024,0.315123251165889,-2.246226272197,0.00123038147288295,0.154644139550204,0.00207291965015657,-2.24683577271451,0.00148723874860151,0.0961930531105912,0.00199327290160176,-2.24554950635701,0.00244819414516327,0.1528041497982,0.00417135336706961,-2.24618292879047,0.00125593484222543,0.154042783569681,0.00210654455587851
"11422-11",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111836817618737,0.318088737201365,-2.24539000872899,0.00124434675978907,0.155455544202365,0.00204680260338621,-2.24545787309475,0.00150669867119762,0.0981260058151185,0.0019956308361536,-2.25040366971094,0.00249986630472192,0.163469267512347,0.00408953064180136,-2.24577406853777,0.00127951676486886,0.155281857404276,0.00204557152649741
"11422-12",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111851929837208,0.313269493844049,-2.24421260560782,0.00124508148030842,0.152068387815255,0.00204594838171121,-2.24502613271,0.00150321850855616,0.097979126491868,0.00199450953940843,-2.24391875285966,0.00244054120876371,0.147700531367006,0.00417423732074023,-2.24470656560945,0.00127976892903882,0.15142261743094,0.00205242901111734
"11422-13",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111615171513968,0.303994583615437,-2.2466743049897,0.00124002649385092,0.15599619486169,0.00205515178547199,-2.24641339226722,0.0014861609431714,0.0986251144190744,0.00199083399085045,-2.24682708576575,0.00242332507499188,0.160057253939875,0.00421053051938558,-2.24660285649865,0.00126806369970087,0.156242342656859,0.00207036239356719
"11422-14",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111798094937177,0.309716599190283,-2.24316195904608,0.00123533222914214,0.151776683697304,0.00205762091227994,-2.24451272809969,0.00148766333029283,0.0977149773411349,0.00198974625373041,-2.24458327618302,0.00250540751875786,0.157979351500563,0.00406203498426043,-2.24267255516464,0.00126033096757033,0.151758731792985,0.00209323068419858
"11422-15",2200,-2.245641,0.1549768,-0.7,0.8,0.25,0.111501063105286,0.285714285714286,-2.24490423850394,0.00123008073832333,0.152409315480626,0.00206997780624919,-2.24382156960696,0.00145466693599794,0.0953741657380453,0.00198423402178747,-2.24405453178394,0.0024327291149614,0.148794815015941,0.00419712397723957,-2.24475041860244,0.00125405998851782,0.152314355100706,0.00208791540998193
