"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111272986653651,0.313953488372093,-2.24957472953156,0.00297094396370296,0.151380418761792,0.00485896678052871,-2.24837955697881,0.00358501106533615,0.0944783574167618,0.00474852081461125,-2.25546945195337,0.00939059854588343,0.153141579122461,0.0154358619982344,-2.24939822056676,0.00303653795367222,0.15217999845093,0.00514338389343753,0.61426783757537
"11422-2",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.112463197531586,0.266129032258065,-2.2436939630643,0.00302154696539787,0.153289800394514,0.00477443554689612,-2.23878847682394,0.00351822588124124,0.0984130066841202,0.00471056874177786,-2.24576654758615,0.00994741429707833,0.147476058747027,0.0148667864351019,-2.24230736502582,0.00312915890797702,0.155644013474151,0.00463281730227963,0.65537278878687
"11422-3",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.112095560912673,0.288461538461538,-2.2416579376814,0.00294904349824634,0.15194140566349,0.0048591018526081,-2.23924004207435,0.00349149056243767,0.094678296766235,0.0047106300492812,-2.2149498971117,0.0095765033895664,0.0996121620564979,0.0150174711528286,-2.24058829354443,0.00298319271293873,0.152998239884132,0.00485747404065399,0.61672417785712
"11422-4",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.11140234931263,0.262357414448669,-2.24477974242936,0.00293465857944214,0.146548657284259,0.00490119592203712,-2.2450002351665,0.00341800852358239,0.0977375575974847,0.0047078100388253,-2.24156729002764,0.0089625692344933,0.11645632778843,0.0162600109912385,-2.24440352756765,0.00302341927464461,0.145344393108632,0.00504237486364444,0.648949383011804
"11422-5",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111221076268185,0.296028880866426,-2.24384294161789,0.00285927835279832,0.15551290736293,0.00503069088999222,-2.24367984156174,0.00340773252096761,0.0927648881508899,0.00471024486618306,-2.2528421345624,0.00921707768174039,0.171921213951795,0.0156526586408701,-2.24525965825936,0.0030174772772151,0.153661018854809,0.00503025535468345,0.604997338497056
"11422-6",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.112227958268827,0.247967479674797,-2.24811987763311,0.00304043969672016,0.157058160203537,0.00476913463426093,-2.24698534497691,0.00350448053976118,0.110764976990667,0.00471165455840044,-2.24643877424365,0.0106630634975668,0.14787809344812,0.0147213896313075,-2.2487711514771,0.00310251631864683,0.156603057858456,0.00469782220520579,0.71251925964779
"11422-7",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.113188226425321,0.288702928870293,-2.23995997339989,0.00307340350243642,0.151011174547749,0.00472233329672355,-2.23769955809704,0.00363995020652734,0.102225441009882,0.00474264646080812,-2.23706992758813,0.0103533837891427,0.162240067212622,0.0146142225327964,-2.23995944693501,0.00325780482095157,0.151352646805938,0.00441213220081156,0.68503757177561
"11422-8",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.110944636583759,0.273722627737226,-2.24677329072859,0.00287752120372705,0.153002769409446,0.00500957963772215,-2.24544517378722,0.00337516219163434,0.0929746506061701,0.00471249381144503,-2.24580679819415,0.00885649047705159,0.165203816197943,0.0164961580327033,-2.24639137227613,0.00300474789456619,0.152269174654148,0.00525650721990737,0.60559758720316
"11422-9",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.111488985277714,0.239700374531835,-2.24749547171734,0.00291613272711345,0.16112708292372,0.00492373642665151,-2.24937829328108,0.00334871593322067,0.112424660660439,0.00469987581813282,-2.25170671532932,0.00936011014809799,0.156571414091697,0.015423913629773,-2.24871722636215,0.00304443081138908,0.159256584835073,0.00478337664512065,0.681641789699307
"11422-10",390,-2.245641,0.1549768,-0.7,0.4,0.1,0.112672111462012,0.258196721311475,-2.24606892087757,0.00305110588371629,0.15953672423976,0.00474880152142344,-2.24600084587972,0.00354482791943626,0.113874172886624,0.00471603052647296,-2.23797779665672,0.00897736803621919,0.148275257252525,0.0160280263279682,-2.24595713916311,0.00320194331132756,0.159711546313578,0.0046590256896796,0.696603873164806
