"sim","N","beta0","beta1","q","avg_prev","fpr","ppv","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",390,-2.245641,0.1549768,0.5,0.111915952525216,0.626262626262626,NA,-2.2424161297424,0.00291650447719517,0.156213431615352,0.00491024552070975,-2.24443094787114,0.00343656683966647,0.104416952560332,0.00470339937345054,-2.23723369896052,0.0041281433657889,0.153031810628786,0.00690852346140347,-2.24253863857578,0.0028870301674492,0.156309194042171,0.00476113279364522,0.627568687607951
"11422-2",390,-2.245641,0.1549768,0.5,0.111287220354198,0.644329896907217,NA,-2.24902544531555,0.0029315168879836,0.158029706392646,0.00491648341094954,-2.24563225032417,0.00340417659489464,0.0980244131108164,0.00471136378934586,-2.25137563003809,0.00420695579011659,0.161089437036129,0.00686715994098016,-2.24956078302355,0.00289737031892813,0.157130178955288,0.00482427506142457,0.654919217972082
"11422-3",390,-2.245641,0.1549768,0.5,0.111633578999823,0.644329896907217,NA,-2.24393986038769,0.00292159124313299,0.15258504832669,0.00490891727818886,-2.24262094263355,0.00339304749284978,0.0984603629766422,0.0046998464877343,-2.24749665591385,0.00413120757120475,0.160868113181946,0.00694920787455061,-2.24378712151263,0.00284569431754227,0.152410595228104,0.00485135034414412,0.643204554758931
"11422-4",390,-2.245641,0.1549768,0.5,0.11143694220225,0.602941176470588,NA,-2.24455934277755,0.0029140642906122,0.151301263424253,0.00493260456044394,-2.24720378599062,0.00349658796448982,0.0987545738324071,0.00472402110038388,-2.24869469172276,0.00406319344510832,0.154235177457074,0.0071207145280303,-2.24500686842098,0.00286074917415324,0.151723769403476,0.00484101783479415,0.60666133511347
"11422-5",390,-2.245641,0.1549768,0.5,0.111436316646881,0.606965174129353,NA,-2.24642438363935,0.00291154347761473,0.157696961522328,0.00493419815350415,-2.24618950571322,0.0034664791675517,0.0983035188337589,0.00471650550524188,-2.24704307694874,0.00413424252938816,0.156365024222706,0.00695966649781347,-2.24558924473021,0.0028168059153747,0.15885260357011,0.00492011703855562,0.592535706973663
"11422-6",390,-2.245641,0.1549768,0.5,0.110888883767427,0.620879120879121,NA,-2.24792131440056,0.00286457602944825,0.159043304490754,0.00503571726365675,-2.25313034006642,0.00331640651575535,0.112100990380706,0.00471208293650944,-2.24686178815785,0.00416558058255292,0.157796069043611,0.00689901616700793,-2.24827958475387,0.00282122957431828,0.157947141106197,0.00494140235881605,0.629856832012082
"11422-7",390,-2.245641,0.1549768,0.5,0.111889745506465,0.668367346938776,NA,-2.24442662828073,0.00295696178867577,0.153337044493242,0.00485435875600791,-2.24424489714148,0.00341625265498242,0.104722116158022,0.00469792387757637,-2.23943578265057,0.00413530276932816,0.152862496050003,0.00691628248193212,-2.24355414476212,0.00285367741350605,0.154090911596438,0.00484477116986992,0.653714059061272
"11422-8",390,-2.245641,0.1549768,0.5,0.111279317491273,0.651741293532338,NA,-2.2499043208434,0.00296579175133352,0.153471708888453,0.00486978711559592,-2.25347318689616,0.00347954944216192,0.109150739431014,0.00472212819559539,-2.25003103009162,0.00403688711331889,0.156357941099215,0.00719242913484031,-2.25060832634105,0.00291105679363831,0.15382553896241,0.0048021202504045,0.658807824536302
"11422-9",390,-2.245641,0.1549768,0.5,0.111862379757359,0.6282722513089,NA,-2.24188319054549,0.00289626349302716,0.158220462370257,0.00494464329869872,-2.24530203359777,0.00337878230941948,0.109055280404903,0.00469765957878391,-2.24420132465743,0.00410073647158952,0.155003686663385,0.00701512916367228,-2.24222197754689,0.00283622936787389,0.157123982891616,0.0048507740327485,0.637430839343773
"11422-10",390,-2.245641,0.1549768,0.5,0.111436465873168,0.65945945945946,NA,-2.24264213846888,0.00290471854042628,0.146849922621411,0.00494450606205648,-2.24440069270019,0.00332460745889296,0.102697351614725,0.00470128410373619,-2.24544613419705,0.0042396855088252,0.148741369110177,0.0068065581733337,-2.24272185017003,0.0028289231250332,0.145991042984353,0.00482499569080874,0.66490895388643
