"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","eta0_gs","se_eta0_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","eta0_cc","se_eta0_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta1_mle","eta0_mle","se_eta0_mle"
"11422-1",390,-2.245641,0.1549768,0.1,0.9,0.114079272113142,0.107476635514019,-2.24260789603753,0.00325220784669038,0.152502467280691,0.00464936249287456,2.03498977859725,0.221717613203965,-2.24290571240865,0.00344248756275625,0.136603494321844,0.00466655672854427,-2.24580338358697,0.0109520370703831,0.147739148942741,0.0147640339886423,2.30258509299404,0.741619817620974,-2.24888168755174,0.00760980103625659,0.0824916493206386,0.0079862824839704,3.6225540194143,0.39051704564753
"11422-2",390,-2.245641,0.1549768,0.1,0.9,0.113115962434182,0.0958904109589041,-2.25001046303372,0.00322724968973288,0.15442100689207,0.0046741864235714,2.09714111654431,0.231222493147722,-2.25043048491917,0.00339525660490535,0.139403762401385,0.00467604265468282,-2.26133584342763,0.00958882437789011,0.156760957260008,0.015269202187974,1.25276296849397,0.566946355851148,-2.26398247360413,0.00739102333309013,0.091080628560871,0.0077064220744686,3.17048081125807,0.295949591937966
"11422-3",390,-2.245641,0.1549768,0.1,0.9,0.11375727658476,0.0861244019138756,-2.24944185690117,0.00330135363126014,0.156713079029378,0.00465042727056646,2.30812527336965,0.247144516107758,-2.24997721775667,0.0034541937607797,0.144531800875794,0.00467086352149768,-2.24591700791474,0.0101581738547691,0.139828222514118,0.0148080551821454,25.5660692500057,52387.7441657191,-2.24591700791572,0.00990315663368998,0.0765440309231017,0.0101732415089902,25.970108063234,30655.3998176595
"11422-4",390,-2.245641,0.1549768,0.1,0.9,0.113725967157257,0.113636363636364,-2.24422857221555,0.00320779753517168,0.1545723268976,0.0046591104803869,1.91692261216655,0.214201149757271,-2.24301219017996,0.00340530150180928,0.133738058160653,0.00466315756903237,-2.23523286899887,0.0101190921360144,0.154666594324696,0.0146605775244821,2.14006615791546,0.747509915567977,-2.24848001811615,0.0072254635393751,0.080382970214834,0.00758560239190041,2.9793471201213,0.283668511374563
"11422-5",390,-2.245641,0.1549768,0.1,0.9,0.113833795395052,0.120192307692308,-2.24890299506823,0.00330908123066934,0.155997368258647,0.004651334770868,1.98513086207497,0.21329289200222,-2.24973131684278,0.00352890042886918,0.139924023626189,0.00469171170353945,-2.2507844357948,0.0107112773057889,0.129181601497337,0.0148243858558939,2.2512917986065,0.743391928346049,-2.2555249017395,0.00729958593045253,0.0876263830913234,0.00765894969860934,3.55607634028745,0.374035109515908
"11422-6",390,-2.245641,0.1549768,0.1,0.9,0.113063140984917,0.120171673819742,-2.24596440270642,0.00312053755402338,0.156749108394006,0.00470290924294443,1.7240412951731,0.205143149275833,-2.24463502845054,0.00332502980823152,0.131853211403681,0.00466969414223243,-2.24390123610886,0.0103778868569443,0.16182327147657,0.0146596226703827,2.19722456035744,0.745294568564561,-2.25430868227823,0.00692118192563925,0.0799761463801831,0.00734865499420585,2.92947713727418,0.280802080112505
"11422-7",390,-2.245641,0.1549768,0.1,0.9,0.114164381476876,0.0990566037735849,-2.24072169822996,0.00326335840874549,0.148674796335058,0.00464634331584628,2.13726110730004,0.230720981512693,-2.24015369118082,0.00343662805407581,0.132967361352008,0.00466328277233692,-2.23023206271714,0.0108490728527737,0.13428196443479,0.0146644080252471,1.38629436111969,0.499999876356414,-2.23604217763906,0.00749843269510019,0.0700266381655178,0.0078383914653242,2.96429932983684,0.272011443632241
"11422-8",390,-2.245641,0.1549768,0.1,0.9,0.114524758114399,0.0817307692307692,-2.24544155419457,0.00330149789842794,0.161150106253997,0.00463841776353757,2.37079334302053,0.253609975543108,-2.2451870590519,0.00344598093214807,0.147788862952244,0.00465874837944809,-2.24822876380955,0.0112515896506946,0.173228723055093,0.0147638924589671,3.04452241195427,1.0234218591809,-2.2563523423799,0.00824820045805444,0.0943929238371803,0.00853484585389664,3.67680294080312,0.389683993124335
"11422-9",390,-2.245641,0.1549768,0.1,0.9,0.113675676501123,0.0723981900452489,-2.24612350920937,0.00320450194610412,0.158343656610694,0.00466187056708767,2.35730999268327,0.26156671516242,-2.24590448541411,0.00332655686512014,0.145191842020405,0.00465583835974371,-2.249374200097,0.0101834238498498,0.15551579987588,0.0147586657441592,2.83321334309123,1.02897020104758,-2.25202768498161,0.00816305333113733,0.0824306092777885,0.00857365272168585,4.189415331833,0.514134112346359
"11422-10",390,-2.245641,0.1549768,0.1,0.9,0.113472590202131,0.0926829268292683,-2.25085068078789,0.00333808330346882,0.151379842243087,0.00466104777275493,2.27591684591188,0.240908657375654,-2.25065046958516,0.00350422238031958,0.137875776669366,0.0046911513784304,-2.25235584964037,0.0115740417585051,0.157821427848043,0.0149251603189662,1.99243016452583,0.615452590714758,-2.25701757448932,0.00817988744087649,0.0851590427810748,0.0084659604738511,3.48840451104984,0.345057157843563
