"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","msg"
"11422-1",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.705128205128205,0.114299666849667,0.410026857654432,-2.2764400020622,0.00163574388978661,0.175184577239029,0.00195995060796421,0.14190208269367,0.00616854268182369,0.836210609194208,0.0709659846351286,0.208900406257007,0.379000724502797,-2.27734213566559,0.00204266066640902,0.126665722766888,0.00219306946460031,0.1466122948345,0.0061641468537061,-2.27738734683796,0.00529581535119177,0.177141739948862,0.00619447035478638,0.159788097411687,0.0200698971004626,0.956183589386734,0.230267283248004,-0.654530871500668,1.13143323740398,-2.27600910133731,0.00176479526023112,0.175120458396403,0.00676034664801925,0.140837440353778,0.00192781628998275,0.820135325750035,0.0751559005486657,0.257087578225427,0.396981746407083,""
"11422-2",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.694805194805195,0.114002396572215,0.427935943060498,-2.27876364253453,0.00165029041432765,0.175472583996192,0.00196222579000504,0.149927447184475,0.00658261725633666,0.733987131472185,0.0702016364049282,0.680022290345097,0.428563418820971,-2.27923443939599,0.00211083173682043,0.122952607004474,0.00221887277849339,0.164065243594305,0.00660417235854332,-2.28661804607209,0.00521347404268782,0.179120794673052,0.00621105457835777,0.190520554157016,0.0235393106855567,0.792898664541321,0.22302065112593,0.299405756011928,1.40328217267717,-2.2791510522672,0.00178555962142585,0.17546262767947,0.00748251110231057,0.149764034327773,0.00192689845740485,0.747582382117583,0.074742396218076,0.700928231891612,0.454915700110733,""
"11422-3",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.740506329113924,0.114082013315571,0.425909494232476,-2.27673081482056,0.00164283568554827,0.176619889073358,0.00196146282810323,0.138736468346412,0.00662752786413789,0.822378305707308,0.0702848616772268,-0.164916934129529,0.400943644404792,-2.27814755216492,0.00207304060542366,0.12769390931143,0.00220969755822455,0.135701447043527,0.00664305037785106,-2.27240610930924,0.00517144888046436,0.171824219173007,0.00624970318580991,0.114603792573049,0.0200053668283431,0.91220580217396,0.228299459508466,1.28008044816947,1.39098081979877,-2.27797989010468,0.00178112350335707,0.176843572686498,0.00750616458675177,0.141470697079078,0.00193554966197251,0.865087665651111,0.0750847609115983,-0.271445678424692,0.423602899737318,""
"11422-4",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.709302325581395,0.11435870615577,0.416281221091582,-2.27654526725931,0.00167484031180042,0.173884726482736,0.00196688021190275,0.136328046340027,0.00650316195504445,0.891537613817331,0.0713459391560541,0.181282971375577,0.417878124097319,-2.275507653101,0.00211381154167959,0.125043186083949,0.00222845695202808,0.139828352140507,0.00652297749850126,-2.27737876904187,0.00564222176464271,0.176296772749056,0.00629336128925868,0.131193316531775,0.0236944310719555,1.01524332178766,0.218679586424456,-1.09245239680205,1.20150429045203,-2.27641252480156,0.00179972873660828,0.173980948583064,0.00707371132363082,0.136917385502469,0.00193008412843326,0.884779155844773,0.0756636159175904,0.151111580460886,0.436419754578723,""
"11422-5",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.740506329113924,0.114567979681224,0.408799266727773,-2.27825889089934,0.001652295269854,0.178495142597669,0.00196255296495716,0.14577170176908,0.00606993649614739,0.874778069083289,0.0707584892927103,0.325235534997308,0.394013738839896,-2.28104347431972,0.0020814616870212,0.132909836427769,0.00221218287972317,0.154085398614026,0.00609383482893543,-2.28172866958925,0.00559305923694657,0.181732786065954,0.0062617638033865,0.153993181753775,0.0231139584911369,1.1528651713902,0.234756055172307,-0.948202235925465,1.30704460057705,-2.27789687409176,0.00179311315483359,0.178457452961378,0.00738963480582425,0.14559126887335,0.00192991293440068,0.862374055143788,0.0754266666585723,0.32799897391741,0.425134631086308,""
"11422-6",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.688311688311688,0.114011385229993,0.419098143236074,-2.27696811263675,0.00164204535161234,0.175551870590461,0.00196218859506879,0.134820878090648,0.00625841323974058,0.78541385224762,0.0697952492247302,0.251343578030238,0.389167774846747,-2.28004403531055,0.0020783384329409,0.127910461866895,0.0022029257204453,0.141588434064536,0.00627570981314522,-2.27306877680931,0.00534069744422761,0.165132303401715,0.00622950037480362,0.119054545636742,0.0208300149968841,0.902717841192005,0.227669245636801,-0.920443888845447,1.19134981268226,-2.27833953268546,0.00179409044940539,0.175746591525463,0.006910951823354,0.135846298687662,0.00192544601494147,0.831434250383869,0.0747499620907596,0.233128788692462,0.410835716614313,""
"11422-7",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.689873417721519,0.114165910759788,0.416293643688451,-2.27713176129451,0.00162728189330119,0.173736828751572,0.00196015875778095,0.139153762581236,0.00590291715636576,0.715193181401269,0.0705921612901133,1.15896957971119,0.407566822894265,-2.28173291668206,0.00207537818226858,0.126842594630321,0.00220461567496599,0.162881911931904,0.00591583082746665,-2.26224198559763,0.00510259095868261,0.159458742878148,0.00619786224677291,0.106045073504493,0.0210708568371523,0.703113208240966,0.219307137577028,0.861690927969187,1.2565594919805,-2.27651079117749,0.00174526717713306,0.173607571780639,0.00647062458339195,0.137748865913434,0.00192542835368542,0.693874229336033,0.0753673398746756,1.21981185608247,0.428073252252321,""
"11422-8",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.692307692307692,0.113956750686817,0.416964285714286,-2.27943972824283,0.00163528707889119,0.175399040981996,0.00196346631456086,0.148315352559131,0.00620546397105996,0.780814098760324,0.0693667452496304,0.54481851067357,0.40395663568113,-2.2809918159569,0.00207899413369485,0.125801126394276,0.0022081778021926,0.16059515814507,0.00623298133420559,-2.27275395478507,0.00523443050374923,0.169141433607681,0.00619622163105666,0.135952624145921,0.0205025241197574,0.567577849682431,0.231201396422364,2.3247353743059,1.56502501538009,-2.27898746603063,0.00175177632228145,0.175693469400605,0.0067720343040531,0.146801811837827,0.00193706208841435,0.757622254181179,0.0733141721441686,0.609951072565965,0.41777400837617,""
"11422-9",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.777777777777778,0.11424297043951,0.434352517985612,-2.27843048473496,0.00161487659899872,0.17713640860117,0.00196114021209549,0.146885379812299,0.00581535902351607,0.803104535772681,0.0676192602022142,0.0801799696591954,0.356607737677653,-2.27798646469144,0.00206802081542942,0.124934066376011,0.00222655527453332,0.149378259198584,0.00583427728779254,-2.29166076689586,0.00565379940540213,0.186016342524314,0.00632915936034899,0.214664473774413,0.0215769445757631,1.13379994886185,0.240373203881134,1.26412344739879,1.67175613566299,-2.27811538535622,0.0017382894107054,0.176922895257709,0.00647210472386303,0.144629619754587,0.00193189641435834,0.794504562579407,0.0715554289145112,0.177093521176436,0.376924441379076,""
"11422-10",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.648809523809524,0.114740126655743,0.400735294117647,-2.27660688985198,0.00166717377322873,0.177473845106087,0.00196196744445612,0.142869662365872,0.00604633282795438,0.902794033366409,0.0716988055203221,0.295725229254613,0.394702469610071,-2.27608689174946,0.00208447690929306,0.128779283191808,0.00220197572451487,0.149099518561043,0.00607523449180827,-2.28279645108703,0.00547075962647981,0.187938806425587,0.00624872924546747,0.167171551120582,0.0222656834323248,0.792053061559481,0.210608686448891,-1.61689396753275,1.19236475354723,-2.27689063562269,0.00180100863942521,0.177793375422643,0.00660529619384345,0.149033727567206,0.00192941362580146,0.910001019103207,0.0755885833864244,0.00523769304785063,0.400252656514768,""
