"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle"
"11422-1",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113180674074062,0.168871595330739,-2.27755889229043,0.00175433471153743,0.177267509246667,0.00214181916982512,0.137643792797982,0.00488389817784566,1.35130857926473,0.10473073325511,1.457573980725,1.24335665736873,-2.27803855779664,0.00200007543703233,0.145961712651684,0.00223577063745336,0.139614847309168,0.00509631955479799,-2.28142418244586,0.0053096010430212,0.185939466684832,0.0067209215977252,0.120548666056403,0.0141370528705462,1.4497923649288,0.338928616399095,1.42823019604418,4.01879136641437,-2.27806085921823,0.00182788207194702,0.177111699706903,0.00496518573829087,0.1382302984175,0.00210643806795025,1.37211649995145,0.115015210533527,1.69011440323715,1.40511072209143
"11422-2",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113345688215221,0.160741885625966,-2.27911779830491,0.0017731251231846,0.180033626580442,0.00216611072984466,0.146461002729386,0.00471280940496526,1.48135387307671,0.110906966657223,-0.162593215383645,1.31530389960342,-2.27944120486096,0.00201330421536983,0.149295355730279,0.00225766942030245,0.146851571047153,0.00492506973048018,-2.27660189537125,0.00555462159413789,0.174690873368307,0.00684558131951961,0.131900359582063,0.0176896277122997,1.06401269504002,0.354351736675642,7.30783793324416,5.66082588578797,-2.2798145766253,0.00185873832492137,0.179845349623032,0.00479441418288493,0.147514953614898,0.00213334062981254,1.52590817873693,0.119331825807801,-0.160205552322389,1.39313193808028
"11422-3",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.112929438377903,0.158778625954198,-2.27864672502017,0.00177306261083753,0.176445788903835,0.00216609844464472,0.147114065316755,0.00512726735999662,1.44994991882075,0.109117465820959,0.0626592078518473,1.29883689284752,-2.27814890600002,0.00200827192537534,0.144618611401064,0.00224909680794428,0.146359883939583,0.00535259617554673,-2.27747212101581,0.00554114954475824,0.177856154581137,0.00692869001245684,0.144854770009946,0.0129718198976936,1.75527747860356,0.423293117480808,-2.92641114356511,5.63307866814893,-2.27838003491268,0.00184565154317964,0.176506750959068,0.00521130340290384,0.147022944714197,0.00212792205222786,1.45537637560675,0.11592833978417,-0.364358859831207,1.336966997801
"11422-4",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.112813858671682,0.169608595548734,-2.28153526497981,0.00176526609170711,0.177674439235694,0.00215761537317114,0.156639717788548,0.0052093388072922,1.32644123895186,0.104627107176509,1.29918601990139,1.30293420210717,-2.28360367393091,0.00202057793536666,0.147504054472056,0.00225304812612439,0.161190830081625,0.00545371954000589,-2.28515068016757,0.00558246964242,0.177456843154343,0.0068125983127444,0.180659219511184,0.0184158062258161,1.24369153111611,0.321902649242845,0.932988264188072,4.49201038340548,-2.28191349128932,0.00182927163669642,0.177560719100458,0.00527226760355062,0.157007275416802,0.00211525906413296,1.33421730316169,0.11233818057821,1.62354728592198,1.3964631524079
"11422-5",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.112851836090532,0.163498098859316,-2.27887515362481,0.0018111663867165,0.177501152374786,0.00219840503367338,0.13741081847379,0.00507955540058782,1.52488987660662,0.108596934045619,-1.80932458480911,1.2374544560935,-2.27778992570675,0.00206832500305244,0.144110055788792,0.00229398527115782,0.134183299845809,0.00533569903203528,-2.27029355063801,0.00615185778691375,0.17084296411228,0.00708197541957215,0.128054789640654,0.0176545788099675,2.08900110509577,0.41380009684523,-3.87712948863443,4.1684209866437,-2.27890999926348,0.00187883727617556,0.177587699582617,0.00514939808447085,0.137039693107209,0.00215823041223375,1.49649341572244,0.115210931612303,-1.29550655065069,1.30789448357778
"11422-6",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113157001623164,0.180404354587869,-2.28192599129109,0.00180425409742235,0.180100887954552,0.00218350334351855,0.152747379401438,0.00493537428200749,1.46831102603342,0.107082056330195,-1.6172097921419,1.26315441493213,-2.28247795533055,0.00208896323159067,0.147284267507253,0.00230160785141956,0.15236392901331,0.00520261516240298,-2.28103846774755,0.00550946530642165,0.184858329563395,0.00686078847022518,0.159506262770253,0.0153672241557228,1.91878368264452,0.393801452267486,-6.74014499257015,4.11690787805127,-2.28209680614225,0.00188559168211527,0.180014697249155,0.00501808665560204,0.152309585707798,0.00213742092423276,1.43310650661589,0.114288083043955,-0.731231191989556,1.35929683888166
"11422-7",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113168518899733,0.174787316318639,-2.27619526454697,0.00176177911543078,0.173423725702582,0.00215515476147294,0.142452403188948,0.00488224100920112,1.35606150032272,0.105401207584748,0.562096721172457,1.2645977662193,-2.27586263161036,0.00202301312633989,0.140565704905141,0.00225579801886374,0.142420619644596,0.00511819957381942,-2.27647721134453,0.00554401081114815,0.176787896886654,0.00677009812008325,0.1138084924366,0.0172758649028415,1.13586325700224,0.362766257108675,8.78004261210484,5.58496919387709,-2.27687986268255,0.00184157604079258,0.174091235391181,0.00496917856730048,0.143992755180547,0.00212839699570744,1.40216679789048,0.113080155855879,-0.0481873491945279,1.3268367932694
"11422-8",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.112802391471186,0.165648854961832,-2.27809499033696,0.00177946444856733,0.177241467786001,0.00216755435833447,0.135649703309407,0.00525280265489792,1.49083317819044,0.107147485771763,-1.27740251095343,1.19000196600011,-2.27667480412044,0.002022067708886,0.143146276197838,0.00225052686695118,0.132072990673239,0.00548339259359278,-2.27076808239718,0.00526053925444655,0.174261173846062,0.0067903527676473,0.123223423948154,0.0133490515257911,1.04777595366792,0.306218612778124,0.750124705464535,3.15518092634042,-2.27711581010969,0.0018558994851135,0.177256884325221,0.00535440121017446,0.133865277429681,0.00212372175602431,1.42766800500404,0.112758583903409,-1.07520528539875,1.25089047592991
"11422-9",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.11270546721122,0.158885542168675,-2.28007126714608,0.00174196868726602,0.177021873632256,0.0021566002415385,0.151581684049821,0.00505001183338118,1.3869540634539,0.108776365421949,0.533081811182959,1.29815277992086,-2.27996469566164,0.00196829710023465,0.144629663068754,0.00222747044520905,0.151867751992014,0.00525757836138677,-2.28556000070091,0.00583863489256974,0.182602411157379,0.00677720938981533,0.135670492086665,0.0181654571714034,1.40885993172858,0.345162400577997,2.50607972436067,4.02435229669595,-2.28003001621105,0.00180166877141449,0.177091953113679,0.00510938142290456,0.151609077119681,0.00212198412128898,1.38863815806905,0.115448515844816,0.411804799653402,1.34184800268585
"11422-10",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113126640327149,0.165237724084178,-2.27731365365634,0.00177702050475527,0.17591787562546,0.00215715698511212,0.13902453711966,0.00509262080971651,1.60226939793609,0.105588454259924,-2.14823813673232,1.09300039855345,-2.27648592627647,0.0020092669721689,0.14464722993056,0.00223871145012725,0.13534327491641,0.00529297396377414,-2.28255511536966,0.00559421165645423,0.182188055902687,0.00693913368407573,0.138677581758006,0.0161265841665683,1.00707753985053,0.325445074803143,1.52612427371111,3.51364719383859,-2.27697461389424,0.00184543510167082,0.176230626691976,0.00516842497068369,0.138806952669991,0.00212387226057621,1.58589443110728,0.112051364545398,-2.38571775922715,1.12852145791648
