"sim","N","beta0","beta1","beta2","q","eta1","eta0","eta2","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","eta2_mle","se_eta2_mle","mle_msg","sim_msg"
"seed1031-run1",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.85,0.117863340333718,0.253968253968254,-2.27524841837999,0.00462860326255768,0.174016257281392,0.00506147886403019,0.131113311533453,0.0152205902408067,-2.23028894916846,0.00466065903754888,0.104958176085514,0.00501227473210103,0.158559753443005,0.0152800235006452,-2.26698766525085,0.0133855091441369,0.164494598115833,0.0150063110886164,0.102229127030622,0.043475369964752,-2.27396640205398,0.00514983982587582,0.174087389293949,0.0173191514160375,0.131464110733864,0.0051960450344388,-1.28018557158664,0.259334606538456,3.03067796804508,0.293459111857979,1.11894060149641,0.997845762448066,"Converged",""
"seed1031-run2",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.85,0.118100523164361,0.209090909090909,-2.28258697541321,0.00499390722810574,0.175532005150657,0.00528392158183564,0.155104723196102,0.0175131361557726,-2.2307684072485,0.00487176955198599,0.10478274829264,0.00511147455837492,0.177369506243982,0.0175452167119647,-2.27522322975642,0.0146334465520324,0.17449750801966,0.015586838493489,0.0696755735955929,0.0668782518517374,-2.28250152225013,0.00528955012632524,0.176766117330737,0.0190126976928549,0.145167348878012,0.00543133247625962,-1.22723813916387,0.277941883330024,3.33592062007321,0.313994488730053,1.86242426815213,1.31349802747304,"Converged",""
"seed1031-run3",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,1,0.118981869457367,0.267326732673267,-2.27962518856695,0.00511483770734294,0.172712927246332,0.00542535906182026,0.167475516431108,0.0143135035630044,-2.21368575945097,0.00481669668522709,0.0885662242125737,0.00512362777220533,0.176688064861687,0.0142890683639997,-2.2667246609811,0.0160005074002609,0.168023340466203,0.0167900281818584,0.129134874180496,0.035852967961368,-2.21368575945097,0.00481669668522709,0.0885662242125737,0.0142890683639997,0.176688064861687,0.00512362777220533,NA,NA,NA,NA,NA,NA,"naive used as replacement, edge case","100% PPV (Queried)"
"seed1031-run4",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.8,0.11877463394494,0.275229357798165,-2.282108395883,0.00487761635632565,0.184017472419024,0.00530314766510558,0.125823366603841,0.0133975553550245,-2.23587636111934,0.00491987492678157,0.11795657457066,0.00529975741196433,0.140419467502584,0.0133670752839979,-2.27543732589346,0.0135264423916757,0.161563807349862,0.0151267770607622,0.109628617149586,0.053303551885251,-2.281293536141,0.00510439369691073,0.183609257442347,0.0138337409346997,0.128274042326046,0.00536357171984123,-1.22775023422087,0.265047263470646,3.24065677350521,0.30780445289587,0.590904034719798,0.906111086312141,"Converged",""
"seed1031-run5",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.95,0.118555442030395,0.235849056603774,-2.28409309430249,0.0052335531424797,0.179334112056425,0.00536791359789453,0.149411177419715,0.0164339909590697,-2.22671919804786,0.00506852102337102,0.106118704703409,0.00516748570465105,0.152113267484198,0.0165771029555543,-2.26567041637442,0.0165652691221584,0.174181670342424,0.0158472688205841,0.116596627967327,0.0577638232804356,-2.28631776820661,0.00561519557172303,0.180888443952807,0.0181064479172076,0.152264381673442,0.00553268557799787,-0.777144727030283,0.260581265656303,3.05800859152061,0.30424814891962,-0.0254361976010858,1.06813471582115,"Converged",""
"seed1031-run6",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.95,0.119280801074244,0.242718446601942,-2.27474366445945,0.00532028942500597,0.174384045452274,0.00544117916635604,0.137455712077247,0.0143170172268315,-2.21148369310923,0.00483098874009273,0.10370622149797,0.00511035701674227,0.086467213131117,0.014239014790082,-2.26181130329062,0.0137345303869754,0.162586797443205,0.0153689476425655,0.145268424206797,0.0334859889151977,-2.27500503223853,0.00576013815558017,0.174360581539085,0.0152226223278009,0.138432018197678,0.00565196979723253,-0.509880010508463,0.237451794117487,3.27881004821641,0.324190366719494,-2.47293081120297,0.937258871896481,"Converged",""
"seed1031-run7",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.95,0.117874247803203,0.223140495867769,-2.28034133924906,0.00480162173088583,0.179029182939479,0.00513370235818567,0.13441321121802,0.0153850061880639,-2.24376503927006,0.00488889522937169,0.124730426974492,0.00515857243519559,0.143069168111192,0.0154451297139592,-2.27744291961213,0.0148205311483589,0.183311905576538,0.0157869652202794,0.160635683947673,0.0429960628201597,-2.27964034718749,0.00529704368720111,0.177918168044512,0.0173777141897536,0.139512733924452,0.00528290811620028,-1.5130184791471,0.288440630161616,3.68791439530476,0.330194490414832,0.185426151877844,1.08201969358714,"Converged",""
"seed1031-run8",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.8,0.118558888798364,0.223214285714286,-2.28049005155982,0.00481113620815409,0.177591599550466,0.00525738811266143,0.160294778987984,0.0141606249875105,-2.24271555178501,0.00483169124783672,0.123005725784563,0.00523226149123359,0.177052819590034,0.01414458410015,-2.29921913583079,0.012061412124661,0.206548504230196,0.0153897163966443,0.126064632301716,0.0394691675359579,-2.2830085197792,0.00537757787212623,0.179555369273171,0.014906223774628,0.158648670343596,0.00558868349518021,-1.52561212931065,0.307080809513218,3.79923747347742,0.3438789362067,1.54279934505819,1.39000219865156,"Converged",""
"seed1031-run9",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,1,0.119034706114153,0.211538461538462,-2.28159930300582,0.00501265238808317,0.177969684204313,0.00538356321266915,0.162651220105973,0.0146962784738989,-2.22824624737678,0.00477299776801223,0.108304885212835,0.00513655506356824,0.180025379352264,0.0146992721477583,-2.28218792061253,0.0132411633417641,0.183801548211018,0.0154397965685261,0.147739780649283,0.0442439587879598,-2.22824624737678,0.00477299776801223,0.108304885212835,0.0146992721477583,0.180025379352264,0.00513655506356824,NA,NA,NA,NA,NA,NA,"naive used as replacement, edge case","100% PPV (Queried)"
"seed1031-run10",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.85,0.1182275655685,0.243243243243243,-2.27468080571472,0.0050681246337978,0.168443407101635,0.0052771742568208,0.143346426924028,0.016376588333523,-2.22573590083965,0.00510206087535715,0.102254924590904,0.00525899572622343,0.140111086077375,0.0164253075513018,-2.27509411224886,0.0127606697139462,0.185604280846727,0.0148077106333323,0.136312364823236,0.0332862308393784,-2.27273640487227,0.00555778497822753,0.167065725730879,0.017182046435282,0.145070139920821,0.00544675352522934,-1.18399718496698,0.280491281480445,3.30625079810763,0.315871701706672,-0.0297240214098631,1.03683549921445,"Converged",""
"seed1031-run11",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,1,0.117963155758743,0.175,-2.27931939144486,0.00474652312878007,0.176273374576676,0.00513567376250897,0.137197751656413,0.0144595489916573,-2.23911068378941,0.00452036645595651,0.124670584927572,0.00495439595227991,0.139521427915969,0.0144171167381213,-2.29194789841025,0.0144149721504008,0.177320561364411,0.0153041338993341,0.227580711677717,0.0538431454076526,-2.23911068378941,0.00452036645595651,0.124670584927572,0.0144171167381213,0.139521427915969,0.00495439595227991,NA,NA,NA,NA,NA,NA,"naive used as replacement, edge case","100% PPV (Queried)"
"seed1031-run12",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.9,0.118230994635288,0.252100840336134,-2.28380255813176,0.00476498354059397,0.178284528040191,0.00514821350282666,0.167157792735999,0.012390448755755,-2.2407541097579,0.0047719627920979,0.118072833911895,0.00513954893071316,0.162499838819879,0.0124404383607198,-2.30726459466312,0.0135443446602063,0.193101721431249,0.0157164386548069,0.1701290572588,0.0416589267451511,-2.28642469754266,0.00523046176274376,0.180370077578507,0.0128193944103569,0.169276284612082,0.00526517059274294,-1.10536749974328,0.256808038500529,3.26567923752301,0.306740970610639,-0.371341167353981,0.81139679211994,"Converged",""
"seed1031-run13",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.85,0.117913751458439,0.225806451612903,-2.28142182228641,0.00484631764808001,0.180104030217646,0.00511726094417955,0.14812251132872,0.0152332281563212,-2.24490140173859,0.00489677007341459,0.128486066217968,0.00514703111749646,0.134782313684645,0.0152586261455419,-2.2775846980084,0.0129096676787117,0.182900052648202,0.0149008209555174,0.0683024946479013,0.0570567991606191,-2.28267916766078,0.00553075552250394,0.180565055009527,0.0166979680509211,0.143343693149084,0.00546172062645493,-1.33079918985633,0.283931279171025,3.61713204582225,0.325978220394431,-0.436013340833881,1.05289535081544,"Converged",""
"seed1031-run14",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.85,0.11858420878958,0.264957264957265,-2.27902115382856,0.00487813447527871,0.180440261211415,0.00517868373339597,0.147714080236436,0.0151361899306401,-2.22386945318359,0.0047857226707873,0.105977037835338,0.00507553420722139,0.145313892589749,0.0151605874891985,-2.27688765977974,0.0128975766229607,0.166091641628613,0.01488051342356,0.1459238760928,0.0430553821737809,-2.27721036820053,0.00514869400175275,0.179527180301834,0.0172978425928797,0.146440199094531,0.00524866732726358,-0.969404984257909,0.246978582018738,2.95275470811978,0.288074159147492,-0.0253726140740839,0.944357981820762,"Converged",""
"seed1031-run15",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,1,0.117862263938012,0.236220472440945,-2.27726326360943,0.0046197043994024,0.178775487344017,0.00504849443714674,0.130269705762422,0.0151983817264173,-2.25347468326374,0.00480397703754327,0.137708238515177,0.00516606872042341,0.140321979113808,0.0152188192890475,-2.29787841937473,0.0130667551242375,0.19250222580365,0.0156103312091395,0.167640229444517,0.0542591208700552,-2.25347468326374,0.00480397703754327,0.137708238515177,0.0152188192890475,0.140321979113808,0.00516606872042341,NA,NA,NA,NA,NA,NA,"naive used as replacement, edge case","100% PPV (Queried)"
"seed1031-run16",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.95,0.118467285654437,0.203703703703704,-2.27944233030527,0.00514330719696727,0.172240599805754,0.00533069578504356,0.165591547702633,0.0161558558473799,-2.2299831800459,0.00487655142979767,0.112188844928793,0.00509994403865295,0.153915775709387,0.0162342961929705,-2.28807778499532,0.0137208439694419,0.176025011392908,0.0153161865957662,0.206480581449787,0.0535199251010791,-2.28652785683871,0.00585173258068471,0.176617573814273,0.0171022317354338,0.171412093215487,0.00566295328952058,-0.733816621549798,0.255573670392306,3.51425290258983,0.338659867292894,-0.894744374835762,1.08168580282407,"Converged",""
"seed1031-run17",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.95,0.118498131739922,0.247863247863248,-2.27547125664178,0.00479159350612188,0.178307909845448,0.00517168808322514,0.119607405703921,0.014799393664634,-2.2335423528662,0.00476138706051819,0.119054228949474,0.00513033789350825,0.125743983711663,0.0148187762897124,-2.26805099936079,0.0139786123759117,0.173043169704845,0.0153590673566566,0.0196126480364756,0.0656371303722366,-2.27566305924155,0.00515659046229554,0.177648213151116,0.0160097168539752,0.121062205926214,0.00540177823197519,-1.22789935292088,0.265010698438733,3.3954987180422,0.312355002114576,0.240452924773642,1.10172915552964,"Converged",""
"seed1031-run18",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.9,0.118225217600589,0.221238938053097,-2.27032066533189,0.00518872910972528,0.161653995496015,0.00526531564048425,0.132905904752878,0.0150974064767576,-2.23053746557745,0.00515060899072219,0.110015034469996,0.00520415383654304,0.124459396205364,0.0151382303791456,-2.28646604321046,0.0133691010377861,0.162207938746914,0.0150575234377509,0.155284822933889,0.0398153038409446,-2.26814167457302,0.00594406100488596,0.159683793308429,0.017192830168202,0.125540328704789,0.00557453115812607,-1.24510885607971,0.320322632849801,3.63767259181844,0.349837983541047,-0.00593233981370815,1.0777198375584,"Converged",""
"seed1031-run19",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.9,0.118748253213861,0.259615384615385,-2.27705703257521,0.00502733671652317,0.169748311789205,0.00536816425769939,0.150057325298489,0.0137035333196747,-2.21915745722546,0.00459978170092267,0.100049599150998,0.00506346190024057,0.137869115591049,0.0137692145997934,-2.27805804765046,0.0164827098703265,0.164652775955201,0.0162717987173978,0.123379883146281,0.0858548032242603,-2.2764306839557,0.00599289031355027,0.169480667269183,0.0196164377885046,0.156944133320305,0.00572660299463561,-0.641858932877353,0.24175276121675,2.97762325255418,0.307990007963031,-0.928682636801788,1.0504101730278,"Converged",""
"seed1031-run20",390,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.85,0.118004152542084,0.234782608695652,-2.27802638626607,0.00487522956612281,0.175868472069934,0.00520916978138766,0.121627535282135,0.0158935164150649,-2.22893102167801,0.00471083528198808,0.111358517785574,0.00508839092704055,0.113720814680273,0.0158801788810428,-2.27050894199994,0.013206063405615,0.168434100206534,0.0149516832047536,0.112715930581675,0.0581334031196564,-2.27727075437758,0.00540891915386663,0.175381949264159,0.0175253513040289,0.123876399120805,0.00538318902995356,-0.972695674696279,0.25112991514248,3.13077656443965,0.303232097623885,-0.480036146852562,1.06199308520864,"Converged",""
