"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"seed1031-run1",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.615384615384615,0.112194419319777,0.474576271186441,-2.27928893870214,0.0036608451247623,0.179494493672381,0.0047225837672593,0.139781465314145,0.0155916922453881,-2.28177475864533,0.00478174001383709,0.108342263648244,0.00514183321592629,0.157076681252096,0.0156663111507941,-2.27328764244804,0.0143045631895908,0.162941660451892,0.015356577521707,0.105445894576201,0.0687262488444648,-2.27985611553386,0.00389442040599403,0.179556986146495,0.0168006201971463,0.14095994650223,0.00479336283679313,0.265737732871577,0.168614267956689,0.568294470594758,0.949183087651585,"Converged",""
"seed1031-run2",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.538461538461538,0.112375421828176,0.460526315789474,-2.27524489479261,0.00371354997042531,0.173740712580106,0.00470619471965751,0.1222587910543,0.0184274715053067,-2.27793953787959,0.00479378275178563,0.106031436688595,0.00514418851635601,0.16561506619009,0.018387434443858,-2.28631101717694,0.0129817705773305,0.183161367545317,0.0150179941702347,0.110074076696043,0.05683155154487,-2.27685059033138,0.00399009803221434,0.174408078102229,0.0191750815987047,0.125148426064709,0.00476482733731623,0.30006975218935,0.17552777798278,1.58433300052427,1.10919533357191,"Converged",""
"seed1031-run3",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.743589743589744,0.112961748673536,0.493023255813954,-2.27535211484135,0.00381151561305176,0.167307828904633,0.00468437763336161,0.138074012055628,0.0151546995469433,-2.27452652903301,0.00515468647493029,0.105618684533726,0.00537984174986569,0.142596960813681,0.0152334318688051,-2.2862051107285,0.0168752426893121,0.167050738160686,0.0173165732370452,0.195151376936031,0.064570279401093,-2.27707052365781,0.00422253861777113,0.165685092408658,0.0163122765965808,0.139853687611773,0.004759954150556,0.558805573243601,0.172465586308134,0.248543679507588,1.01511288567282,"Converged",""
"seed1031-run4",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.717948717948718,0.113368503552366,0.452380952380952,-2.27591906566112,0.00381833175129196,0.173241389492624,0.00466278520788643,0.121516725307958,0.014455723151554,-2.27790242486546,0.00497952308577806,0.117268205690833,0.00525980857999355,0.13484559409202,0.0144689299316889,-2.28132100257563,0.016242837239078,0.175420893055797,0.0166730003513952,0.201278823159327,0.0642008977375564,-2.27564698296629,0.00408466069507659,0.172905728334833,0.0165030856812754,0.121707003515687,0.00470461229323357,0.560560022106532,0.173886641463611,0.665155595435182,1.0473094619614,"Converged",""
"seed1031-run5",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.641025641025641,0.112961875708798,0.502304147465438,-2.27730153547442,0.00379194516170411,0.1747105184774,0.00467095462711808,0.131583394622472,0.0159523931497102,-2.27928808369098,0.00509047855257599,0.112328409301376,0.00536214016877934,0.137851112015852,0.0159368298539796,-2.26776684254053,0.0140364719495351,0.166402574205473,0.0155024968562149,0.103278518113968,0.0401826900623077,-2.27847738715853,0.00405945185720073,0.173751004510494,0.0165645022605476,0.139407805033593,0.00473428639083324,0.489763956846713,0.165355078719464,-0.0333720501435355,0.933756017893684,"Converged",""
"seed1031-run6",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.717948717948718,0.112818239315071,0.497757847533632,-2.2847546388367,0.0038162144409783,0.18565052124848,0.00468626135096195,0.155012209421638,0.015382416088102,-2.28532383208552,0.00510082555660547,0.11666920975595,0.00531991329457066,0.152422174409747,0.0155079557638921,-2.27040903406209,0.015497665967651,0.175091636455476,0.0168094402990709,0.0926378473684504,0.0682664883881079,-2.28576809671507,0.00398521067891667,0.185331817765975,0.0159599112852527,0.153041704158387,0.00472987476603264,0.461519427439317,0.166190284203367,-0.0799213676556152,0.964298271539897,"Converged",""
"seed1031-run7",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.692307692307692,0.113526908631227,0.454106280193237,-2.28261024596271,0.00379360061231671,0.185265003436341,0.00466587492216394,0.132836051447819,0.0155730698272692,-2.28885224573754,0.00490087370271314,0.131620342233188,0.00529492132297973,0.152424965793776,0.0155969367884131,-2.2746334756596,0.0156098055622954,0.172335341292738,0.0164599507523259,0.0927641029842603,0.0612305851924894,-2.28365068656961,0.00405504833526421,0.184813272861976,0.0166914886392468,0.134252247674308,0.00468464537260617,0.62033215599167,0.176335467140908,0.715173615302032,1.00800280087717,"Converged",""
"seed1031-run8",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.58974358974359,0.113070535791393,0.56221198156682,-2.28110681323691,0.00377370906119294,0.174792635571014,0.00468051854570013,0.161996291943999,0.0141194979776958,-2.28334333064007,0.00547506363747357,0.10748408674405,0.00564567461054086,0.172203723817002,0.0141994750580701,-2.26728187122862,0.0129523730031333,0.157779246665215,0.0151219994267545,0.124601937361341,0.0716587262220377,-2.28162050165682,0.00406797626509452,0.17506380317982,0.0146911399665515,0.168241975352934,0.00475586444746834,0.320389913793266,0.158269339491377,0.156784803072396,0.884243127463727,"Converged",""
"seed1031-run9",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.58974358974359,0.112569886307291,0.488986784140969,-2.27890850875098,0.00376115636878171,0.175134467511892,0.00471886671698258,0.150545732551168,0.0146982213284307,-2.28560113175039,0.00509458617273861,0.117149690881575,0.00531822231827255,0.150402369593449,0.0148768654801055,-2.28386078335484,0.0139806818608266,0.189467302292006,0.0153056086850603,0.134543812591014,0.056456997637886,-2.27976559024725,0.00412431121018363,0.174875422306921,0.0153260113520798,0.151416306841747,0.00479479302032305,0.441466152924892,0.165766257369297,-0.271234448698143,0.94901788424866,"Converged",""
"seed1031-run10",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.512820512820513,0.113104799546456,0.469026548672566,-2.27169046947702,0.0036127667542713,0.169621238294054,0.00468105705844151,0.1374541175187,0.0130612915838971,-2.27358616739012,0.00475768634137085,0.107503654800099,0.00517053090131898,0.147365441169771,0.0131185298198585,-2.25727211365476,0.0118966932874792,0.163615968903694,0.0147549540335715,0.136689512845184,0.0423386443112965,-2.27086849697564,0.00394160222391916,0.169205435186039,0.0147274928793463,0.132115906941911,0.00475511817806268,0.367495154310194,0.163948529883016,0.601899896026892,0.832778433645533,"Converged",""
