"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"seed1031-run1",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.585454545454545,0.113152679289011,0.501216545012166,-2.27606177261884,0.00161958850149021,0.174414851203647,0.00197287185974253,0.137484691765441,0.00643616665173469,-2.27472762449272,0.00216654163197812,0.110123841162742,0.002256594828023,0.125495931499872,0.00644912768556355,-2.28058311011173,0.00356895012264766,0.177728214069966,0.00401832667847292,0.146125365663301,0.0141218638423223,-2.27618793907219,0.00171375543388239,0.17441745934994,0.0069507746285477,0.139647322735719,0.00199438097213144,0.504833007997512,0.069010307834486,-0.557153541022521,0.391436102449534,"Converged",""
"seed1031-run2",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.612727272727273,0.112872548242529,0.483560545308741,-2.27955268696324,0.00159910834975183,0.17827568108607,0.00197378869715492,0.145427006043746,0.00656611851860216,-2.2766566812995,0.00210798478421938,0.110408321324515,0.00222215417921483,0.13639891510422,0.00659040699778047,-2.27831596336414,0.00368559302598498,0.180284778571712,0.00408262345478993,0.130713385267535,0.013072517369718,-2.27934767470475,0.00166695499058781,0.178271957885666,0.00690937989806952,0.144882908378157,0.00198870292484486,0.485009538434154,0.0676279641457327,-0.302668944355564,0.381626310619307,"Converged",""
"seed1031-run3",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.616363636363636,0.113028255275531,0.472536348949919,-2.27875098457227,0.00155376316689755,0.178431440250758,0.00196659993159734,0.139918315842356,0.00615308879903758,-2.28115556034228,0.00204911924218677,0.115279058493579,0.00220576887445476,0.156619592114672,0.00613907204104776,-2.27543755693217,0.00356096535621747,0.179676836232791,0.00407687204142206,0.118431027589984,0.0121731403834263,-2.27909012929912,0.00162292503107858,0.178401678032438,0.00665240815617667,0.141924799462963,0.00197812891669574,0.436140555297481,0.0679017777855325,0.593886057389439,0.380216789147793,"Converged",""
"seed1031-run4",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.587272727272727,0.113122458088119,0.479418886198547,-2.277173250595,0.00158656263691244,0.175214104005405,0.00196665437760878,0.144894776976637,0.00647417149029017,-2.27928891384397,0.00208982819464545,0.113312211836689,0.00221501241806753,0.153555864636723,0.00649293615244684,-2.27675961964147,0.003486026475925,0.174613946876843,0.0040153044875471,0.154140350321759,0.0129727736681336,-2.27720231771085,0.00164872369139672,0.175510014239247,0.0066716981532011,0.143144765320166,0.00197618346162782,0.442228036199446,0.0689671832002757,0.377499894411477,0.381989752387686,"Converged",""
"seed1031-run5",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.630909090909091,0.113114599631715,0.497576736672052,-2.27821681431886,0.00156906727416022,0.176678867254014,0.00196691757226117,0.139864358232317,0.00587972349173223,-2.27721582153254,0.00211583208272205,0.107839515922145,0.00224123097050052,0.152743535142377,0.00588801466772247,-2.28278974470718,0.00365280019786495,0.184673417314455,0.00412490000326902,0.132780276469757,0.0129641101976646,-2.27696626543727,0.00163446663763248,0.176914141173649,0.00641358510876245,0.137042265274246,0.00198258448743219,0.34022117258997,0.0670729766016563,0.628667406508435,0.363308845069817,"Converged",""
"seed1031-run6",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.621818181818182,0.112943510610293,0.485645933014354,-2.27762057811965,0.00157114432518486,0.174189873769165,0.0019690175406672,0.144902838783135,0.00623314534771186,-2.27880516871932,0.00210130671203725,0.107386075171026,0.00221691410359842,0.167513860087017,0.00624785647701939,-2.28213208231066,0.00368009728870165,0.177449597881907,0.00410405274203941,0.153784127200136,0.0146066197375301,-2.27761321640674,0.00164427373593222,0.174476867982514,0.00651416451136382,0.144771663654003,0.00197553572991545,0.328773510037861,0.0692789411949575,0.954603229297396,0.391688642429564,"Converged",""
"seed1031-run7",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.632727272727273,0.11314821030258,0.46546052631579,-2.27764077824249,0.00158136841297086,0.17633985641221,0.00196534002291059,0.132570387502467,0.00621111164136787,-2.27840510613395,0.00208031689369402,0.114442408763219,0.00221260280395246,0.145544246392784,0.00621885130139419,-2.27647334123375,0.00372794150890227,0.176827898589848,0.00412929119061379,0.0991997561040209,0.0160043138851665,-2.27723905855662,0.00165463639472352,0.176140479171088,0.00661292879292998,0.129181606864398,0.00198287735146049,0.471962833959701,0.0700523616032967,0.784169773576225,0.41735288239781,"Converged",""
"seed1031-run8",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.594545454545455,0.112533474058088,0.498442367601246,-2.27733541609929,0.0015525681211678,0.175466307533893,0.00197673146918724,0.140577394815246,0.00660039120700642,-2.27667012527109,0.00208381165987781,0.104868863784422,0.0022184314052657,0.148538019309786,0.00661497603873716,-2.280345500747,0.00353619190989285,0.175324391276849,0.00404062449198529,0.146189321389041,0.0143617903839119,-2.27756484058441,0.00162979894990566,0.175443784419562,0.00707067432583133,0.141553352169467,0.00199386603470999,0.331868541203176,0.0680670552341517,0.294208802538784,0.405202351915019,"Converged",""
"seed1031-run9",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.623636363636364,0.113696861576237,0.477291494632535,-2.27551076710551,0.001593255724674,0.17714579134185,0.00196230495216177,0.142153397135845,0.00594277168249117,-2.27428925929951,0.00210064819988776,0.113776003340953,0.00222613483473195,0.141711048874379,0.00595930073498699,-2.27819082157286,0.00366888034441926,0.181309653050148,0.00408962273124792,0.142030572339923,0.0128992744521461,-2.27588048981166,0.00166522764676814,0.17741619708137,0.00620908124233118,0.143055253681846,0.00197510498464385,0.545552195665556,0.0694765307357306,-0.0387216321555887,0.374714668815904,"Converged",""
"seed1031-run10",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.592727272727273,0.113389826958837,0.488907148726376,-2.2765082338712,0.00156869073849222,0.177463069295999,0.00196269322881936,0.140545228694086,0.00619000413124713,-2.27969304289395,0.00211284263972596,0.116125875055746,0.00224293334527327,0.156120925823517,0.00619629420969557,-2.27313489737267,0.00342994466910899,0.173751479364049,0.00403156267726792,0.155109406696549,0.0132061109488079,-2.27552566866439,0.00164178531462028,0.177640672078051,0.00645612354809035,0.138471856783723,0.00198784468167999,0.398081749403346,0.0673036320675943,0.73036923776756,0.392081316463907,"Converged",""
"seed1031-run11",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.641818181818182,0.112762117604453,0.472200469851214,-2.27718316809569,0.00154799995321192,0.174873439331108,0.00197295721060374,0.143623171979502,0.00620267845327358,-2.27956755950829,0.00203043750672563,0.110267202306443,0.00218385295816995,0.157881166857868,0.00621068673693452,-2.28145379113811,0.0036705557623299,0.182437025102177,0.00415818476162627,0.134352503817829,0.0119898506148575,-2.27725384504104,0.00162586169596693,0.174438809939568,0.00651404695739458,0.141056611191078,0.00199313484251981,0.368775976977414,0.0697155068740889,0.671242115723786,0.38251073080139,"Converged",""
"seed1031-run12",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.601818181818182,0.113309231264501,0.485572959604287,-2.27907352009723,0.00158725596128818,0.179095361146383,0.0019625011691234,0.135829006153535,0.00617551748801374,-2.28176194089107,0.00211039364804063,0.116528603586455,0.00223641117684556,0.153739710152911,0.00618665346395025,-2.27885483231842,0.00354067122534815,0.174154413216946,0.00404183888402725,0.157075444100389,0.0117378660210672,-2.27826242898347,0.00163460432039064,0.179139381921642,0.00646268229550816,0.134329370624967,0.00196830967169706,0.41072443967741,0.0687080970432016,0.720120294825767,0.377274473201359,"Converged",""
"seed1031-run13",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.6,0.112874347263561,0.481072555205047,-2.27653784726265,0.00158917982763446,0.177803451955072,0.0019729397075753,0.129222634189788,0.0064714230673142,-2.27593806750496,0.00208252179276958,0.11061667525336,0.00220341090039417,0.12806213726344,0.00648045608978155,-2.27877451498738,0.00356240414181387,0.181400247515518,0.00404655470562613,0.142247074333221,0.0139030952663797,-2.27645865896663,0.00167025505692149,0.177835207934427,0.00689604751461555,0.128846910680741,0.00199073157212666,0.426084008441852,0.069479044927248,-0.0324232008263216,0.380850413064379,"Converged",""
"seed1031-run14",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.6,0.112562861953834,0.484779299847793,-2.27678328398173,0.00154852536306161,0.177768388403528,0.00198213630145006,0.142138935615069,0.0063659899937349,-2.27727537937425,0.00203786333774704,0.107612854802649,0.00218336764716086,0.144054335865203,0.00636191893470066,-2.27729271597558,0.00350850942288637,0.178657513826598,0.00404967980463244,0.135042423055113,0.0125836522787229,-2.27679461216772,0.00160604994691622,0.17787357213339,0.00657644231824993,0.142311685352841,0.00199342132427977,0.318395507605703,0.0686557096375635,0.0862385579420988,0.377055995607374,"Converged",""
"seed1031-run15",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.603636363636364,0.112717510678438,0.477855477855478,-2.27604022623431,0.00153834692870629,0.177834930863439,0.00197590551107991,0.127741701318656,0.00592906527639391,-2.27960141881223,0.0020536061433111,0.11276071266569,0.00219555612789594,0.141384193661722,0.00595360736856684,-2.27474434720299,0.00364735128107368,0.179157668222557,0.00404248303283049,0.135618352662081,0.0141884715884468,-2.27632191156838,0.00160480046304803,0.178122273730697,0.00616982990809015,0.128184190034076,0.00199554460352641,0.341382529325613,0.0678365358931909,0.528456671484992,0.38427236499134,"Converged",""
"seed1031-run16",2200,-2.2778541,0.1764544,0.1413503,0.25,0.3897812,0.405465108108164,0.6,0.583636363636364,0.113057086789618,0.498029944838455,-2.27549570240757,0.00155225847635168,0.178685972394861,0.00196947998858599,0.127281617062018,0.00590491264025801,-2.27533044740007,0.00207513471354295,0.109018055896045,0.00222118048896669,0.133459994715153,0.0058995890316788,-2.27349456676107,0.00350925637277248,0.175624750519224,0.00400559390028025,0.126320609535938,0.0124554386665258,-2.27530585457333,0.0016213453288151,0.178886563066572,0.00623434101384005,0.127257344940093,0.00198673625052733,0.350562669237412,0.0669790506277642,0.232706685473315,0.342374668677582,"Converged",""
