"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109317838642837,0.302979201798763,-2.24480742020853,0.00112875052335252,0.15375975310977,0.00242707860932691,-2.2443242743849,0.00135163114867797,0.0692947790380014,0.00200722936925877,-2.24656805225889,0.00359141009447081,0.146305019721877,0.00759836981657145,-2.24520858705117,0.000690078767046716,0.15169087077216,0.000680792859219914
"11422-2",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108870565604526,0.299945265462507,-2.24564218285108,0.00111415688811998,0.155150247584998,0.00253845275666622,-2.2462743029257,0.00133225219074317,0.0672152471406717,0.00201915683855609,-2.24786232681271,0.00344279373911895,0.160773154451065,0.00898356039848496,-2.24568665668417,0.000666773210412186,0.155684694632911,0.000656972182047401
"11422-3",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108924422077369,0.315469613259668,-2.24669283875239,0.00111979868117204,0.156437865460009,0.00249628693749526,-2.2472240915301,0.00135374234707915,0.0676392296935207,0.00201034463422127,-2.24420943431882,0.0035247329562245,0.157959269212998,0.00796289409431213,-2.24683225682633,0.000679623450581769,0.156004397749934,0.000670207458768339
"11422-4",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109503706535247,0.300171526586621,-2.24712832631504,0.0011396239172972,0.161630267981913,0.00236249003968698,-2.24689069522071,0.0013620384754918,0.0774632173453687,0.00200206718595296,-2.24387304592107,0.00360883753430804,0.153655735669022,0.00742966866174182,-2.2471504981535,0.000693961779122092,0.161369016966085,0.000685150093285784
"11422-5",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109081763572345,0.296849087893864,-2.24567349153476,0.00111951233736306,0.158224686203335,0.00249140748872129,-2.24650444416917,0.00133572386522695,0.0715887225211434,0.00201511030746893,-2.24894627976639,0.00349648082547331,0.166091885325574,0.00827647178525124,-2.24553480990587,0.000674217772778354,0.158804043082887,0.000664701920776908
"11422-6",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108698557364074,0.29010989010989,-2.24711306782568,0.00111725113135553,0.15205756657852,0.0025254919300629,-2.24723210978832,0.00132612425218016,0.0667850693498773,0.00202439455349187,-2.24654226591327,0.00355412983456381,0.139820815996422,0.00786458429532751,-2.24736262026959,0.000680495655264383,0.152086906819533,0.000671170479096766
"11422-7",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108730708874186,0.304061470911087,-2.24766832116481,0.00111698975251171,0.157000749038769,0.0025266228467113,-2.2481097307712,0.00133930823449311,0.0676976033961902,0.00201821208376785,-2.24994342158883,0.00348003411514919,0.150631038589899,0.00856826434822851,-2.24730121875658,0.000670935477053779,0.157749683663198,0.000661199457340753
"11422-8",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109165898907156,0.284511784511784,-2.2454982737732,0.00112799481735822,0.151626186457366,0.00243703042641645,-2.24627991539588,0.00133368862813263,0.0731707271333647,0.00201537465825545,-2.24849213534098,0.00351472495541586,0.146400364560711,0.00818706027107544,-2.24538775613632,0.000677344712986758,0.152140613711632,0.000667712974442299
"11422-9",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108985628664883,0.300443458980044,-2.24747521693773,0.00112225207490446,0.160864679721135,0.00247901762232585,-2.24762297179621,0.0013416325446529,0.0714492747653074,0.00201414850862936,-2.24715241874339,0.00357208841851663,0.162738666979676,0.00766509827786449,-2.24767799455186,0.000684907862724273,0.160959258709835,0.000675792030585754
"11422-10",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108919371235382,0.309170785282812,-2.24502810228328,0.00111587026544543,0.151915947181777,0.00252609676418291,-2.24550946513638,0.00134258509736465,0.06506541794179,0.00201486373214994,-2.2448398508937,0.00348533517680689,0.155715545742612,0.0084119399889997,-2.24501624061901,0.000673019377844151,0.151971350518177,0.00066337318170277
"11422-11",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109007365108492,0.300558659217877,-2.24703094892914,0.00112652084160974,0.154442781919099,0.00245332545830403,-2.2469570848347,0.00134701015129568,0.069547875386203,0.0020123591281236,-2.25058098968764,0.00362216520420361,0.162466983737383,0.00742613315437004,-2.24721453464678,0.000691540342515305,0.154135796733582,0.00068238665147797
"11422-12",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109128897492941,0.327557294577976,-2.24607091039165,0.00112635146195539,0.155004829200551,0.00244983643481342,-2.24699332487855,0.00137420551010981,0.0687642766701364,0.00200404865820827,-2.25490445787965,0.00367195578612417,0.161865101875684,0.00724390490803404,-2.24559984178828,0.000694915292388824,0.155678411280737,0.000685861831344412
"11422-13",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108860398638001,0.305921052631579,-2.24488718064783,0.00111455954481604,0.149453192727123,0.00253710671234732,-2.24499566766012,0.00133786317263718,0.063090558428418,0.00201712378677209,-2.24327238468744,0.00351700767357384,0.140300345597466,0.00810519142144374,-2.24510055547408,0.000676712582369721,0.150033090943852,0.000666904988903786
"11422-14",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109133062399675,0.308920704845815,-2.24423059849863,0.00111684483263191,0.156045035068119,0.00250841343753247,-2.24407818258798,0.00134348983878669,0.0660285324000311,0.00201186420586043,-2.24434944866859,0.00357411820161169,0.153868872152539,0.00761353529260887,-2.24394229549095,0.000683179092574217,0.156094197571977,0.000673736120525678
"11422-15",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10874398514085,0.283451665756417,-2.24633764598021,0.00111338107815885,0.154062977302521,0.00255226795515557,-2.24634045771802,0.0013151061742461,0.0669456631528694,0.00203009811473233,-2.2398328054238,0.00349838460630038,0.151936791561918,0.0081277292211594,-2.24625559601069,0.000675345559124719,0.153514888427442,0.000665552936176834
"11422-16",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108909619527019,0.311457174638487,-2.2473224085765,0.00112396768270697,0.154609337298201,0.0024693613511963,-2.24666461960994,0.00135445367697951,0.0660940057231073,0.00201008088651143,-2.25136274450371,0.00348486956173708,0.159008823357121,0.00854493917468882,-2.24709046896238,0.000673350298264119,0.155418703318735,0.000663645875603733
