"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-1",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123325359398024,0.227272727272727,-2.22953037105873,0.00713104121273178,0.139214605260542,0.00719392177652784,-2.22922609761996,0.00811801529133531,0.138303937346906,0.00817308416663812,-2.18578196922401,0.0466760028009337,0.0922293604640859,0.0467713034305898,-2.22943921233086,0.00803264210616189,0.13882849584237,0.00808728778150131,0.99762711367353,""
"11422-2",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123258820751418,0.27906976744186,-2.25367231127598,0.00727758652301609,0.16314429246858,0.0073391824574205,-2.26074568303652,0.0085932710661556,0.169471602263227,0.00864524921669251,-2.25271969032343,0.0274617045680222,0.164390700176425,0.0276235409684096,-2.25757936593705,0.00637987018998778,0.166980043818935,0.00613949845141875,0.995358785658324,""
"11422-3",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123226396395782,0.432432432432432,-2.2422363536163,0.00781416548202922,0.15085325624376,0.00787144017275826,-2.2503490720123,0.0103851586617146,0.158012095366799,0.0104280492179482,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All X = 1 in subset"
"11422-4",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123227487621651,0.333333333333333,-2.25551083775373,0.00691697699148696,0.165118809615311,0.00698189594438054,-2.25195607992378,0.00846970974692136,0.160391827307865,0.00852247918658088,-2.27881703323369,0.0280275771268713,0.182007033171263,0.0281877321522256,-2.25618613096328,0.00839748693939593,0.165760140344709,0.00845323442887955,0.992904986474763,""
"11422-5",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123377723392857,0.405405405405405,-2.24439467318726,0.00782468477865766,0.154279318572787,0.00788181189897932,-2.24077977649057,0.0101461391169414,0.149643584862317,0.010190000412782,-2.21512431145774,0.0234339186365443,0.126310487530215,0.0236247605349906,-2.23725844660265,0.00517726133461342,0.147516705252187,0.00466754023947247,0.989654620956607,""
"11422-6",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.12305187875358,0.311111111111111,-2.24267515689935,0.00709094856816563,0.150394808223021,0.00715432463382357,-2.24607432835197,0.00855169265036835,0.15293753570383,0.00860402347412529,-2.22867788999452,0.0212142617100295,0.134242912434978,0.021426986858695,-2.24107533757914,0.00497010071142464,0.148736388728661,0.00457569372386942,0.99377470902023,""
"11422-7",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123112967141271,0.24390243902439,-2.24980557215242,0.00743828352734283,0.157882102984793,0.00749860282373238,-2.25133040670718,0.0085648572937289,0.158747261354297,0.00861708601461119,-2.28518503069335,0.0243468254141077,0.194188222628001,0.0245308147317533,-2.25255539531911,0.00547581800922638,0.16062534543987,0.00518554434835247,0.995696680929712,""
"11422-8",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.12316007584924,0.27906976744186,-2.2452346166459,0.0072448529031278,0.153752800079409,0.00730679964976571,-2.25015477567205,0.00855513434933576,0.157940253549963,0.00860740340884561,-2.29665739336077,0.0280717304423968,0.20335395749399,0.0282313541323501,-2.25105969989628,0.00846809355933064,0.159333055898079,0.00852070691393682,0.996779895691009,""
"11422-9",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123164370869064,0.1,-2.25128879777051,0.00755087767614182,0.159731560824736,0.0076102357195021,-2.25579521888138,0.00797908760794847,0.164027706763302,0.00803519083842977,-2.28799182728565,0.0216879432516303,0.191452425147449,0.0218964490741389,-2.25572397797825,0.00789405391800509,0.163961212515641,0.00794955873950668,0.99996191899143,""
"11422-10",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123297070629784,0.222222222222222,-2.24909168037935,0.00795406111985699,0.158316603211623,0.00801030816379887,-2.25340240637205,0.00904209157991229,0.162133957300222,0.00909145177352544,-2.26888261364199,0.0339813828709151,0.178213319965039,0.0341122686840832,-2.252678488663,0.00894280992642613,0.161594984883405,0.00899176929227932,0.998707668808211,""
"11422-11",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.12301829578641,0.37037037037037,-2.24861248059488,0.00648462460904057,0.156724936914184,0.00655415626340145,-2.24274777457589,0.00813761310656618,0.149443526158942,0.00819269651883625,-2.28654449115827,0.0279289992409496,0.195427250799952,0.0280887326171218,-2.24525875719374,0.00562109317360035,0.153382926185244,0.00524168004809355,0.990192114621948,""
"11422-12",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123272708510073,0.176470588235294,-2.25469670921847,0.00821606139520517,0.16367471328762,0.00827049395626201,-2.251944859854,0.00903655168499018,0.160478597276594,0.00908595665854742,-2.29560322923808,0.0343401386301626,0.207771627335512,0.0344693507387087,-2.25427374381119,0.00895098363681155,0.163333388687618,0.00900095847820856,0.996671729522871,""
"11422-13",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.12325531805007,0.236842105263158,-2.2552535031419,0.00776150388203142,0.164372140147825,0.00781917924431396,-2.25654280923269,0.00888897490649852,0.165047928345633,0.00893920146186475,-2.22224571543774,0.0333518669608595,0.129190180993103,0.0334854594513468,-2.25459146797667,0.00674229649882501,0.163653546678364,0.00651059603870438,0.9961515594802,""
"11422-14",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123403181004024,0.266666666666667,-2.25207280625279,0.00713013380227404,0.162873245717514,0.00719297687063858,-2.25248468738023,0.00832783718986336,0.162459610044798,0.00838145250578748,-2.2397617828416,0.0179634250802625,0.147431051056843,0.0182159127035899,-2.25283849650508,0.00824083915760278,0.163377802261114,0.00829493108131691,0.99627976644304,""
"11422-15",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123239872117134,0.289473684210526,-2.2492737108157,0.00773637715333209,0.15816929657689,0.00779425876365415,-2.24992450164552,0.00918087983003107,0.158085490384814,0.00922949593433199,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All X = 1 in subset"
"11422-16",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123107358266238,0.261904761904762,-2.24727286682433,0.00735950696543349,0.15534477551796,0.0074204620513816,-2.24219682612871,0.0085448202924384,0.149477709394863,0.00859715159109986,-2.23029890715142,0.0193058679716109,0.139145242960661,0.0195395410117297,-2.24364030949976,0.00846016347178005,0.151719572193391,0.00851333765832689,0.994451905181403,""
"11422-17",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123219442735306,0.365853658536585,-2.24784239634835,0.00744302123928282,0.156759106200797,0.0075032420862544,-2.24822417711147,0.00935478487261908,0.156140099262465,0.00940248594946352,-2.24344333593121,0.0193673376709814,0.142691444901508,0.0196026452304588,-2.24887539529915,0.00617355761399733,0.157938207808237,0.00589348658873899,0.992196231509044,""
"11422-18",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123237457339351,0.292682926829268,-2.24414401029693,0.00744260905603976,0.153153229238777,0.00750281124407231,-2.24234692894034,0.00884228748754253,0.150552475997544,0.008892781027579,-2.26733812542153,0.0338642721474934,0.172185588808721,0.0339959955060545,-2.24474291892304,0.00875885204741384,0.153825253153108,0.00881052868137123,0.994023370460044,""
"11422-19",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.1232034804203,0.294117647058824,-2.24187271684913,0.00666562637036651,0.151201066748029,0.00673306499079391,-2.24552004547641,0.00793650389702473,0.153937217857016,0.00799289068587153,-2.19722457733622,0.032686022522182,0.106403379844233,0.0328220597933261,-2.24663867214405,0.00785659817211391,0.155754215842292,0.00791378131127208,0.995239799544004,""
"11422-20",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123130063217405,0.365853658536585,-2.22897515893897,0.0073646940789348,0.136847757956131,0.0074256029792363,-2.22499661797336,0.00923159612278873,0.131941560307421,0.009279968775482,-2.21182814096474,0.0271964087698,0.116795149341248,0.0273611793693102,-2.22906814961134,0.00459716740848424,0.13677357375341,0.00417525846154633,0.994383634163805,""
"11422-21",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123240794596633,0.209302325581395,-2.26194828634508,0.00731800746057087,0.171447925193794,0.00737926446282593,-2.26133743520078,0.00822439466640404,0.170175140160336,0.00827875818756266,-2.26465610146986,0.0240215317591638,0.166778832241403,0.0242092615984958,-2.26268169694704,0.00814250634794741,0.17212546528449,0.00819811735865128,0.996277141011823,""
"11422-22",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123199714743562,0.304347826086957,-2.25524840391221,0.00705117345513531,0.164472240569315,0.00711486615892104,-2.25281482765943,0.00845607005607281,0.161020215945991,0.00850896190618098,-2.26373945603251,0.0342393478488435,0.174479435424464,0.0343692166383294,-2.25330139409709,0.00836828767101062,0.16252373835781,0.00842337601919061,0.993319545992296,""
"11422-23",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123133459132626,0.404761904761905,-2.25625419210108,0.00736609339122462,0.164661107234241,0.00742696667707876,-2.25472486680372,0.00955287881130256,0.161918540376622,0.00959958213087822,-2.22215266080667,0.021002655503485,0.133591354219399,0.021216446917297,-2.25543256384256,0.00676453635202321,0.164123525203835,0.00646866737242979,0.990206349629165,""
"11422-24",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123333601793139,0.36734693877551,-2.23384708099255,0.00676386109981376,0.143998391205352,0.00683026395760029,-2.23940114345189,0.00851842969129152,0.148511356205993,0.00857086922146534,-2.21536986318544,0.033482476439865,0.125663971271783,0.0336152175028932,-2.23912676819941,0.00842679121513389,0.149212325519317,0.00848030730121512,0.992911929989035,""
