"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121256449282584,0.366666666666667,-2.2438776045225,0.00274752153797403,0.1536527870148,0.00292761776891108,-2.24266720495876,0.00345230012286553,0.14450444028778,0.00359055878164795,-2.24504351367622,0.00793625560690691,0.148790202602402,0.00857993041553739,-2.24463383283475,0.00170829070934992,0.154060198129187,0.00170638397045416
"11422-2",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121101644119976,0.268608414239482,-2.24743847540741,0.00270929008379976,0.156915842788206,0.00289264928315711,-2.2490077622158,0.00317022799398199,0.152506200712437,0.00332267397821678,-2.23243507524139,0.0103037995978665,0.143248477283416,0.0107654127387663,-2.24899198897322,0.00203420891347744,0.158024024855932,0.00203332824945397
"11422-3",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121038717561825,0.328990228013029,-2.24752450468986,0.00272249145134195,0.156261235967603,0.00290484552394179,-2.24780794592684,0.0033221848236148,0.149244680094299,0.00346676321326308,-2.24576594649541,0.00857776476413448,0.155239256867614,0.00915711682485463,-2.24806534623627,0.0017914496128673,0.156639178602125,0.00179013213819567
"11422-4",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121191196460774,0.326599326599327,-2.24717292622378,0.00276584047970167,0.156546622342947,0.00294456313741402,-2.24589129070459,0.00336862534275114,0.148101277215922,0.00351079689343478,-2.24504931418605,0.0103913249292148,0.151079306660258,0.0108528042232564,-2.24789112225543,0.0020978417489981,0.157035082980622,0.00209732316715173
"11422-5",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121390625777459,0.309027777777778,-2.24632304842711,0.00280804626630883,0.15674594045196,0.00298321523736516,-2.24838533858393,0.00337920650303287,0.152536397149428,0.00352060243600279,-2.25289451643683,0.00844821844928618,0.160968725717992,0.00903899295843187,-2.2460393019586,0.0017659199511325,0.156253460324802,0.00176446279971069
"11422-6",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121044626084693,0.282312925170068,-2.24529770550486,0.00277746614603956,0.152833807546459,0.00295553415234487,-2.24434095582668,0.00327893425305023,0.145842817417168,0.00342570962767808,-2.24157376666453,0.00839861608919651,0.149742383606792,0.00899312510089791,-2.24517141895251,0.00180448287321672,0.152599109772047,0.00180324631396932
"11422-7",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121022674020335,0.331103678929766,-2.24574593035736,0.00275763631741013,0.153494555607572,0.00293729290082918,-2.24827419564844,0.00337597001137591,0.149190493975201,0.00351801941010545,-2.23783632427217,0.00852399881890104,0.147783776537626,0.00910452604067431,-2.24603656383521,0.00179211404697172,0.153725267040664,0.00179065758808633
"11422-8",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121165678400997,0.272108843537415,-2.24882240426528,0.0027819332334822,0.15792114784246,0.00295948566292495,-2.2446025448982,0.00325401481068014,0.147406226227503,0.00340192845300977,-2.24537316124296,0.00917817088314026,0.148549944229497,0.00971450763000622,-2.24800328074455,0.00186294035748507,0.157089564015089,0.0018616121649289
"11422-9",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121176396210706,0.339100346020761,-2.24552403545907,0.00280208684476209,0.153922594111502,0.00297806660262536,-2.24812964886139,0.0034502646624552,0.149771303218551,0.00358866955177097,-2.23305280587617,0.00812015398129898,0.146077350064297,0.00873701732033107,-2.24538170812405,0.00175422950249609,0.153559866090839,0.00175293991798882
"11422-10",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121267669863645,0.308771929824561,-2.24701879342577,0.00282281981911436,0.156158141635074,0.0029971811170624,-2.24486217025515,0.00339209078042046,0.147440531612519,0.00353310377242386,-2.23565460208725,0.0089478498322077,0.144096911888551,0.00949648438189728,-2.24679420239316,0.00187790786312936,0.15568453970724,0.00187663805581084
