"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-1",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10872765126384,0.334384858044164,-2.24856452883149,0.00267921243548975,0.149212213899636,0.00583255980942912,-2.24872989837796,0.00328315520119691,0.0639712510067401,0.00476579038531006,-2.24331810131517,0.00868612889144125,0.122851270863635,0.0172175286546627,-2.24873673396567,0.00268195620403861,0.152991932244296,0.00663456466570693,0.399182326683458,""
"11422-2",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109362336025801,0.335423197492163,-2.2422132989368,0.00266137191826828,0.150406818214815,0.00587517912539928,-2.23897369911624,0.00325971506238685,0.0557630192043772,0.00475376199250649,-2.2323091074946,0.00877767175629802,0.154782174863099,0.0163806288291302,-2.24205649924276,0.00270355059379469,0.153157111171812,0.0064823246774591,0.389026129800754,""
"11422-3",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108768095877183,0.316923076923077,-2.24466049044624,0.0026409497421066,0.14723680395407,0.00608967932362213,-2.24503489855423,0.0031972705246928,0.0603302865061169,0.00478730488079328,-2.24135651833109,0.00851935835183851,0.125058961865463,0.0179396640516504,-2.24388231689389,0.00260719233095611,0.148363369143495,0.00771162382503192,0.371987006596663,""
"11422-4",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109251771982024,0.29073482428115,-2.2481804547994,0.00269625942727468,0.161919905479922,0.00568925918162155,-2.247583997289,0.00320069133371653,0.0762035312424632,0.00477262835732034,-2.25455807512588,0.00874404926867272,0.167290711603056,0.0171227887695452,-2.24613891839594,0.00267120360111165,0.166915618728655,0.00678181834524819,0.416459299735403,""
"11422-5",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109359848870265,0.311728395061728,-2.24181402719752,0.00264182499168521,0.158747692646455,0.00600979268874824,-2.24018623900466,0.00318211532829397,0.0622244655117478,0.00477587903020243,-2.24697522026147,0.00772045191262241,0.0908163318539275,0.0465281477777684,-2.2425452363266,0.00271783710506454,0.157520484968375,0.00680350895277187,0.408913723136922,""
"11422-6",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108375206082424,0.318885448916409,-2.24941483200944,0.00265537902929936,0.149303861476813,0.00602503551401151,-2.25045580225942,0.00321927936890551,0.0638647813350512,0.00478946502732886,-2.23845972201239,0.00865225243094199,0.157559893693201,0.0169449283938555,-2.24860521816674,0.0026716023528887,0.150369230692743,0.00733496036466939,0.379529079185685,""
"11422-7",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109422738481199,0.278846153846154,-2.24719617951094,0.00269577948923273,0.162459811845429,0.00566092407300587,-2.24859528399961,0.00317767835753234,0.0830736313950564,0.0047715092885123,-2.24531245218494,0.00867533920032758,0.153808038055865,0.0170590498074296,-2.2460739784111,0.00268660365463111,0.164239867631295,0.00647621343194584,0.451493588342656,""
"11422-8",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108087078713208,0.257971014492754,-2.24377025311545,0.00256208964651996,0.153629634739641,0.0070512273073197,-2.24235752350377,0.00297174442270237,0.0503239810724265,0.00498883014082534,-2.23191445032983,0.00835132950688936,0.137114925345598,0.0186877036682818,-2.24338721736617,0.00253983236628065,0.159495918058858,0.00807246633090252,0.316033419110716,""
"11422-9",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108808908215042,0.275541795665635,-2.24711366909357,0.00265184750496931,0.157823203950535,0.00600036236997632,-2.24608351077329,0.0031133005361628,0.068400080627353,0.00482591440040698,-2.2434760132612,0.00816278677239498,0.131601295770787,0.0214806848396712,-2.24588446244244,0.0026300763043089,0.159924112602721,0.00743593111398646,0.405124034832216,""
"11422-10",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109181147505276,0.321766561514196,-2.24491672223857,0.00267370055345791,0.151910870787048,0.00581454475511873,-2.24472783507162,0.00324678655613114,0.0657736930111313,0.00476003181318353,-2.22928283732968,0.00877125413032977,0.156031483126707,0.0163794312714592,-2.24484844757682,0.00270765356940092,0.152168491619354,0.0070096285626382,0.414781744208149,""
