"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.111333148845705,0.313953488372093,-2.25010481173444,0.00297362240799464,0.154156014917709,0.00486013285581801,-2.24812529579698,0.00358567917530335,0.0949485869722715,0.00475055124757945,-2.25378897819682,0.0099587538194614,0.129626216901811,0.0149798433069041,-2.24964481835982,NA,0.155515521630956,NA
"11422-2",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.112613906045057,0.284552845528455,-2.24514057525704,0.00303658221266454,0.158028207071323,0.00476080867761951,-2.24678423361606,0.00359249861514349,0.111922839005449,0.00473269740318786,-2.24256630535516,0.00971193830707263,0.168125772700625,0.0148937524979758,-2.24578865565052,NA,0.157166389523542,NA
"11422-3",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.111360363870878,0.261538461538462,-2.25098294506366,0.00295925273659383,0.159263981034844,0.00486722673266167,-2.24960775187995,0.00344167221165464,0.1047879654171,0.00470982389030736,-2.24994340559928,0.00829596815394843,0.160314611644923,0.0197498426948237,-2.2501182607066,NA,0.158883188989362,NA
"11422-4",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.112121020515221,0.220472440944882,-2.24704069239942,0.00299058128674884,0.160316034981686,0.00481477896107303,-2.24611841000611,0.00338506718612356,0.114397766313856,0.00469148554642036,-2.24859443996014,0.00936954349078419,0.167982927396118,0.0153767034955146,-2.24655607627231,NA,0.159721820387122,NA
"11422-5",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.112326874918641,0.254032258064516,-2.24767910899766,0.0030277731739325,0.160169687318766,0.00477242004964998,-2.24667455171941,0.00350366315240877,0.111895354770549,0.00470813027488758,-2.26251652700967,0.00980910534579251,0.199577217848989,0.0148713171871826,-2.24688714678082,NA,0.161047430560474,NA
"11422-6",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.111398883640838,0.256704980842912,-2.24743592625986,0.00295373507668627,0.151662412855929,0.00488704213629054,-2.2475215481141,0.0034272902024507,0.10248297339766,0.00471406376358858,-2.23878753415903,0.00915008090967342,0.155217075079922,0.0157091148965346,-2.24747992274652,NA,0.150812060846262,NA
"11422-7",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.111297341973077,0.247232472324723,-2.24707328675672,0.00289504904582073,0.159744289044527,0.00496316532635099,-2.24545297786345,0.00333488844218489,0.10186022557981,0.00470308261806629,-2.26024415234858,0.00861332926947453,0.179261708483414,0.017778799240351,-2.24727498446693,NA,0.158182250182621,NA
"11422-8",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.112006781608616,0.234375,-2.24861617479221,0.00297972838545783,0.163932518252371,0.00482938534594234,-2.24641763937662,0.00340141857007118,0.111761647138603,0.00469561282159056,-2.2416893566371,0.0093230205320512,0.148178954083781,0.015396303668606,-2.24824558127491,NA,0.1638928490626,NA
"11422-9",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.111939241993544,0.253846153846154,-2.24672003394039,0.00295336157059199,0.161731510010626,0.00485338936844222,-2.24618404873795,0.00341814821915584,0.10914057236788,0.00469562825726648,-2.24122362037242,0.00881407740551763,0.181739108843194,0.0163262150335774,-2.24558316283934,NA,0.164687485433107,NA
"11422-10",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.111640307510562,0.288888888888889,-2.24679467768774,0.00289987798367352,0.166786253356525,0.0049435595162289,-2.24691173348608,0.00344128468816433,0.104417454630619,0.00470814599831071,-2.24605024426594,0.00972157361142984,0.17018283741019,0.0149357530866082,-2.24671653395948,NA,0.167533448036497,NA
"11422-11",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.11203038027688,0.251968503937008,-2.24551845365171,0.00298932526970467,0.154315891908883,0.00481868586955678,-2.24732885862721,0.00345892299598488,0.110901023037658,0.00470463793418721,-2.23698164859118,0.00879496740314525,0.141700937777797,0.0165392031735458,-2.24669061078559,NA,0.152969044634798,NA
"11422-12",390,-2.245641,0.1549768,-0.35,0.8,0.1,0.112981718598785,0.229166666666667,-2.24377344360587,0.00307027275995573,0.156676437447473,0.00472475452279387,-2.24588171004281,0.00350114949780452,0.120759500574148,0.00469657252587459,-2.25092703098522,0.0099493833157804,0.148074087694363,0.0148877281487271,-2.24389695748824,NA,0.157652364705718,NA
