"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",2200,-2.245641,0.1549768,0.1,0.9,0.113866620937797,0.106276150627615,-2.2473225396439,0.00137894269062716,0.156640377358255,0.00195844067185805,-2.24709523326695,0.00145848964791281,0.139815319219618,0.00196794468311788,-2.24068141068442,0.00445386684282677,0.152396592332739,0.00617553196184091,-2.24728019145452,0.00139855053911935,0.156150090873122,0.0018982693167536,0.890256192649686
"11422-2",2200,-2.245641,0.1549768,0.1,0.9,0.113657323556538,0.0816666666666667,-2.24722350374721,0.00137571842922821,0.153363943337515,0.00195996579230801,-2.24700807035574,0.00143553558147886,0.140166193992107,0.00196432186913942,-2.2464120627119,0.00440430173170238,0.152812307850612,0.00619246213120743,-2.24689679671465,0.00137969291426949,0.154154171210271,0.00191073272403525,0.901537164588637
"11422-3",2200,-2.245641,0.1549768,0.1,0.9,0.114244210909896,0.0857385398981324,-2.24416322263437,0.00138633421735719,0.154452569366983,0.00195468454601465,-2.24458978042055,0.00145023628299736,0.142267397140822,0.00196291857520769,-2.24613802455957,0.00454507750444352,0.148659022363927,0.00620165299646286,-2.24496146135941,0.00140264705192182,0.154255165267587,0.0018964480312903,0.921400952532942
"11422-4",2200,-2.245641,0.1549768,0.1,0.9,0.113964475107465,0.0993485342019544,-2.24395443842079,0.00135771554280998,0.156281278365793,0.00195877010640934,-2.24325930224932,0.00143009819091503,0.138705992965642,0.00196122087886036,-2.23791591124082,0.00443582107981173,0.14983527254661,0.00616212212951175,-2.24352629141117,0.00136261055821915,0.157114375109375,0.00191976299958512,0.877929625099318
"11422-5",2200,-2.245641,0.1549768,0.1,0.9,0.113514708453443,0.0924574209245742,-2.24556603263569,0.00135583111292633,0.152174473980999,0.00196272632441002,-2.24574484988597,0.00142320773061919,0.13753596989258,0.00196324107266967,-2.2455232674435,0.00437985952241227,0.150944271757072,0.00619206913431043,-2.24584212117539,0.00136886866540228,0.152129344345701,0.0019132910051807,0.898535548146626
"11422-6",2200,-2.245641,0.1549768,0.1,0.9,0.113845547889014,0.0906821963394343,-2.24530011141287,0.00137354682640069,0.153133731240346,0.00195895944564317,-2.24571658055203,0.00144055829507774,0.139847674531033,0.00196431274743431,-2.24555509337885,0.00444290735279496,0.151733226640943,0.0061935172993612,-2.24567964530771,0.00138364597120336,0.152540190305632,0.00190158346497558,0.910303087826264
"11422-7",2200,-2.245641,0.1549768,0.1,0.9,0.113837011453537,0.0909090909090909,-2.24710355925461,0.00137657452404512,0.156195871009398,0.00195825442977181,-2.24667951565105,0.00144334364622842,0.141140688837114,0.00196437534938261,-2.25144685005829,0.00453903394736444,0.159279369391396,0.00619901720181449,-2.24712847554101,0.00138889893400423,0.156198192140286,0.00189260061547232,0.902079536936558
"11422-8",2200,-2.245641,0.1549768,0.1,0.9,0.114159910708458,0.0861924686192469,-2.2428638148442,0.00137552839077455,0.152846254658371,0.00195551849639755,-2.24311016506494,0.00143923735924368,0.140011712264648,0.00196124067225654,-2.23967717135269,0.00450491496671576,0.156668546453488,0.00616494391646006,-2.2429518273166,0.00138849473925024,0.152469601285995,0.00189976539023978,0.910439710877881
"11422-9",2200,-2.245641,0.1549768,0.1,0.9,0.113643611879447,0.0898692810457516,-2.24680123391941,0.00136239740207919,0.155785410536333,0.00196109015489047,-2.24697563119736,0.0014281600779519,0.14141837950074,0.00196325116477507,-2.24912760110202,0.00433575238909792,0.158023636772201,0.00619668415092188,-2.24670814205588,0.00136951155349482,0.155812213684487,0.00190860850804263,0.897323638118586
"11422-10",2200,-2.245641,0.1549768,0.1,0.9,0.11425603783627,0.0854922279792746,-2.24508376697801,0.00139988848026388,0.153766085636906,0.00195549402431516,-2.24498308904994,0.0014637596728547,0.141164773808045,0.00196642680529471,-2.24498683676554,0.00444242530856171,0.14918092886569,0.006191186430757,-2.24529652179955,0.001412455521709,0.153907410109469,0.0018980650991606,0.914998104552246
