"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111404398866349,0.368217054263566,-2.24713468073,0.00296763246669263,0.147958841452198,0.0048632413831176,-2.24845822773614,0.00373394223237075,0.0909449643057627,0.00480630964477426,-2.24222258378423,0.00432624710172568,0.131503974580775,0.00674177246948643,-2.24810596817054,0.00242485817551442,0.147179078979442,0.00228913146617341
"11422-2",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.112641153036527,0.314285714285714,-2.2416058241337,0.00303750657222009,0.149149536104277,0.00475866965061885,-2.2424393456061,0.00366935892388395,0.101340052342557,0.00476120860079448,-2.24481369876267,0.004400377652222,0.154580741000831,0.00664872647669927,-2.24414383299632,0.00245020479311898,0.149871612041806,0.00232560480636704
"11422-3",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111390697608585,0.310077519379845,-2.2514001006054,0.00297186248684864,0.158897463446134,0.00485218345685348,-2.25257319371592,0.00357986217851954,0.103965290532154,0.00474429812808527,-2.24908391062052,0.00418285463186133,0.16479842039733,0.00686489365846018,-2.25188484462929,0.00235114857617411,0.158120753083416,0.00221433447795176
"11422-4",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.112420347172846,0.296747967479675,-2.24333126921452,0.0030334233679533,0.149459617905126,0.00476894080042987,-2.23765042630209,0.00360792115175715,0.0917928935006581,0.00474104383024683,-2.24433551735839,0.00427467375931258,0.153063711771409,0.00675968761940299,-2.24230403507148,0.00238499308481264,0.15064150311258,0.00225508401974259
"11422-5",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.112152632427675,0.297619047619048,-2.24237558656232,0.00299500461617218,0.146877283392026,0.00480661243234361,-2.24292356023609,0.00357420953560412,0.0985831403728148,0.00473225002667294,-2.24459982455566,0.00427283983766929,0.140755058137608,0.00678047717565178,-2.24311630250562,0.00240311364408614,0.145918498488442,0.00225919927590914
"11422-6",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111677096511154,0.286274509803922,-2.24862326189507,0.00298861770698287,0.155115819758181,0.00483898409776278,-2.25091737793869,0.00354180300326395,0.107379548389898,0.00473471624317995,-2.25171292266819,0.0041575448985158,0.15494104950801,0.00696133274326373,-2.24900148663301,0.00237334323381495,0.15529307024275,0.00223813871340462
"11422-7",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.11156989313198,0.290566037735849,-2.24643764608501,0.00292660400443543,0.157813997515239,0.00490526997195662,-2.24799406918733,0.00347740229084528,0.10343972628765,0.00471546250889677,-2.24876990007768,0.00416854716691332,0.161531672327273,0.00690226672853608,-2.24621133625655,0.00233419994333361,0.15728951260408,0.0021912084757071
"11422-8",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.112043285474623,0.298449612403101,-2.24417066099981,0.00296286116177567,0.15525870616791,0.00484413378792462,-2.24280827014845,0.00353641683935567,0.0983343489636421,0.00472293941336617,-2.24649562634285,0.00419738384806873,0.155824164591829,0.00685486543030787,-2.24498653352998,0.00240259800637167,0.155349697309933,0.00227087022399923
"11422-9",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.112248607332628,0.337349397590361,-2.24561876372978,0.00301524932178875,0.15422304097215,0.00478154477253882,-2.24901498225034,0.00370902333548344,0.105062924952931,0.00478067946916271,-2.24748439882382,0.00419546194587687,0.153942383636203,0.00686360837155498,-2.24778883512511,0.00238685057715563,0.155409020366507,0.00225552775644106
"11422-10",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.112395648033968,0.326771653543307,-2.24285571866412,0.00298435589785315,0.155840342296685,0.0048093775687337,-2.24004384618634,0.00363165943082149,0.0948365685956482,0.00474925449631629,-2.2449697408545,0.00417850713449625,0.165679694451963,0.00685694689202096,-2.24155786573957,0.00236268276531956,0.156609786129909,0.00222368546224354
