"sim","N","beta0","beta1","q","avg_prev","fpr","ppv","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",390,-2.245641,0.1549768,0.75,0.111467374632529,0.29520295202952,0.597989949748744,-2.24383597522519,0.00289231148522148,0.154669311916527,0.00496621096722448,-2.24290571240865,0.00344248756275625,0.0936989980861595,0.00471294331533864,-2.24523532687615,0.00331941998943081,0.158171155276437,0.00576732298003111,-2.24445119387632,0.00283589648721942,0.154741694143134,0.00484519295216123,0.605395490859886
"11422-2",390,-2.245641,0.1549768,0.75,0.111373599714327,0.296875,0.638095238095238,-2.25306854512829,0.00298936499346924,0.160764311177695,0.00484625575872264,-2.2515034537265,0.00356192139900815,0.10272860502944,0.00474437891999246,-2.25293497446588,0.00340880099808116,0.162767130434422,0.00564802500432073,-2.25312498174074,0.00290021401621371,0.1604425780135,0.00472670315958021,0.64010348365006
"11422-3",390,-2.245641,0.1549768,0.75,0.111581241463129,0.304832713754647,0.596059113300493,-2.24114662523229,0.00289608108146125,0.147492447154169,0.00495157871273877,-2.24579017012519,0.00348117239223685,0.0989760673773988,0.00471698094650453,-2.24145391888287,0.00332661153825195,0.1484785222456,0.00574334960423578,-2.24111255532594,0.00279866535785412,0.146628193213102,0.00488670712571511,0.599510527206246
"11422-4",390,-2.245641,0.1549768,0.75,0.110764501462992,0.301075268817204,0.569230769230769,-2.24850872963968,0.00285418423439237,0.159738078629616,0.00506168238795943,-2.24846438985642,0.0034138428965129,0.0939040777167465,0.00471939067371425,-2.24777685649879,0.00330373115463948,0.163369812379931,0.00579927363110348,-2.24852250692094,0.00276772613505187,0.159019504508289,0.00497692149020456,0.572135784591831
"11422-5",390,-2.245641,0.1549768,0.75,0.11132598430321,0.249056603773585,0.654450261780105,-2.24497634960716,0.0029272938178166,0.147479471594924,0.00491879346638114,-2.24394725558554,0.00337556619603085,0.0970841701198578,0.00470686621903242,-2.24882150114455,0.00341102214948234,0.149802031026327,0.00564066544580242,-2.24477164947806,0.00282438937251681,0.14748306760694,0.00482905131495636,0.65179601666318
"11422-6",390,-2.245641,0.1549768,0.75,0.111299909451664,0.273062730627306,0.616580310880829,-2.24266586244196,0.00288944835858094,0.146795750815098,0.00497771273452507,-2.24332079296256,0.00339027728932628,0.0942565257837843,0.0047087965442691,-2.24335039732826,0.0033312413365862,0.144953759905817,0.00575535096336111,-2.24280660768341,0.00283946031920937,0.146259219559305,0.00483801333211974,0.620968385414326
"11422-7",390,-2.245641,0.1549768,0.75,0.110872659957079,0.303571428571429,0.564102564102564,-2.24414618189721,0.00284295113511335,0.150326804660178,0.00508227651456673,-2.24586623500032,0.00341042686793817,0.0907183790742197,0.00471787920584162,-2.24409739701355,0.00329659692819068,0.153919939638534,0.00580824044082065,-2.24377243048338,0.00274941330237747,0.150219281816763,0.00508735833652233,0.559719948729637
"11422-8",390,-2.245641,0.1549768,0.75,0.111285570765022,0.248175182481752,0.630434782608696,-2.24631179130217,0.00287739030441444,0.160987133778495,0.0049959084533604,-2.24370279182802,0.00331531302598402,0.0990737694359153,0.00470454767080662,-2.24692962984743,0.00330265035527261,0.162686253566361,0.0058022235000868,-2.24611684995827,0.00280300826881645,0.160750924152921,0.00488134593776852,0.628952910849717
"11422-9",390,-2.245641,0.1549768,0.75,0.110003655717948,0.307420494699647,0.551546391752577,-2.25390282618212,0.00284619661390158,0.160244036337713,0.00512814422659585,-2.25604787956722,0.00342427513512166,0.0957419900965667,0.00473972418547207,-2.25217674744178,0.00327118857778523,0.16107376495336,0.00594064230306114,-2.25352301556071,0.00276418607286363,0.16085767884712,0.00505374967849537,0.544757624633872
"11422-10",390,-2.245641,0.1549768,0.75,0.111523214026303,0.261992619926199,0.626315789473684,-2.24384732314254,0.00289148927476343,0.156253584422039,0.00496327490087559,-2.24500753928216,0.00336912305558856,0.10288881449031,0.00470195179964248,-2.2443012045553,0.00331642477836593,0.15749415751348,0.00576620084980575,-2.24384291209965,0.00280412639410852,0.155785618385712,0.00488935880567822,0.628285648574698
