"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.112083680245855,0.251214434420541,-2.24354689415828,0.00125337950435413,0.15187785722283,0.00203330407462907,-2.24358214025703,0.00144860418111474,0.105342901525269,0.00197894305095088,-2.23886514266692,0.00405673550467786,0.142978207669472,0.0063194250046284,-2.24323078844151,0.000777481943796316,0.151437016819897,0.000770333445007223
"11422-2",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.11150141157434,0.243820975283901,-2.24630807701065,0.00123106657437576,0.156149574062113,0.00206851915834315,-2.24452778924711,0.00141450317638787,0.101954991635631,0.00197907874834106,-2.24976654426496,0.00397901325418962,0.152813556840098,0.00645040474206814,-2.24658334135884,0.000762001234485934,0.155918118549424,0.000754458087930843
"11422-3",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111976347699718,0.236751548520303,-2.24462915207813,0.00124831937078236,0.154408974464699,0.00203925632832665,-2.24586267383349,0.00142983648732454,0.110555931069121,0.00197637046986597,-2.24316301006064,0.00404781858232018,0.153016520144135,0.00632811676036703,-2.24544227565185,0.000775540238813978,0.153806551244811,0.000768321626001341
"11422-4",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111611367881338,0.236413043478261,-2.24613603350904,0.00124183228331195,0.153359290539469,0.00205300292166275,-2.24745354933886,0.00142176278359825,0.108910337844452,0.00197881289533447,-2.24205351232092,0.00390956121217734,0.155360413675855,0.00648585420963929,-2.2463171118802,0.000756108396660405,0.153139776846619,0.000748782122289188
"11422-5",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111531274341575,0.246031746031746,-2.24506771943235,0.00122454578490292,0.156416075527558,0.00207776583476461,-2.24611284912309,0.00141076516854849,0.106364328874874,0.0019788220568826,-2.24546318322885,0.00386235595276804,0.154274545237201,0.00659370623554546,-2.24567640137065,0.000745680137555476,0.155146096598341,0.000738183083765531
"11422-6",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111665976801169,0.239864864864865,-2.24483785458588,0.00123715536049752,0.152753528607914,0.00205818931909651,-2.24592214753184,0.00141963651658312,0.106905758608338,0.00197830656972204,-2.25036020476277,0.00388364699106598,0.161429955128494,0.00657630172365216,-2.24541134239969,0.000750148584925476,0.152367248803894,0.000742463420591362
"11422-7",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111784943327409,0.255509641873278,-2.24695738299331,0.00125033759320199,0.155915370082037,0.00203994101416396,-2.24558359405865,0.00144809065657376,0.104282186964919,0.00198061194270192,-2.23977663954032,0.00388643217229696,0.14734944836146,0.00651851989715271,-2.2464522869985,0.000755464676740223,0.15623072799111,0.00074824016783906
"11422-8",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111484192551324,0.247160988643955,-2.24547243748531,0.00123093871165913,0.153270983555544,0.00206944096233166,-2.24565625459244,0.00141880608994344,0.103396032943201,0.00197973776345146,-2.24870463681243,0.0040041007986467,0.159567003209482,0.00639810068246109,-2.24571612239879,0.000762667908992595,0.15274439284195,0.000755326744494571
"11422-9",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111565194784573,0.245858184227966,-2.24566050482323,0.00122611792241024,0.158438841092629,0.00207438292442716,-2.24600544416694,0.00141228106890987,0.106580804328537,0.00197837338841388,-2.24344513078767,0.00386775419383776,0.150383065777292,0.00657092182934789,-2.24508398267817,0.00074614693016381,0.159128083991342,0.000738563404064367
"11422-10",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111964054019958,0.241379310344828,-2.24332438483527,0.00123658393184208,0.155731424737678,0.00205317307277677,-2.243431228346,0.00141981396338984,0.106978687797513,0.00197538062409671,-2.24172262720072,0.00381310104980178,0.163990882183938,0.00663757465535798,-2.24398824749245,0.00074502547824401,0.156084301695337,0.000737255159068509
"11422-11",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111674698531222,0.266530334014997,-2.24605776620223,0.00124396449195879,0.153719639403514,0.00205072312505334,-2.24560810808646,0.00145202848759981,0.102033711288705,0.00198310246368873,-2.24503645985119,0.00414409981817083,0.152646630058425,0.00627009572981608,-2.24594355527721,0.000784288245052515,0.15452345316481,0.000777150808032203
"11422-12",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111642834840201,0.248995983935743,-2.24428112313863,0.0012314025415264,0.153391796937025,0.00206670889216407,-2.24404566466646,0.00142050713728027,0.10262672841172,0.0019788337148109,-2.24667640208807,0.00390345041357339,0.155321217584789,0.00653103794922784,-2.24414994274934,0.000752217196280717,0.153758971655392,0.000744578153614227
"11422-13",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111903923034429,0.229023383768913,-2.245905334508,0.00124882740854292,0.15631652739223,0.00203924422641618,-2.24612577963655,0.00142269057666288,0.111023401348796,0.00197586430929414,-2.24307319307701,0.00396759688723794,0.149116239132804,0.00643637781625912,-2.24583064481187,0.000764517853258918,0.156764706532886,0.000757184267992573
"11422-14",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111239782110514,0.261936339522546,-2.24758267862694,0.00122780062079595,0.155373519670927,0.00207876686113482,-2.24673416874214,0.00142860449729184,0.100005135095991,0.0019829479695595,-2.25287995660474,0.00391528056646726,0.159577941221542,0.00653576087840498,-2.24725845799923,0.000750665409111285,0.155204795953159,0.000743005681694039
"11422-15",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111607146857147,0.256170780520347,-2.24541067935473,0.00122994300076206,0.156624237512599,0.00206892475451097,-2.24567853220435,0.00142626165930195,0.104448582646774,0.00197946334910287,-2.24260661102948,0.00372251564826316,0.143904730567961,0.00693830577837874,-2.24570592038137,0.000730623413825449,0.156561561548735,0.000722714527606073
"11422-16",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111501116440339,0.253671562082777,-2.24418010870479,0.00122956090194122,0.150333916372854,0.00207095155195074,-2.24448841294775,0.00142337785655166,0.100667285160399,0.00197990908399508,-2.24593712463074,0.00385125505256802,0.141660167089138,0.00665252068962401,-2.24393385693859,0.000744937826966544,0.150152739249394,0.000737141590345649
"11422-17",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111902217765303,0.236895847515317,-2.24468842918645,0.00124169159664623,0.155915494357052,0.00204823677051612,-2.24513630428432,0.00142178872697359,0.109062202861369,0.00197623963027912,-2.24210834843679,0.00405787130978947,0.153679165644952,0.00631250573430847,-2.24481128955049,0.000774372889240108,0.1557259952572,0.000767072358359652
