"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"seed1031-run1",2200,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.6,0.0552106353090765,0.501216545012166,-2.99238347136148,0.00231873975069055,0.174965418914052,0.00282428565086097,0.124727834258782,0.00923601777440342,-2.99284609411862,0.00310427072205138,0.11278133861183,0.00323290212275062,0.113494009760127,0.009254603143777,-2.98126833228109,0.00843351170295968,0.171441366740655,0.00920033950361965,0.051382223486561,0.0303727708608328,-2.99300804883148,0.00268776908236164,0.173776652222413,0.0112071410751599,0.122810151143514,0.00296153536824833,0.538578312542253,0.0810403738714664,-0.385820976555148,0.460002757210664,"Converged",""
"seed1031-run2",2200,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.618181818181818,0.055009825656766,0.502373417721519,-2.99524533971142,0.00225357126136719,0.177403872656953,0.00282327948688448,0.134085520958302,0.00950765727517464,-2.9958579709711,0.00301282204272519,0.109792928665358,0.00319818918187263,0.137590855036867,0.00950077174276343,-2.98930398822553,0.00831619963952439,0.177086294413229,0.0092255671337603,0.139923093635958,0.0346403676482827,-2.99306397269365,0.00262419114246813,0.17630918429245,0.0119607826543562,0.126829789149738,0.00296135558334221,0.316466748843659,0.0818729431898533,0.411743178670556,0.474694113978843,"Converged",""
"seed1031-run3",2200,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.613636363636364,0.0551054865122943,0.489862124898621,-2.99508094460574,0.00226361969738332,0.175206929105165,0.00282117453355133,0.132964282660664,0.00880677424170669,-2.99660457004975,0.00303592645780435,0.113258949558097,0.00320943556088626,0.134534864154854,0.00883319113155905,-2.99823022843957,0.00804300815058887,0.178360083122891,0.0092019051120655,0.209029462753992,0.0297791448392392,-2.99593950337503,0.00262369560583715,0.175165591149267,0.0103702805351597,0.140331263394421,0.00296209134076172,0.500950688725312,0.0804495598474767,-0.268240894952175,0.43600337882016,"Converged",""
"seed1031-run4",2200,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.577272727272727,0.0551450162755576,0.46178600160901,-2.99448801045232,0.00223599947375526,0.174868101142723,0.00281644799448718,0.1405775042509,0.00899371420502976,-2.99839049481335,0.00291714613553274,0.115806226867051,0.0031348368100854,0.15561650029549,0.00899828813405205,-2.98564635281546,0.00768529842521715,0.169274601712942,0.00904936711878421,0.119693229749323,0.0314710679091002,-2.99429306195803,0.00254454689904606,0.175867219017988,0.0105817026574465,0.13605802706246,0.002943770866354,0.421596144234188,0.0806792932132287,0.767862296162377,0.448977995252824,"Converged",""
"seed1031-run5",2200,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.577272727272727,0.055115979285053,0.476418864908074,-2.99665094583674,0.0022085881512134,0.177308827133029,0.00281868486102671,0.140354611100082,0.00820906039640919,-2.99943084609341,0.00291677116382094,0.113503878448613,0.00315370194823266,0.157000647901887,0.00821186062106195,-2.99991201690439,0.00789239970990885,0.175520044615036,0.00908075308382013,0.150377583652212,0.0308880933555334,-2.99756954933669,0.00258446490346278,0.176645669161404,0.0110611482974242,0.149138567026531,0.0029423938459745,0.43401639088549,0.081001047545818,0.290930138268798,0.436468083561192,"Converged",""
"seed1031-run6",2200,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.595454545454545,0.0549477101900859,0.481803797468354,-3.00084154906565,0.00223785524539536,0.180932150801405,0.00282407149210582,0.153807899979919,0.00939071488817849,-3.00572888408475,0.00299055072556985,0.114432762341876,0.00316327759035513,0.189338313573988,0.00942747966142253,-3.00494643098011,0.00792063378033246,0.182460131976982,0.00923025289326136,0.168651076335495,0.0381423068793926,-3.00208154105615,0.00259786916453784,0.181487398944931,0.0115847831917472,0.159212659329067,0.002949136473507,0.319006856472311,0.0800162365953067,1.11915661024476,0.47834595167764,"Converged",""
"seed1031-run7",2200,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.627272727272727,0.0549721457116394,0.475552050473186,-2.99512599324772,0.00221798426955964,0.173034383504278,0.00282555587571481,0.140644165316685,0.00850602483314283,-2.9913388400674,0.00290121162377577,0.103501820779417,0.00313705695439806,0.13978277858079,0.00850475244360914,-3.00744266718138,0.00837994346183626,0.181758025859765,0.00935158984812932,0.143639420447986,0.0294892715828365,-2.99447525865484,0.00256791441550867,0.172798282988406,0.0108898171004901,0.138161447382434,0.00296722940752592,0.41378624066943,0.0797162271620972,0.109983066806711,0.411561343001581,"Converged",""
"seed1031-run8",2200,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.613636363636364,0.0550044276814237,0.47710843373494,-3.0002952751311,0.00227401446919447,0.181310857439376,0.00282349549683778,0.149270082926414,0.0094072133285299,-3.00139458494853,0.00301825304038289,0.11599384238383,0.00317949290094753,0.156644957507845,0.00946562909524703,-2.99434648480193,0.00826439355593464,0.173610601492152,0.00924869743488603,0.146519479131982,0.0378008395931902,-3.00004678988826,0.00259162427257764,0.181299645140123,0.0107034190809483,0.153067303866254,0.00295062415236974,0.442444678912986,0.0791222462003275,0.10049269538362,0.452838655537938,"Converged",""
"seed1031-run9",2200,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.631818181818182,0.0551082481926579,0.462090981644054,-2.99784266015228,0.00224572659968454,0.178873395106502,0.00281922192441633,0.149089429093007,0.00871957842280986,-3.00032938176352,0.00292846200214799,0.11656133525458,0.00313194632476875,0.158520409001183,0.00872912083815132,-2.99811199100419,0.00820003315582356,0.181672174582534,0.00936806802543702,0.148766415416347,0.0316358540049195,-2.998620725611,0.00256148349037958,0.178762611463147,0.0102511125694562,0.148454204040965,0.0029419995416785,0.476908552541121,0.0802018539391655,0.404818800311643,0.427419905152585,"Converged",""
"seed1031-run10",2200,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.6,0.0551666321898097,0.479233226837061,-2.99543029159502,0.00224256585056376,0.178592088087173,0.00281947595674065,0.144951319546316,0.0089114571431605,-2.99760569805482,0.00297916675678016,0.114816729024389,0.0031677161280527,0.15300280018579,0.00893684272124206,-2.99918201930017,0.00832083556324362,0.187627160060868,0.00920950628388179,0.121379044440379,0.0323025803625504,-2.99717484069706,0.0026015404383251,0.178377103213965,0.0106958657621076,0.148729009063042,0.00294068242200688,0.483887039804652,0.0798429843399832,0.197156618462256,0.446465935442784,"Converged",""
