"sim","N","beta0","beta1","beta2","q","eta1","eta0","eta2","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","eta2_mle","se_eta2_mle","mle_msg","sim_msg"
"seed1031-run1",2200,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.909090909090909,0.118921519134392,0.273770491803279,-2.27656227465962,0.0021014179328633,0.176917634383715,0.00223168096583155,0.13460208532508,0.00621189265055831,-2.22709894073661,0.00211142269878266,0.107428753815782,0.00219948571893862,0.158624668455518,0.0062534137100964,-2.27319652470584,0.00574122630666123,0.175515281621509,0.00648841948465362,0.1023682240556,0.019486442576407,-2.27897823171296,0.00235695362599301,0.178410583302018,0.00671149648731094,0.137656794384003,0.00234812910400512,-1.05581460848731,0.113281030330497,3.15826404903585,0.131173898546305,0.894089195557854,0.40008878178054,"Converged",""
"seed1031-run2",2200,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.909090909090909,0.118482349483914,0.244514106583072,-2.27490942589139,0.00207355404137685,0.171914899255579,0.00220096947103076,0.146395146609975,0.00648894385216697,-2.22686862457266,0.00203716323685799,0.107494700990257,0.00215856292961376,0.146881756415091,0.00651690149675964,-2.27861112849325,0.00566486053854997,0.169649955195885,0.00636766898714144,0.136102297109256,0.0215822061069889,-2.27425659751416,0.00232245800812692,0.171544688079928,0.00717618112051905,0.144371967099791,0.00230408176184818,-1.08189959692941,0.11180891979297,3.25911742387567,0.131373315516536,0.105744919730371,0.431609565812655,"Converged",""
"seed1031-run3",2200,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.936363636363636,0.118721486503848,0.243862520458265,-2.27760483786329,0.00209957693561454,0.174984527499504,0.00223322908177095,0.145592933983135,0.00603766083539732,-2.22870031335113,0.0020623643777079,0.109823914610187,0.00218448914811266,0.151803581140146,0.0060511325273397,-2.28358278671914,0.00605687317739073,0.179583323689121,0.00650202623997491,0.163958465645685,0.0200080906125716,-2.27840490256209,0.00227466867692649,0.175574981324654,0.00659040225298637,0.146275474105695,0.00229498759332682,-1.05206788569174,0.109669818830926,3.29182619363714,0.132279489457317,0.273505211756115,0.398087366907136,"Converged",""
"seed1031-run4",2200,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.954545454545455,0.11877484948217,0.244698205546493,-2.2779571133362,0.00211267760322459,0.177122930313795,0.00223074779603178,0.138061204605497,0.00639734576675209,-2.2256479092336,0.00205068928733083,0.108884223466521,0.00217214032311612,0.135883636536408,0.00640755456448856,-2.27609418966934,0.00573476687074059,0.177840784486291,0.00640237134551201,0.11074550775519,0.0239395684788773,-2.27973627571573,0.00232949399300847,0.178310599644662,0.00721665394587826,0.140037036489033,0.00232512796094653,-0.93345832360265,0.108503619771403,3.21775325150383,0.13036632562495,-0.190218974292063,0.437495059490821,"Converged",""
"seed1031-run5",2200,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.863636363636364,0.118775134520464,0.23202614379085,-2.27736216386243,0.00207009354217959,0.17412058209043,0.00223032624397998,0.143674623577453,0.00571958917821182,-2.2284640299144,0.00199014330598458,0.109643428404499,0.00214952928505027,0.154624031383659,0.00572987561357019,-2.27311364376094,0.00560956338655398,0.174464506834841,0.00633208276768261,0.132297155586731,0.0182796965349198,-2.27727508597751,0.00231747391625567,0.173727756004967,0.00664922576045479,0.148652800716244,0.0023235159912494,-1.00025344262167,0.107434414825785,3.23966942525957,0.131697293108503,0.25630180576501,0.406438800422113,"Converged",""
"seed1031-run6",2200,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.909090909090909,0.118714371311204,0.222044728434505,-2.27800101707173,0.00206353883528573,0.176157652661828,0.00221367529081391,0.140705568537656,0.00597186579161892,-2.22999357103757,0.00200083995418357,0.111592424812963,0.0021447395571387,0.153305781731077,0.00597888018183559,-2.28203462570582,0.00566050442849699,0.180906961255501,0.00636464998351615,0.134502690688294,0.0204983765821215,-2.27826802289939,0.00227275446688963,0.176069979425104,0.00655014556210104,0.146911210182901,0.00229192376420927,-1.09235549641878,0.110594106298705,3.32898391293055,0.132055632028425,0.305266198247622,0.424593833471682,"Converged",""
"seed1031-run7",2200,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.909090909090909,0.118438047005696,0.257188498402556,-2.28308709833983,0.00208359537093016,0.179899176773138,0.00222025091209125,0.148795056506306,0.00598284615902122,-2.23413295127026,0.00205952592820763,0.114565264872837,0.00219855830527647,0.141456372958854,0.00599158880669413,-2.27987006645852,0.00532631227749655,0.178482497211145,0.00630409278286371,0.128348976151363,0.0200524342508369,-2.28281585032115,0.00221818423770171,0.179755017219799,0.00644285581049799,0.1488429942819,0.00226813300401811,-1.07647107817993,0.108649388704049,3.27519604624495,0.130072261875358,-0.353436501822157,0.40042185082247,"Converged",""
"seed1031-run8",2200,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.890909090909091,0.118453522233081,0.25314465408805,-2.27599593297549,0.00206822891387353,0.174483994882434,0.00220381216465205,0.135404418745089,0.00639284950103812,-2.22229286909289,0.00201418277110968,0.102476348966142,0.00213928981072853,0.143523767529565,0.00643030491790097,-2.27651244904744,0.00596979675843374,0.175439696195423,0.00650131424146962,0.141503677231845,0.0172072620792587,-2.27565515469176,0.002282716076974,0.174190659519468,0.00699109977773933,0.135762972052885,0.00228669173522833,-0.936656552332125,0.105900964395051,3.02836254362442,0.125887882491549,0.30155824170106,0.402831177207152,"Converged",""
"seed1031-run9",2200,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.918181818181818,0.118986862787351,0.255775577557756,-2.27799981989631,0.002106486152724,0.176315940901711,0.00223704517956891,0.144518001529986,0.00567140409511305,-2.22769455521735,0.00206700501184082,0.109570091862395,0.0021900031393362,0.147990398261531,0.00566590761508833,-2.27880040632345,0.00566611207753798,0.183529579128634,0.00626763954270182,0.126388161663278,0.019131659073084,-2.27783648072205,0.00233795081929623,0.17624210659058,0.00614572039978572,0.144282344730993,0.00232809945117357,-1.05421623889023,0.111947030408791,3.26294080099762,0.132261890482789,0.214876243786767,0.376242108591944,"Converged",""
"seed1031-run10",2200,-2.2778541,0.1764544,0.1413503,0.1,3.29583657733622,-1.098612,0.3364722,0.9,0.909090909090909,0.118785504923627,0.239344262295082,-2.27554293977729,0.00211775987207643,0.174013358726056,0.00223663642847704,0.144261176969885,0.00624460435538686,-2.22956071425626,0.0020866437249787,0.11384955468414,0.00220093334224083,0.139686595629806,0.00626345308373522,-2.28152060802142,0.00552367511479635,0.184611397806194,0.00630256427035427,0.155315094729485,0.0219399686387799,-2.27518320290908,0.00233202830742435,0.17391660343622,0.00678480805098071,0.144145312388758,0.00231917372926834,-1.10040945525212,0.113135199106518,3.39388686498168,0.135010304853064,-0.209029497717411,0.417465439828866,"Converged",""
