"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg","CHECKME"
"seed1031-run1",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.0156839081081643,0.6,0.65,0.115397515753366,0.68,-2.27908275742044,0.00409416862499544,0.171197430160784,0.00470347695389708,0.17820780881555,0.0153082587084201,-2.17993423740713,0.00456939436422216,-0.00131177129493044,0.00496286734963454,0.175586593207139,0.0153418766287299,-2.26621244146282,0.0141644692200575,0.155741614984037,0.0150328845625056,0.15150580778975,0.0463322115792202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.552631578947368
"seed1031-run2",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.0156839081081643,0.6,0.55,0.11639292032667,0.659722222222222,-2.28311520072401,0.00438355515457884,0.180908636850944,0.00490977424547087,0.128993206231545,0.0173017309547597,-2.18284212762769,0.00462831900321161,0.0183274174721463,0.00497608104813252,0.174025652589595,0.0173534772797922,-2.26686709591368,0.012489601498602,0.164977616796895,0.0153477039576636,0.133489656761973,0.0571013773993615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.645522388059702
"seed1031-run3",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.0156839081081643,0.6,0.45,0.115844465961208,0.634146341463415,-2.28260990448288,0.00410852685827807,0.181781462920165,0.00476717283514554,0.145942571384758,0.0143224024990171,-2.19497369282542,0.00483344261307219,0.0254936747493933,0.00516089188806717,0.175141780644669,0.0143168957332001,-2.26584660773673,0.011856114727943,0.164000594355823,0.0146210172466943,0.17239230594809,0.0322947711925626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.628571428571429
"seed1031-run4",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.0156839081081643,0.6,0.45,0.115763732645827,0.698795180722892,-2.28023671406508,0.00404377234110522,0.178323823585319,0.00476202895953459,0.148848892585167,0.0146802696763976,-2.18585415220977,0.0049828038954879,0.00896676415145511,0.00519255209252242,0.196833968905193,0.0149037841454436,-2.27397378783603,0.0132302284628028,0.171666566301603,0.0148764186153419,0.175812504637829,0.0329738764081672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.58273381294964
"seed1031-run5",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.0156839081081643,0.6,0.55,0.115318110864844,0.647058823529412,-2.28253013346387,0.00418879359175044,0.177897665249296,0.00473362497797108,0.148745753012174,0.016379288254961,-2.20253134878155,0.00491891404087427,0.0307505546233278,0.00513827884179048,0.16748957692494,0.0164745863666029,-2.30881356290768,0.0136050100339521,0.209634603728534,0.0151834165133035,0.220101902719485,0.0734311533949745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.602888086642599
"seed1031-run6",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.0156839081081643,0.6,0.45,0.116219781139426,0.670807453416149,-2.27673341794286,0.00417140318923809,0.173470593113901,0.00476419831991558,0.153039655393299,0.0140076799113456,-2.17421002337011,0.00465593685416496,0.00425902550585186,0.00502472226793391,0.15335663054109,0.0140506506749266,-2.28303934884745,0.0117926383918236,0.164912585648631,0.0147506073686819,0.177237038679908,0.0335360743812069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.602941176470588
"seed1031-run7",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.0156839081081643,0.6,0.65,0.116379686295622,0.673333333333333,-2.27557121882898,0.00429216014926124,0.173865880002302,0.004844633986221,0.122838438913635,0.0155275358257724,-2.17878288623811,0.00459772426943686,0.0175827117485976,0.00509847336563323,0.133333022502834,0.0154254212358663,-2.271370050216,0.014470792878246,0.185012003745757,0.0159912145358759,-0.0257012944761953,0.0822329256394042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.635379061371841
"seed1031-run8",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.0156839081081643,0.6,0.5,0.11655025475397,0.666666666666667,-2.27449077789418,0.00424031707902813,0.171163547008218,0.00484149300197842,0.142875198563905,0.0144971623014018,-2.17794778217172,0.00483530118021143,0.0147764019297439,0.00515637344025836,0.158108699423074,0.0145440985200734,-2.27808529901322,0.0128449947041105,0.147970287135693,0.014961529989312,0.232895688054485,0.0593595027240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.642857142857143
"seed1031-run9",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.0156839081081643,0.6,0.7,0.116577999861624,0.618421052631579,-2.27639124792069,0.00420504277736061,0.170280152529168,0.00483431356972917,0.162908640593033,0.0148607556230125,-2.19381085375118,0.00470572987728707,0.0276047595396568,0.00509761060762735,0.204446294233431,0.0147833078846016,-2.27709037564531,0.015115500069078,0.175244483192921,0.0162286537255786,0.151252854433023,0.0447335337720752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.660649819494585
"seed1031-run10",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.0156839081081643,0.6,0.55,0.115590867153495,0.705521472392638,-2.27885014537502,0.00409672504413245,0.173095685839832,0.00477855005977142,0.145843454011476,0.0161154752892913,-2.17428855806763,0.00499298221891841,-0.00767729012441533,0.00518695312715489,0.192180840954925,0.0163096318726463,-2.26618704929085,0.0133537589487031,0.170462297606398,0.0155246474210346,0.137248241857364,0.032172584769944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.590747330960854
