"sim","N","beta0","beta1","beta2","q","eta1","eta0","eta2","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","eta2_mle","se_eta2_mle","mle_msg","sim_msg"
"seed1031-run1",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.490909090909091,0.113371766569515,0.635690789473684,-2.27719892003029,0.0015732477307878,0.179381806322753,0.00196261628608745,0.130023731456363,0.00633293606466966,-2.22732438179579,0.00212033570087402,0.0427548003332827,0.00221918856171811,0.157863068370419,0.00637647425293345,-2.27034612622707,0.00475212249892991,0.173089002293821,0.00627300126326156,0.0806129461491405,0.0198604712165691,-2.27851025104256,0.00174594430907854,0.179678493121167,0.00730680645172487,0.126635044140141,0.00198803087474066,-1.02381861441095,0.104404853590743,1.02712851516445,0.107148592933615,0.753600277601385,0.306313671152278,"Converged",""
"seed1031-run2",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.481818181818182,0.112812649737013,0.616852146263911,-2.27786651713424,0.00155738913500235,0.175108782243519,0.00197053995100407,0.147267327333637,0.00659064470796966,-2.22900289168713,0.00204587130028688,0.0401949468333743,0.00217985224106188,0.159449030487778,0.00663721386146797,-2.27934047591378,0.00477817399295717,0.170584186045174,0.00639647102993356,0.134341062366832,0.0219461940327354,-2.27789020489981,0.00172319238822038,0.175094414505945,0.00745370265346189,0.147309515513231,0.00198897153060563,-1.09713958439672,0.104335704536359,1.0655328272538,0.108131493486173,0.295128741331707,0.321201771020535,"Converged",""
"seed1031-run3",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.527272727272727,0.113166017877552,0.621311475409836,-2.27723781631534,0.00156801507807153,0.173650988445335,0.00196465620022953,0.145035783877133,0.00614959381467498,-2.22866855477184,0.00207015926701098,0.0445737729593171,0.00220443195509976,0.148943255211655,0.00617553400654349,-2.28081091848445,0.00523545961752723,0.171895845139134,0.00628907648236215,0.162381021271289,0.020504051541507,-2.27868993015275,0.00175765629113503,0.173749641818361,0.00725076201468174,0.150519226246514,0.00200004860349082,-0.996116360676626,0.102727701263395,1.08806121372003,0.107827057312904,-0.0356212056666413,0.305772909835966,"Converged",""
"seed1031-run4",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.481818181818182,0.113396250734101,0.604805302402651,-2.27806551291548,0.00157354886276003,0.177362634194062,0.00196410452793704,0.142037412712946,0.00650215821588733,-2.23044908515834,0.00205847236636868,0.0445696095966694,0.0021781699721432,0.181413729209533,0.0065164933754644,-2.27276533882172,0.00461397325147302,0.170708785899409,0.00639425321258631,0.141428372948401,0.0177051107331041,-2.27885145364243,0.00176035055387832,0.177270417606325,0.00737329728931561,0.151192588670761,0.00198044752299831,-1.14060025136112,0.104847484098974,1.16879576404094,0.107815513180263,0.762015142937413,0.316548959701652,"Converged",""
"seed1031-run5",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.5,0.113366157107785,0.608803986710963,-2.27736898253787,0.00156725723744388,0.171997243524412,0.00196259943779484,0.147419558294612,0.00582013148153347,-2.22975521108926,0.00202441880213923,0.0453687195419726,0.00217350430672618,0.161589099294993,0.0058446027820479,-2.28225445281039,0.00486649865321857,0.172992094612232,0.00631730497465714,0.188054832103767,0.0194143895605346,-2.27555696065691,0.00173551944277961,0.172228159206251,0.00663017349366492,0.144215570038046,0.0019891102987235,-1.07074543969185,0.101977021676331,1.09502008353163,0.106961722417188,0.419009680808804,0.284843069945827,"Converged",""
"seed1031-run6",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.472727272727273,0.113337985717761,0.602300739523418,-2.27806267885727,0.00157956583474263,0.177116894658274,0.0019633911221204,0.139209500440314,0.00614801663646217,-2.22954271860044,0.00201333801056904,0.0464338918705812,0.00216308533932731,0.153446715488031,0.00612763553949227,-2.27274096972398,0.0048539247655852,0.180498492157183,0.00627970776280493,0.0968561946507589,0.0210166462903014,-2.27888841424094,0.00175281108197807,0.177269445086265,0.00680679912660168,0.140102929227593,0.00198020378320372,-1.06155899193808,0.101780646936333,1.13534853914419,0.106494683341563,0.359103348068451,0.292247874175989,"Converged",""
"seed1031-run7",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.509090909090909,0.112809530095169,0.626612903225806,-2.28007920399511,0.00155616167719831,0.176255981146937,0.00196893363292163,0.143745065885448,0.00610052170715976,-2.23430914186595,0.00208573733541365,0.0470122986361895,0.00222421974565951,0.150532407393579,0.00613487364198112,-2.27307935395982,0.00472682915107811,0.165299098052168,0.00635069755689097,0.131573987093624,0.0217461656106018,-2.28008163886726,0.00170227944814657,0.176582356770182,0.00697210654666082,0.14276485217727,0.00198513395488733,-1.1283360580542,0.10595953540242,1.14158906256122,0.110637108633031,0.170430595338002,0.298870283112417,"Converged",""
"seed1031-run8",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.609090909090909,0.113208342727712,0.610378912685338,-2.27894287907989,0.00156638027080339,0.179452157114304,0.00196433559335292,0.137439498540128,0.00645832196423468,-2.22704145561398,0.00200451525548407,0.0431159886926345,0.00215938533772286,0.157232156721492,0.00650167067340492,-2.28146412288368,0.00501978226374046,0.176079740427441,0.00623969294934179,0.132878459824806,0.0220842200413979,-2.27867085200756,0.00172364083710005,0.179025311793934,0.00720082307451183,0.135849927233038,0.00198948632119042,-0.949769963404295,0.0975628054689419,0.967714570542552,0.103209447521047,0.463639290677829,0.308507323213522,"Converged",""
"seed1031-run9",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.5,0.113172421970864,0.635341365461847,-2.27708567634994,0.00155431886389225,0.176120580807829,0.00196558310363142,0.140181145966817,0.00579038463656922,-2.22492663686066,0.00210626385919797,0.0368574265571638,0.00221510251523787,0.15220900139033,0.00583387713497943,-2.27295625628476,0.00481738655511069,0.170433174809603,0.00636642626060269,0.125757263456124,0.0185704983602388,-2.27693745239639,0.00172130949711978,0.176205468220843,0.00650335699318293,0.139926024714995,0.00198518096882601,-1.03665986853082,0.105703933053448,0.982915682048023,0.108685306287847,0.342631293622212,0.280827270782485,"Converged",""
"seed1031-run10",2200,-2.2778541,0.1764544,0.1413503,0.1,1.098612,-1.098612,0.3364722,0.5,0.454545454545455,0.112952016192915,0.635566188197767,-2.27709012804299,0.0015274049444181,0.175363538682429,0.00196935013727586,0.148599427505114,0.00630557162703827,-2.23352454144111,0.00205315428454857,0.0454089157927273,0.00221880986231601,0.171379933229655,0.0062880664360505,-2.28185962984235,0.00475489917387339,0.186424641264621,0.00636924887162388,0.140685537359839,0.020894912204236,-2.27610578425508,0.00172428906266535,0.175847260807739,0.00726024490277182,0.148783909589235,0.00200502118444051,-1.19305029578591,0.106070370458133,1.09381208217049,0.111341601968911,0.570680945153711,0.305823817790201,"Converged",""
