"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"seed1031-run1",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.718181818181818,0.114700111438613,0.425233644859813,-2.27784161310715,0.00170709638390946,0.177312048151408,0.00197030221618748,0.143820471169928,0.00638468342048817,-2.27738038710014,0.0021648708957606,0.12964313611758,0.00225167104643667,0.139483348815001,0.00639789304634683,-2.27959589391555,0.00667707173346683,0.173437284695996,0.00704494097852714,0.142863855964438,0.0209769787815492,-2.27799448166086,0.00182191240202739,0.177165787487441,0.00692484637576896,0.143987375996036,0.00199596919567988,0.938196561445325,0.0751434320804726,-0.183886015196066,0.426478870661225,"Converged",""
"seed1031-run2",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.731818181818182,0.114190329603862,0.426244343891403,-2.27843992861134,0.00165418155397735,0.177668261759325,0.00196276664010651,0.13760939819189,0.00653632720770566,-2.27982348925053,0.0021029887426529,0.127731330493971,0.00222459924082277,0.147654024083736,0.00654747460462811,-2.27171962507855,0.00672449140908808,0.168078754626775,0.0071453133290796,0.138868364016675,0.0277819947943547,-2.27818041467505,0.00175792677185323,0.177284589139763,0.00704740707234435,0.135283617010444,0.00198741057285952,0.792025052587125,0.0739638389751008,0.556232429791632,0.434494972721995,"Converged",""
"seed1031-run3",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.704545454545455,0.114458179496607,0.418367346938776,-2.27801515547447,0.00164940513176536,0.174505029925242,0.00196490582829733,0.147826128864189,0.00601744785495729,-2.27946281129955,0.00210406337141438,0.127379531845973,0.00223246574646129,0.16129621770824,0.0060377974900701,-2.27918763371301,0.00633076833341293,0.177002757174764,0.00692758386388243,0.139141302972311,0.0163700554267149,-2.27802460224678,0.0017520749518591,0.174603179824369,0.0063764709121574,0.150758294201006,0.00197827909038802,0.840601401416412,0.0741269213230287,0.519051844668516,0.429094167851255,"Converged",""
"seed1031-run4",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.681818181818182,0.114219279396632,0.387589928057554,-2.27634042643742,0.00165191316556587,0.174483397049176,0.00196334194150626,0.139718634952575,0.00628719064357519,-2.27623657100903,0.00201800055540754,0.129563565285617,0.00217252989399121,0.128820923885069,0.00628508065306406,-2.28111994292167,0.00623013062284281,0.175569523860453,0.00677109925840618,0.162631341258359,0.0213695832937484,-2.27741419646019,0.00175466051655256,0.174833115792606,0.0067164248893314,0.142179598641904,0.0019754737242414,1.01945458063109,0.0771769293583401,-0.597856159294807,0.400021472319559,"Converged",""
"seed1031-run5",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.672727272727273,0.114169763194794,0.40017825311943,-2.27817777858771,0.00163135192927447,0.175812857717828,0.0019613403387205,0.142951168566852,0.00580289121886536,-2.28256774453879,0.00204017207571552,0.131909393134758,0.00218510597654286,0.151213974999717,0.00580696740885481,-2.28055305216212,0.00624258350423831,0.176303367352967,0.00671081833192276,0.161286572254038,0.0195373771154172,-2.27877417808928,0.00174003204392699,0.176065837694882,0.00640335187360074,0.14374904353081,0.00197367245859133,0.852977846961711,0.0753756283762809,0.323501574235432,0.403040713005058,"Converged",""
"seed1031-run6",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.731818181818182,0.114135343742324,0.407608695652174,-2.27880565952168,0.00166897315226326,0.176765496063634,0.00196402525133614,0.138290483437071,0.00659035399631563,-2.280919519739,0.00207919683447952,0.131051223588883,0.00220380967338397,0.140240534792539,0.00659133198027754,-2.28150266224463,0.0067044363700814,0.180967740388322,0.00715566063701564,0.154882871273883,0.0208135447912052,-2.2792800274082,0.00179768079478826,0.176415176471768,0.00715891780915955,0.141927667058298,0.00198573257879039,0.909027887876061,0.0764218444186987,-0.0846509927458994,0.41779256393961,"Converged",""
"seed1031-run7",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.731818181818182,0.114213607716091,0.399819494584838,-2.28066825668804,0.00163271246540435,0.17989114929549,0.00196245954146523,0.143879034004743,0.00589540852640233,-2.28092458081155,0.00202972908402348,0.131270487588184,0.00218975496222894,0.145869695242031,0.00589364789074833,-2.28886967848922,0.00656160250292241,0.185318157101514,0.00718381889401848,0.154613848691124,0.0170385034093277,-2.28121091759962,0.00172507517623148,0.179965751718834,0.00632830192559862,0.144618909768833,0.00197409682056206,0.90961370923548,0.073196224594869,0.0780812157382502,0.373717904555143,"Converged",""
"seed1031-run8",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.718181818181818,0.11419003764295,0.404936014625229,-2.27633022183064,0.00167149907733214,0.172922931623611,0.00196723273913672,0.137535730392221,0.00655939116730832,-2.27639014564361,0.00210115869299042,0.125776383948827,0.00221175450878392,0.142490057115673,0.00659257548134339,-2.27262877538847,0.00651837062775224,0.165495539689552,0.00706764626699377,0.130715271541266,0.0276082287829551,-2.27611143149579,0.00176605013018243,0.173115552139028,0.00691765960370894,0.138429215233979,0.00198655631098199,0.879050796916253,0.075014621064741,0.181424081998044,0.450533121805068,"Converged",""
"seed1031-run9",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.740909090909091,0.114416113792712,0.39,-2.27812068368043,0.00164376920970155,0.177073521257378,0.00196138895573488,0.144006422625762,0.00603645446329381,-2.28148851853082,0.00204463381787789,0.132920888604174,0.00218418655138539,0.157289509587647,0.00605757979242714,-2.27885166827805,0.00666815645598871,0.178728997874148,0.007236889683232,0.162397514809453,0.0177379466970045,-2.27866955142097,0.00172921766664568,0.177142803643321,0.00644793532083487,0.149610642705445,0.00198187218077694,0.898371045461042,0.0750565782212795,0.321279924787372,0.412422949448226,"Converged",""
"seed1031-run10",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.847297860387203,0.7,0.686363636363636,0.114410874670954,0.395095367847411,-2.27500358912721,0.00165054029864428,0.175297950815104,0.00196386952895678,0.132853092708339,0.00618441379195862,-2.27632974225934,0.0020551743337473,0.130086239748556,0.00219145451862783,0.135626558488875,0.00620748167755134,-2.28318060667845,0.00625716898100611,0.179420658062839,0.00681307719082232,0.179710043974018,0.0229397482962836,-2.27441356818483,0.00174870700909081,0.174936044212227,0.0065506579911229,0.127919364304332,0.00198317834964907,0.896663132965066,0.074881845200176,0.352171439455567,0.425543345178586,"Converged",""
