"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"seed1031-run1",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.610094637223975,0.113152679289011,0.501216545012166,-2.27606177261884,0.00161958850149021,0.174414851203647,0.00197287185974253,0.137484691765441,0.00643616665173469,-2.27472762449272,0.00216654163197812,0.110123841162742,0.002256594828023,0.125495931499872,0.00644912768556355,-2.27488142493853,0.00216578212061062,0.173858175144946,0.00239354870515914,0.131732928017039,0.00835547919344299,-2.27606177261884,0.00161958899570824,0.174414851203646,0.0064361679306723,0.13748469176544,0.00197287239012453,0.499217379512159,0.0664977293768362,-0.466353648494066,0.378018475311333,"Converged",""
"seed1031-run2",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.623292127521145,0.113097203928159,0.466183574879227,-2.27602055723172,0.00156457993598757,0.174630825148774,0.00196671611286637,0.140409384542095,0.00633403723915821,-2.27950780418814,0.00206206514242866,0.113822440525709,0.00219734060887765,0.161345252908467,0.00634983185318415,-2.27524257900662,0.00215222459327808,0.174009930349212,0.0024527802807264,0.139087742636081,0.00793382798649001,-2.27602055723172,0.00156458041581258,0.174630825148774,0.0063340390218144,0.140409384542094,0.00196671664817047,0.411485067784817,0.0671102131084501,0.859659608750508,0.397696975617505,"Converged",""
"seed1031-run3",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.602818705957719,0.112983824446668,0.492454328832407,-2.27618408091057,0.00154560783122072,0.175810918080795,0.00196975733611858,0.137682811761795,0.00596634350177418,-2.27937638455213,0.00208661781510255,0.11141232818611,0.00222515105707812,0.153340790918336,0.00599216868918453,-2.27511586245474,0.00209413863790165,0.174872794381275,0.0024033389281721,0.13659578087441,0.00773706124364009,-2.27618408091057,0.00154560833542072,0.175810918080795,0.0059663449124982,0.137682811761795,0.00196975788676443,0.34864220814786,0.0656027337248879,0.624648693842252,0.372735563885023,"Converged",""
"seed1031-run4",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.643183300717547,0.113296810165256,0.450576606260297,-2.27642123703523,0.0015939223188336,0.175331324214423,0.00196381092265733,0.137383608323937,0.00646894827758627,-2.27721184382995,0.002066800825226,0.115256792653156,0.0021933721609338,0.150673592612901,0.00648695039237618,-2.27784205162262,0.00222493897246666,0.17664520595955,0.00248828841486823,0.138310810316836,0.00816706182202996,-2.27642123703522,0.00159392282890502,0.175331324214423,0.00646895009883781,0.137383608323937,0.00196381147219025,0.528413623604739,0.0679137088253741,0.567789414047508,0.39908229372874,"Converged",""
"seed1031-run5",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.612074502247913,0.113105643184265,0.484362469927827,-2.27802077104686,0.00157149457668088,0.177548984777607,0.00196776998035343,0.145507703995285,0.00617051790845137,-2.28192630913543,0.00210207486258337,0.11496151365773,0.00222202030319414,0.161810228925337,0.00617704349675512,-2.27588629541785,0.00212710364137345,0.176036382193923,0.00241855792603911,0.140306932652943,0.0079374572922962,-2.27802077104686,0.00157149504364481,0.177548984777606,0.0061705195782677,0.145507703995285,0.00196777051316022,0.380930163505039,0.0663604753895139,0.68480559511748,0.381813285525718,"Converged",""
"seed1031-run6",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.613979848866499,0.113202636823813,0.500408163265306,-2.27723924596496,0.00157061430668423,0.175381556759991,0.00196506183638308,0.144228143338991,0.00621117607780875,-2.27584159403329,0.00210490194267451,0.108908044407222,0.0022487288746004,0.147301485127617,0.00622295525606777,-2.27954403214975,0.00212457937475344,0.17717995293378,0.00239725818107171,0.1485485801338,0.00756256200948158,-2.27723924596496,0.00157061484684462,0.175381556759991,0.00621117810229383,0.144228143338991,0.0019650624082518,0.452071702406962,0.0650605644113253,0.106569341460278,0.353360355457028,"Converged",""
"seed1031-run7",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.63085036255768,0.112785006026071,0.450522928399035,-2.28045344603551,0.00158647716533395,0.178247673822056,0.0019695530245158,0.14124817033678,0.00673292625874301,-2.28302905578785,0.00206209651334234,0.115204671795446,0.00218215242915937,0.168132691416806,0.00674785842252797,-2.28145986413338,0.00220918721575536,0.179747586037648,0.00248779091469703,0.137097869541566,0.00872532347950985,-2.28045344603551,0.00158647766610502,0.178247673822055,0.00673292813352536,0.14124817033678,0.00196955358610413,0.409085563597533,0.069400359457917,1.19543494329279,0.43217860371803,"Converged",""
"seed1031-run8",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.582692307692308,0.1125451346432,0.504260263361735,-2.27869882204835,0.00154151855549913,0.176209686260481,0.00197793279530291,0.14149827731813,0.00586177386795654,-2.27907213776625,0.00209896959635433,0.104592719154095,0.002227102361524,0.155210869528235,0.0058749823907811,-2.28102322637144,0.00206236231283013,0.17786201891282,0.00238490209078345,0.146997877969436,0.00767210734348415,-2.27869882204835,0.00154151900865855,0.176209686260481,0.0058617757554066,0.14149827731813,0.0019779333504529,0.266046552896114,0.0651080417839534,0.603661317906737,0.360603396017836,"Converged",""
"seed1031-run9",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.604339502233567,0.112932438382414,0.494812450119713,-2.2807212339454,0.00155188404759397,0.176791066696706,0.00196873349734904,0.153397481562134,0.00575173844654966,-2.28335466867642,0.00209676063019466,0.110426664805112,0.00222936002735285,0.17482397098146,0.00576991857822582,-2.28063911233775,0.00208479455154837,0.177561010583457,0.00240577517906496,0.14689612505605,0.0071124676258384,-2.2807212339454,0.00155188450650876,0.176791066696706,0.00575173936858358,0.153397481562135,0.00196873401275731,0.326297062178524,0.065847286671241,0.833194340905445,0.357372329988513,"Converged",""
"seed1031-run10",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.609486679662118,0.112933407320461,0.476228209191759,-2.27648834836287,0.00155347504558146,0.17605482810254,0.00197009389310628,0.140103544170214,0.00626872424895372,-2.27969506669712,0.00205491612314602,0.113078040799088,0.00219979782649512,0.15433703240358,0.00628257987174143,-2.27575954767143,0.00211597887715453,0.174599310518659,0.0024279498093125,0.146245450715066,0.00752623834439336,-2.27648834836287,0.0015534755401233,0.176054828102541,0.00626872604437499,0.140103544170214,0.00197009442827382,0.389877536060546,0.0653379954771707,0.506224523503292,0.363910593460342,"Converged",""
"seed1031-run11",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.612642905178211,0.112733505589032,0.446858029480217,-2.27807694311977,0.00156851965668823,0.177547696275433,0.00197821165939263,0.144302077847528,0.00605194602361746,-2.27934590560726,0.00201484720058811,0.114671392637854,0.00215649415482524,0.142353324637122,0.00606471834065119,-2.27570623789571,0.00220698286032758,0.175601831291021,0.00247079107158565,0.140613224009859,0.00798849048070133,-2.27807694311976,0.00156852018370197,0.177547696275433,0.00605194767222895,0.144302077847527,0.00197821222868214,0.469624047562098,0.0677317269146266,-0.0988583043579952,0.369283457974157,"Converged",""
"seed1031-run12",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.589677419354839,0.112339611842139,0.494556765163297,-2.27932025440151,0.00155202275968737,0.174296037451613,0.00197840517498458,0.147601779415295,0.00659297549445492,-2.28276781250807,0.00209855127331031,0.107767366745538,0.00221911008174533,0.169051464703262,0.00664042567879116,-2.27837874771589,0.00206325653220883,0.173907585250021,0.00240127798824312,0.142739628048057,0.0080633500766233,-2.27932025440151,0.00155202330556116,0.174296037451614,0.00659297731594353,0.147601779415295,0.00197840577996799,0.285054957137428,0.0648767067138616,0.752922890180519,0.387171371789704,"Converged",""
"seed1031-run13",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.601815823605707,0.112828058589256,0.482704402515723,-2.2784712829199,0.00154331512683532,0.176309679617444,0.00197218698163215,0.147529113436226,0.00592714194577588,-2.28018221497646,0.00205175810489906,0.109714484715572,0.00220127054182177,0.162072854093942,0.00594863442297176,-2.27921854930285,0.00209667617535157,0.176657272794658,0.00241847586587053,0.150722245077004,0.00712864163755382,-2.2784712829199,0.00154331561634767,0.176309679617445,0.0059271436255776,0.147529113436226,0.00197218752895758,0.353713960092557,0.0650870178867746,0.517201169163986,0.345530404773673,"Converged",""
"seed1031-run14",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.603592046183451,0.112817993789092,0.490865766481334,-2.27973943009659,0.00157389923020484,0.181478255874667,0.0019715830441772,0.135371632362821,0.00634842912662482,-2.28351499917222,0.00212198019666861,0.116293782819667,0.00223186632201228,0.150081726480769,0.00638427894885657,-2.27833463851096,0.00210065900061379,0.179802612228987,0.0024076251807733,0.13775531142477,0.00795321924762283,-2.27973943009658,0.0015738997156466,0.181478255874666,0.00634843049672271,0.135371632362821,0.00197158356478689,0.364203809592665,0.0650496354033979,0.532978032236142,0.377523606999277,"Converged",""
"seed1031-run15",2200,-2.2778541,0.1764544,0.1413503,0.75,0.3897812,0.405465108108164,0.6,0.59741935483871,0.112843723677922,0.489795918367347,-2.27813397526471,0.00153426146345412,0.1771722817183,0.00197141331569584,0.140630892541592,0.00571243750894684,-2.28116720141792,0.00206460238392008,0.110254228355963,0.00221027922475936,0.160845064848198,0.00571828327783425,-2.27799433979728,0.0020910951170876,0.177182448815175,0.00240819643043885,0.139470435502549,0.00751415552446178,-2.27813397526472,0.00153426198185607,0.1771722817183,0.0057124388601659,0.140630892541593,0.00197141387173006,0.292832945383124,0.0662178224839079,0.880124888763721,0.363586500214919,"Converged",""
