"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"seed1031-run1",390,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.615384615384615,0.0549265368724488,0.474576271186441,-2.98968832141144,0.00522720443971535,0.173772254939059,0.00675210272648152,0.128570760318632,0.0223246082443707,-2.99215480375614,0.00682666096125023,0.104871004752072,0.0073438506303565,0.145225072718407,0.0224282873529886,-3.00242446839023,0.020494757037573,0.174019467764153,0.0219766367490674,0.184799688887705,0.097636721433484,-2.98989251699668,0.00607600515787428,0.176303408540952,0.0253640005612024,0.12059513607696,0.00709799589767345,0.212270717204249,0.201700675564365,0.945763849807334,1.05427796054558,"Converged",""
"seed1031-run2",390,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.538461538461538,0.0547473729263444,0.460526315789474,-2.99283933035602,0.00531659333188783,0.168972737722243,0.00674384169119247,0.128271708332215,0.0263849283135325,-2.99443509841995,0.00685941795782658,0.101582409684678,0.00736324375755804,0.170393818658167,0.0263271786478319,-3.00103748755414,0.0185833693046304,0.177413433746107,0.0215263554646655,0.0860673109004939,0.0816401240515437,-2.99173674358229,0.00595095754013941,0.169309385643622,0.0294341744886597,0.125223558429465,0.00711908507323522,0.209882848666619,0.198260324841795,1.80147457375337,1.22179206119579,"Converged",""
"seed1031-run3",390,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.717948717948718,0.0549585973178806,0.493023255813954,-3.0010171238405,0.00547090329844175,0.172862817864485,0.00671592979804203,0.1585356974126,0.0216428370262162,-2.99943680688865,0.00739614063275019,0.108324961920702,0.00771702336030706,0.162772857798711,0.0217552051666425,-3.00919275272556,0.0233220739802335,0.178489859595032,0.0239783651233268,0.223447809751301,0.0929310551531936,-3.00313803015687,0.00647509594864418,0.17201745379011,0.0266742119819462,0.166579899768696,0.00705080289787483,0.567574515623724,0.198735907494901,-0.0940579280569823,1.19959816289988,"Converged",""
"seed1031-run4",390,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.717948717948718,0.0552641419073915,0.452380952380952,-2.98846662176148,0.00546812443197353,0.173947571887707,0.00667807217124026,0.0706121350750143,0.0209335219627778,-2.98517064196355,0.00711725560165135,0.110760399616826,0.00752416724441192,0.0824073575879326,0.0209472407508344,-2.95207140938525,0.0231229042489684,0.163642947477199,0.0237759719695463,-0.118474591172421,0.0937248121444626,-2.98686587395394,0.00622424695527406,0.176276534565093,0.0247561788603835,0.0823026539184673,0.00697725132507008,0.48830812593178,0.196500063630929,0.0531509395561347,1.08113633845059,"Converged",""
"seed1031-run5",390,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.641025641025641,0.0551410273684085,0.502304147465438,-2.9951384840552,0.00542983111628435,0.17720807428243,0.00668527066153157,0.127002712244095,0.0228535196753254,-3.00316200909301,0.00730774827459292,0.121794237712709,0.00769269402291551,0.134945349945119,0.0228326215394686,-2.97373474035613,0.0203635324952561,0.161939969521826,0.0221750855808266,0.0742847241224576,0.0559956750365371,-2.99566337251437,0.00631130428557989,0.174353633577631,0.0261055674566649,0.115089570335581,0.00698404320531526,0.484428604515785,0.195662176617668,0.814385482908417,1.11169493991354,"Converged",""
"seed1031-run6",390,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.743589743589744,0.0550929359244881,0.511415525114155,-3.00655845068088,0.00537980124211686,0.181366244308836,0.0066867152080767,0.202013267972156,0.0221976905123448,-3.00628583090854,0.00709740445961191,0.115760700708321,0.00771876833693212,0.184194067769589,0.0223633672592028,-3.03421234611749,0.0264636310215057,0.219144458299373,0.0257092632476896,0.206404492437386,0.0742046611775652,-3.00698455996319,0.00628794695107065,0.183230568415168,0.0308565537982029,0.18946008042928,0.00696978841434522,0.476639188242791,0.188552728257712,-0.185354349820171,0.984826321610525,"Converged",""
"seed1031-run7",390,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.564102564102564,0.0552430332541169,0.469194312796209,-2.9974196579152,0.00532276669638618,0.180164806206561,0.0067006601072511,0.124701753893352,0.0222865544223336,-3.00219306912149,0.00701767689145832,0.119162489037747,0.00758424744253515,0.168747300074865,0.0222158050830423,-2.98977560084045,0.0175156056626488,0.171024128133211,0.0223561414723195,0.151261514026974,0.0754778442856165,-2.99394691337079,0.00610880103478724,0.178981401683087,0.0260460021658527,0.095919325163419,0.00700177900724115,0.245052024936612,0.208440596082115,3.48442635644632,1.50360545843814,"Converged",""
"seed1031-run8",390,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.615384615384615,0.05539076476114,0.5625,-3.00292467976723,0.00539474270158934,0.188434446857251,0.00667895998728827,0.134279133781533,0.019795580843979,-3.0087281678996,0.00779841237197927,0.121372985069734,0.00816530499025177,0.164851999901536,0.0197202682014487,-2.99006338269472,0.0190739016666097,0.183671432229771,0.0220049573950239,0.0890747054765549,0.076251707781519,-2.99799909142095,0.00608718244580001,0.18815470048057,0.0230358778198151,0.111835894164477,0.00695312240883878,0.172778235801806,0.177709888004739,1.86339034934509,1.00087177895837,"Converged",""
"seed1031-run9",390,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.692307692307692,0.0549624351961074,0.468181818181818,-3.00209405267583,0.0051454314503158,0.174325028431691,0.00673135260342397,0.174074468944285,0.0205035813964398,-3.01000278302414,0.00676393419032876,0.116707108479182,0.00749679467039889,0.212326142072352,0.020244436742315,-2.99463868405788,0.0203376330620907,0.161904355475665,0.0236275153223157,0.12270939125585,0.0770416616190462,-2.99794149125456,0.00579275855373073,0.17318083397365,0.0257182905790938,0.118060515373948,0.00716327637827368,0.108199138276879,0.21495785296533,5.12428908117991,2.09836883547875,"Converged",""
"seed1031-run10",390,-2.99573227355399,0.1764544,0.1413503,0.1,0.3897812,0.405465108108164,0.6,0.641025641025641,0.0549858591908625,0.476394849785408,-2.98982134634348,0.00511231143619558,0.168012341943941,0.00673728106836964,0.142260183292059,0.0187321496041665,-2.99189656793706,0.00687014746725517,0.100648915930774,0.00739717897004211,0.165769179547654,0.0188352162346805,-2.99840585091851,0.0187271737775707,0.168951750293377,0.0227461031729985,0.172973685983959,0.046939925828638,-2.9929813951555,0.00586290360917721,0.166785578366584,0.0207035882350032,0.150563241935897,0.00710786679800939,0.363449580404547,0.184293340809467,0.718405374767175,0.926150893244972,"Converged",""
