"sim","N","beta0","beta1","q","avg_prev","fpr","ppv","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",390,-2.245641,0.1549768,0.1,0.111915952525216,0.626262626262626,NA,-2.2424161297424,0.00291650447719517,0.156213431615352,0.00491024552070975,-2.24443094787114,0.00343656683966647,0.104416952560332,0.00470339937345054,-2.23319562485438,0.00927716984087647,0.150808902377788,0.0153430343830575,-2.24328379407645,0.00303659517660237,0.155530689469728,0.00493944373621955,0.640125486811603
"11422-2",390,-2.245641,0.1549768,0.1,0.111949059400162,0.6875,NA,-2.2478239987159,0.00303449857257998,0.151253233000778,0.00478463641677554,-2.247278142195,0.00353365585868578,0.105415691080123,0.00472548958897657,-2.25422261428386,0.00872837537315109,0.141818656983271,0.0172289734708082,-2.24658279020128,0.00319266810603531,0.151607891529545,0.004667025452301,0.670667082409687
"11422-3",390,-2.245641,0.1549768,0.1,0.111757116749067,0.675675675675676,NA,-2.24538105154069,0.00292596493391123,0.159383523389089,0.00490051674168831,-2.24561034536642,0.00332762460556501,0.110889030288119,0.00469439243757688,-2.24678307783748,0.00901376395471739,0.13967126254178,0.0161407366686078,-2.24643435151421,0.00303596260414907,0.157729023094164,0.00486561559643691,0.697387772350721
"11422-4",390,-2.245641,0.1549768,0.1,0.111291424593437,0.662983425414365,NA,-2.24680820649955,0.00290039003193098,0.157600451973526,0.00495651925650449,-2.24587740108264,0.00329477100551399,0.105362810086186,0.00470478343709301,-2.2432681635189,0.00951819523083615,0.159756584192786,0.0151083159551289,-2.24667917406773,0.0029524606780606,0.157196638989639,0.0052199626917739,0.66332087023569
"11422-5",390,-2.245641,0.1549768,0.1,0.11267591041965,0.688372093023256,NA,-2.24826845167882,0.00306739725096945,0.162933010462211,0.00473862332027329,-2.24803262587697,0.00360693573566459,0.114594324034121,0.00473682092716666,-2.25851462755314,0.0100120190199469,0.16755908006615,0.0148936579870329,-2.24787383580765,0.00315365300090634,0.164065324453113,0.00469369871577426,0.679102681002793
"11422-6",390,-2.245641,0.1549768,0.1,0.11184606997207,0.678756476683938,NA,-2.24669927135294,0.00296153536158385,0.158366687378361,0.00485445937173617,-2.24565826503048,0.00339306675820998,0.108248512178038,0.00469757998688298,-2.2535031513992,0.00904615456411998,0.169734833001862,0.0160598953540578,-2.24668357315664,0.00314202237377966,0.157398994546203,0.00468217780619439,0.683274735319775
"11422-7",390,-2.245641,0.1549768,0.1,0.111992984614698,0.682539682539683,NA,-2.24010980636724,0.00293860913518038,0.146330354386468,0.0048751396828267,-2.24149390883243,0.0033508207141418,0.104795805562903,0.00469050036586197,-2.23486844454906,0.00924895490437239,0.143758246457067,0.0153707207283055,-2.24085023504146,0.00306278014199887,0.146346782037256,0.00492863188458374,0.692524825844821
"11422-8",390,-2.245641,0.1549768,0.1,0.111299521842433,0.647058823529412,NA,-2.24789542916381,0.00290666902623977,0.159900797340045,0.00494565218596388,-2.24844280981157,0.00334706514581783,0.107399259098641,0.0047037264551799,-2.23172292642144,0.00910332957010377,0.138140814877924,0.0156650225131347,-2.24835496802543,0.00303193840169397,0.160745681348767,0.00485308655090428,0.649054824045119
"11422-9",390,-2.245641,0.1549768,0.1,0.110766650047765,0.617021276595745,NA,-2.24561287337964,0.00288020548035728,0.144701533128217,0.00502364175850407,-2.24632061653053,0.00335589256178267,0.0931419699432383,0.00471992803494736,-2.236218078789,0.00897483569556694,0.122520180322391,0.0162028173022576,-2.24512981235565,0.0029522264729751,0.145665270954064,0.00529506535604995,0.606313502963351
"11422-10",390,-2.245641,0.1549768,0.1,0.111484602934983,0.626262626262626,NA,-2.24434515615857,0.00291566162643882,0.150852591488396,0.00491996698053338,-2.24589400120982,0.00343668886749513,0.0998452069683897,0.00470729938631861,-2.2526606478496,0.00903249509751769,0.14264996252133,0.0161922552651934,-2.24496823622888,0.00304881717932872,0.150052801891741,0.00487702796393155,0.637493792948522
