"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"11422-1",390,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.724137931034483,0.114065148050314,0.393617021276596,-2.27996684518448,0.00393920597772182,0.165564052935069,0.00467692499222669,0.158097568214965,0.0140226599653573,0.902992228857982,0.178031392601417,0.884947240987752,1.04181058615303,-2.27840713877943,0.0049062378763838,0.119391874520384,0.0052441965917916,0.171805162702986,0.0140366350241652,-2.27453651867059,0.0169054071038599,0.160649619016162,0.0165188496599593,0.178612794685309,0.0742851768650515,1.67992455210776,0.655400496985916,-7.19200042795633,4.50252637138612,-2.27850102703472,0.00446710449317266,0.167067767768324,0.018280917986719,0.162978378115707,0.00429571024579537,0.824683526145089,0.195852556756264,0.496742090768485,1.1151699138873,"Converged",""
"11422-2",390,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.692307692307692,0.114170880436405,0.412060301507538,-2.27226757505234,0.00378647781219887,0.173504612269415,0.0046562413622739,0.118924653587498,0.0151664570422804,0.623503346927166,0.170013244688573,2.33042802844399,1.22962481539038,-2.27496542916459,0.0048536993398618,0.121783878406446,0.00520805110320043,0.15985448689738,0.0151866311188847,-2.29397592232949,0.0112661898927076,0.203523098012837,0.0154246528129435,0.086614330040162,0.043990574609769,-0.973387611531622,0.788396207804609,27.5627402126214,13.2692081011216,-2.27151010581997,0.00432362281389688,0.174407266003275,0.0169205036568292,0.122227172069153,0.00435116597833399,0.593007053681137,0.179317742927904,1.95240341682695,1.22983699112397,"Converged",""
"11422-3",390,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.741935483870968,0.114153417605617,0.368932038834951,-2.27565819015467,0.00399456437756417,0.17959628554997,0.00465940631778299,0.132214584608738,0.0159582351311986,0.99314879890389,0.179383728875419,-0.872526554714936,0.907125553904118,-2.274345526217,0.00473565077794102,0.132504337812855,0.0050519653395124,0.109688665234512,0.0159069473426248,-2.2671175986349,0.0147839274737163,0.17482878622356,0.0152511504156836,0.148956977571036,0.0618510215240995,1.10255392382626,0.600170842482325,-0.475186048842129,4.43046905563204,-2.27475746723028,0.00456400555007213,0.179297592856331,0.0182062265277974,0.12704450672644,0.00436952652984408,0.965259684864553,0.193669237738494,-0.684318430602372,0.942408147597855,"Converged",""
"11422-4",390,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.571428571428571,0.114081414862598,0.380710659898477,-2.27656815312732,0.00396232328788882,0.172240118049977,0.0046692187543312,0.141350968429782,0.0152898364911678,0.92318990576425,0.174698806526416,0.207759853760637,1.04208443082402,-2.2773224593004,0.00488405901012747,0.127471183423431,0.00516489274584253,0.145281077196663,0.015354808610455,-2.2760177696919,0.012675614572022,0.186589840522643,0.0149109197916406,0.0650550342152244,0.0753111939245895,0.222208119104315,0.543560013405778,0.682386921109686,4.05264896638293,-2.27550279302872,0.00468899815494146,0.171779498469915,0.0186105344684627,0.13867430097039,0.00433691723785788,0.889578466296069,0.196050095064663,0.32829240924489,1.14218341657352,"Converged",""
"11422-5",390,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.75,0.114382709144957,0.366492146596859,-2.27841331170612,0.00399031495794647,0.172659394723385,0.00468691492148141,0.151245302452105,0.0139808204633355,0.918314171810418,0.177141727486909,1.3301547145881,1.22124231306421,-2.27940022839708,0.00497770225920838,0.12928595952102,0.00522649345781933,0.167449454651805,0.014128772599626,-2.28447812986441,0.0129199782038694,0.179058315778179,0.0149425051753799,0.18167244398868,0.0367098680402719,1.12117610946172,0.569827624354212,-0.19888892962643,3.20404151700087,-2.27787346661089,0.00468548500784562,0.172598131925655,0.0156648438270421,0.151394528426611,0.00428268995582313,0.903121526869584,0.196839203703382,1.25341913096852,1.27252602453117,"Converged",""
"11422-6",390,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.678571428571429,0.11482112944178,0.448648648648649,-2.2772307202941,0.00398178819117783,0.169266849041257,0.00467466480510232,0.161931650310668,0.0149225221655323,0.77582153885901,0.166648879424899,1.12633580208694,0.957069644887463,-2.28150720358335,0.00517856205000144,0.124887447599329,0.00543632436968152,0.187294597574181,0.0149035572200254,-2.28118910825684,0.0114477836196167,0.161816339740308,0.0153228653635252,0.221108259976444,0.0418321943936131,-0.68024252369053,0.657400142907315,20.4815450178163,10.8284005757291,-2.27885811849408,0.00475291182032219,0.16949032373035,0.0192759849231567,0.168218608970385,0.00441158758140057,0.83650021238444,0.191912300666413,0.831412390687569,1.02153441003173,"Converged",""
"11422-7",390,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.807692307692308,0.114514535960162,0.427083333333333,-2.27529195450146,0.0039102597698387,0.175591406748692,0.00466642565175874,0.128581597418437,0.0159213294290193,0.728098385031352,0.167723493544157,1.43787732842988,1.03632973312429,-2.28266064654058,0.00501458475961094,0.131643473432753,0.00531392411789364,0.163649894971535,0.0159427643718728,-2.26849624937586,0.0128108080934179,0.169193811783608,0.0149161587785023,0.0855570393852053,0.0460568514511447,1.04701330790472,0.663943718418505,3.01647279135843,3.98258322992175,-2.27917843628248,0.00476888720942403,0.176412118654812,0.0190260795991049,0.153598841512006,0.00430475327615641,0.854332395369365,0.186338932337741,0.42145146608738,0.98813981767871,"Converged",""
"11422-8",390,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.821428571428571,0.114041289278332,0.34,-2.28678735375945,0.00384116872286723,0.184747223951816,0.00465852254985853,0.180453865061167,0.0149576338061769,0.926050944665327,0.177914978646947,0.947354921462341,1.05363720347585,-2.28809556187664,0.00460330870897735,0.138094365956316,0.00503348756194269,0.199450355459061,0.0149528343183646,-2.2975186114963,0.0147082817058862,0.192211243876137,0.0160249452766236,0.158789428657184,0.0506252931095992,2.16513485696989,0.700534020864463,-5.84765022729697,3.56278023323301,-2.28952132658056,0.00421934212460601,0.185496362834585,0.0170521414689276,0.1851325335915,0.0044073581596613,1.02649039922209,0.198355938249189,0.741010782325387,1.11496876278113,"Converged",""
"11422-9",390,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.714285714285714,0.113391735421112,0.436619718309859,-2.27561853214371,0.00395753322659617,0.176734506585997,0.00466995677204073,0.123532764089783,0.0170479237624917,0.567223274738417,0.171612246384679,0.742895874912211,1.12987191288203,-2.27863102745551,0.00510515078901645,0.120921609602259,0.00522862687002312,0.139803399041666,0.0172204338929403,-2.27133668064707,0.013183725213696,0.207878403473718,0.0147862945885187,-0.0767043680780323,0.0851488134511332,0.839237308429931,0.564030169740876,0.952620416545208,4.7763761043068,-2.2784289494986,0.0047090728920495,0.177210081240077,0.0186356458772725,0.120809164393547,0.00427695646782973,0.642738380937446,0.185987247666553,1.05833298823866,1.21370708893287,"Converged",""
"11422-10",390,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.772727272727273,0.114741151728257,0.411458333333333,-2.2754334430241,0.00390099973800268,0.169013718621855,0.00465584469126528,0.158374584537513,0.01393845724936,0.764200083403179,0.170839858391593,1.30393157745643,0.958562120177557,-2.27612171928471,0.00493672105258354,0.119731501820844,0.00524493617979869,0.185698953640436,0.0139831180273786,-2.27292119246304,0.01252274902831,0.143548465889133,0.0149053634221251,0.133830038782049,0.0392230993500673,0.884191866798107,0.660019170841873,3.07384890931063,4.48840249515982,-2.27575041440835,0.00471588025035837,0.168946317361999,0.0196881196089146,0.162327801374827,0.00423411057698087,0.778592157133957,0.190721836894032,1.10949690321576,1.03733998067803,"Converged",""
