"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-1",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111404398866349,0.368217054263566,-2.24713468073,0.00296763246669263,0.147958841452198,0.0048632413831176,-2.24845822773614,0.00373394223237075,0.0909449643057627,0.00480630964477426,-2.23826238296293,0.00990486846690084,0.125073051068177,0.0148834631584453,-2.2469038311037,0.00302036882023688,0.151165302356132,0.00500155092045889,0.565641760118541,""
"11422-2",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112682538247711,0.304878048780488,-2.24018468485612,0.00302716246505932,0.147425407212961,0.00476399926694159,-2.23955369939628,0.0036299360423615,0.098201331053072,0.00474454008321408,-2.23421362805922,0.00928236562904386,0.160058442303009,0.0152518175639898,-2.23997372518164,0.00323796917560002,0.148271315264335,0.00467609240309634,0.650885629669961,""
"11422-3",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111880338424322,0.303501945525292,-2.24758111013955,0.00297464863615441,0.159311094095323,0.00483925130289048,-2.24699624383031,0.00356221588254633,0.102374929404664,0.00473423282965662,-2.23996103837223,0.00988453037700285,0.136614459026012,0.0148470001835431,-2.24766578006743,0.0030312436797756,0.157965446387964,0.0049633931599626,0.637183518165209,""
"11422-4",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111573822102778,0.32442748091603,-2.24745552738547,0.00294588095593649,0.157320088213799,0.00488312263218477,-2.24809266814532,0.00358646354965016,0.0985631714936873,0.00474677360921444,-2.24350453004257,0.00917971873008765,0.162416170164983,0.0156545419440843,-2.24730235850991,0.00307171872532874,0.158955912899005,0.00501291464852182,0.592491425197006,""
"11422-5",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112446426577715,0.344961240310078,-2.24140321836457,0.00295904526501084,0.157489053734183,0.0048360275729094,-2.24078473718277,0.00365531040172998,0.0959264150397632,0.00475870154261142,-2.24492422727947,0.00883503888649411,0.160609856544488,0.016536223317044,-2.24127344006132,0.00312615725799825,0.155638722844946,0.00503321279106235,0.60360837548777,""
"11422-6",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.11131897204436,0.311538461538462,-2.24916289396624,0.00295863053954197,0.153512829665565,0.0048758734199201,-2.24774521024171,0.00356287118410756,0.094825649696434,0.00474281014018039,-2.24137387828885,0.00853174864014256,0.143144422743473,0.0178632596603175,-2.24846868039051,0.00310211107448315,0.154390832455519,0.00497808776318172,0.60396341463155,""
"11422-7",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111727323842347,0.275193798449612,-2.24792541516725,0.00296609185607882,0.157878448402715,0.00484675592336938,-2.24705176635849,0.00348264989713718,0.103815881871457,0.00471186849055552,-2.23404271948591,0.00893605218460731,0.151775641792651,0.0159366809246514,-2.24696842174861,0.00313084543271281,0.158210014073421,0.00476109561068803,0.637460242610172,""
"11422-8",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.110474218371477,0.281786941580756,-2.24465761926073,0.0027916076778611,0.15497597953308,0.00523121392773792,-2.24460995827148,0.00329307388235735,0.0877668992558935,0.0047236130618841,-2.24753208678626,0.0097178944307324,0.13938449322931,0.0150552324012179,-2.24570032880734,0.00282540452045277,0.153026710863909,0.00560405640504895,0.569016653416624,""
"11422-9",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111327533674965,0.323420074349442,-2.24874415591253,0.00290743035991403,0.163013078580833,0.0049438221964329,-2.24507842451101,0.0035301094900454,0.0913074938189116,0.00473307831412257,-2.25745538982989,0.00890305471203671,0.177145666935238,0.0165008241509223,-2.24893280426553,0.00307721902508136,0.162349408665703,0.0048703670461785,0.586195490089322,""
"11422-10",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111661160037701,0.309160305343511,-2.24654004033543,0.00294386353078731,0.157073941594744,0.00487819143322814,-2.24996988806457,0.00354701286347006,0.105314412097278,0.00473131628819478,-2.25497077780918,0.00890552502934502,0.149912166829686,0.0165762951011579,-2.24726305242704,0.00312361834902509,0.155804295939289,0.00473779196681471,0.626365689194055,""
