"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_srs","se_beta0_srs","beta1_srs","se_beta1_srs","beta0_bcc","se_beta0_bcc","beta1_bcc","se_beta1_bcc","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_resid","se_beta0_resid","beta1_resid","se_beta1_resid","ppv"
"11422-1",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.11203932780034,0.303261623872311,-2.24479755840686,0.00130563701059045,0.152073614121568,0.00203647876490042,-2.24476723640689,0.00130898292543549,0.15187619659548,0.00203492625357187,-2.24469075104402,0.0013091536919078,0.152168462104818,0.00203216002172583,-2.24465326210135,0.0013208566972789,0.152200306291503,0.00204391863033535,0.634615384615385
"11422-2",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111414462534663,0.298597194388778,-2.24512640822933,0.00128498486545976,0.147754250719184,0.00209399577069674,-2.24524651053476,0.00128448023826691,0.147635378435466,0.00209424609671487,-2.24489331425323,0.0012791777755805,0.148182924884797,0.00210220646165562,-2.24507777240726,0.0012971675193758,0.147862137269672,0.00210610454138626,0.611304347826087
"11422-3",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111281296950756,0.301196808510638,-2.24847958822706,0.00127204407185504,0.157147578846954,0.0020910260530495,-2.24817357040727,0.00127330977554868,0.157601465588198,0.00209799342997358,-2.24817297875266,0.00127094382145632,0.157431311070517,0.00209769975684975,-2.2483546418755,0.00127996052822578,0.157378259460408,0.00210438420217863,0.605744125326371
"11422-4",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111946395577023,0.28972602739726,-2.24322896150652,0.00128868747685138,0.150801680943138,0.00207616091720771,-2.24345519014076,0.00129083901990319,0.150443375726406,0.0020771746233712,-2.24334170624939,0.001287164033823,0.150628685050139,0.00207511358188102,-2.24319174744436,0.001300337321005,0.150726267964838,0.00209103573521235,0.636285468615649
"11422-5",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111645026347555,0.297972972972973,-2.24574833933627,0.00128017468356791,0.1545354938299,0.00210089008254024,-2.2452116858575,0.00128101887159351,0.155150913556452,0.00210261948556446,-2.24546211825834,0.00127819037509942,0.154756665150059,0.00210257949985558,-2.24540369724471,0.00129086322902168,0.155086850619149,0.00211484326715573,0.62015503875969
"11422-6",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111763586737138,0.295392953929539,-2.24585560541643,0.00128902050741541,0.154373136852771,0.00207038540101638,-2.24613757369446,0.0012949396838376,0.154201855713134,0.00206656498042783,-2.24588237885489,0.00128897615901059,0.154419187319134,0.00207399512412631,-2.24602253573123,0.00130332208016534,0.154273945627441,0.00207963279992019,0.624137931034483
"11422-7",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111607246577441,0.302231237322515,-2.24636163493007,0.00129002327905988,0.154176066825809,0.00208090796687697,-2.24636412438505,0.00129569869876129,0.154172736983073,0.00208397468959799,-2.24645234629383,0.00128873484073128,0.153932921842093,0.00207907172506159,-2.24645734841685,0.00130732870535252,0.154008455684069,0.0020916864485094,0.617294520547945
"11422-8",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111792699450589,0.292984869325997,-2.24640366914029,0.00129110938873767,0.153717860013195,0.00204943570267484,-2.24630083759164,0.00129271831674567,0.15385381077939,0.0020484936605644,-2.24673840937917,0.00129151322200397,0.153473674497304,0.00203950988639834,-2.24654243211868,0.00130136736133824,0.153508085124352,0.00205400165552004,0.636518771331058
"11422-9",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111465224546149,0.318030605455755,-2.2454284105304,0.00127432283171924,0.153565841927361,0.00210619308193257,-2.24548474856408,0.00128068344747215,0.153355762877792,0.00210618354472653,-2.24544916210187,0.00127871766278859,0.153566939350192,0.0021058965053254,-2.24542683646865,0.00128893347275591,0.153423385204378,0.0021174669669517,0.593191489361702
"11422-10",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111362290387244,0.296197464976651,-2.2460056231253,0.00127491287484025,0.152322427483834,0.00211616960065513,-2.24615923541613,0.00128035097750647,0.152421094905886,0.00210800581310182,-2.24596522815307,0.00127138385152276,0.152223627873881,0.00210847217703293,-2.24604637740796,0.0012893878223295,0.152278388987751,0.00212120898926722,0.612227074235808
"11422-11",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111805385722528,0.303901437371663,-2.24686961485904,0.00128725139563179,0.157689873049458,0.00204887100251045,-2.24676744240694,0.00129261713687838,0.157761968944768,0.00205372903585246,-2.24690674719157,0.00128693266364129,0.157645069526948,0.0020536766808282,-2.2466964397129,0.00130049873763755,0.157694959360806,0.0020554859119779,0.624683009298394
"11422-12",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111729376097853,0.297986577181208,-2.24502971258282,0.00128061704403004,0.155685252324704,0.00207567454098982,-2.24505558449194,0.00128287293117903,0.155644191189389,0.00207480688847866,-2.24500674510141,0.00128255066462093,0.15573866453598,0.00207503335122098,-2.24504735696864,0.00129390596501415,0.155618614376331,0.00208270148486731,0.61525129982669
