"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",2200,-2.245641,0.1549768,-0.1,0.8,0.1,0.111780688614824,0.235253296321999,-2.24759904793605,0.00125540361730394,0.155350759406474,0.00203520373719112,-2.24661279453338,0.00143510393616202,0.107946063973668,0.00197887919149001,-2.25026773135947,0.00387221744572637,0.162271234066336,0.00659831482020124,-2.24770987679558,NA,0.155585722577726,NA
"11422-2",2200,-2.245641,0.1549768,-0.1,0.8,0.1,0.111416170904764,0.217678100263852,-2.24650936062007,0.00122362047713761,0.158621097583906,0.0020806229850301,-2.24705431761144,0.00138353706222216,0.11086936307641,0.00197982959424586,-2.24308976552841,0.00399281826841821,0.15557149623228,0.00638369458768609,-2.24707717861777,NA,0.157810705635167,NA
"11422-3",2200,-2.245641,0.1549768,-0.1,0.8,0.1,0.111205959795618,0.231225296442688,-2.24629878368346,0.00122341903274151,0.152872442806369,0.00208627839075203,-2.24636166238069,0.00139537570958051,0.103670981752436,0.0019820432050745,-2.24387804217476,0.00389364393984382,0.149899805010071,0.00655632336703647,-2.24612835110629,NA,0.153454424264858,NA
"11422-4",2200,-2.245641,0.1549768,-0.1,0.8,0.1,0.111543994483435,0.228416043507818,-2.2465346201657,0.0012422414044755,0.152589136141336,0.00205306258378392,-2.24744347444288,0.00141496610014595,0.108690072337824,0.00197859475569637,-2.24439315475889,0.00375055546546574,0.15305812461169,0.00685347014282454,-2.24660112664276,NA,0.152972400008609,NA
"11422-5",2200,-2.245641,0.1549768,-0.1,0.8,0.1,0.111608549341213,0.235294117647059,-2.24663684709453,0.0012392568709656,0.156063132190412,0.00205630957836878,-2.24581946785865,0.00141653957312682,0.106322886536088,0.00197847523074758,-2.24671036494165,0.00376338870553851,0.160174712483292,0.00681544659098489,-2.24670705619058,NA,0.155655598879096,NA
"11422-6",2200,-2.245641,0.1549768,-0.1,0.8,0.1,0.111823628746971,0.216586703221385,-2.24611798793974,0.00124672633003733,0.155949840553264,0.00204345333017747,-2.24634363250657,0.00140888206646885,0.112203957975831,0.00197588659441015,-2.24471860093692,0.00410754522558228,0.14976799293314,0.00628713994132972,-2.24621103801526,NA,0.155489839471038,NA
"11422-7",2200,-2.245641,0.1549768,-0.1,0.8,0.1,0.111576782436561,0.228552278820375,-2.24469601294091,0.00123239516862672,0.152498327080899,0.00206579442553817,-2.24436983321874,0.00140308714520534,0.104742659723526,0.00197817580565359,-2.2519985868926,0.00401102034230712,0.160069615138003,0.00641294203435746,-2.24432892535384,NA,0.153785111144056,NA
"11422-8",2200,-2.245641,0.1549768,-0.1,0.8,0.1,0.111515603530797,0.205470313542362,-2.24720548174294,0.00123093684481226,0.159424483414405,0.00206777799918727,-2.24875760533645,0.0013820088149757,0.116610878304806,0.00197871953095712,-2.25528009105588,0.00387218834608666,0.165409645043086,0.0066244907357221,-2.24786006442125,NA,0.159111257402199,NA
"11422-9",2200,-2.245641,0.1549768,-0.1,0.8,0.1,0.111664612489938,0.237449118046133,-2.24565101699674,0.00124070012815747,0.15373773657996,0.00205349652347789,-2.24591783743033,0.00142097889875445,0.106824216349011,0.00197828399652956,-2.24138428747098,0.00388443880908607,0.148096909245928,0.00654743829995266,-2.24594519971122,NA,0.153530553603903,NA
"11422-10",2200,-2.245641,0.1549768,-0.1,0.8,0.1,0.111787344393365,0.22861054072553,-2.24771148341726,0.00124747306114416,0.159677886332685,0.00204387205157916,-2.24819932150915,0.00142081961065569,0.113592213299369,0.00197737776447508,-2.25126843766811,0.0039814406602004,0.159452114639937,0.00643889753703541,-2.24844063897711,NA,0.158727858378663,NA
