"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111404398866349,0.368217054263566,-2.24713468073,0.00296763246669263,0.147958841452198,0.0048632413831176,-2.24845822773614,0.00373394223237075,0.0909449643057627,0.00480630964477426,-2.24148057051925,0.00604463776783014,0.128641425745585,0.0095668688141294,-2.24714742665242,0.00294252511479844,0.150456840761173,0.0048572127936627
"11422-2",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112615103805109,0.326530612244898,-2.24431322310913,0.00304228240579181,0.155210075741571,0.00475616055410672,-2.24309204975408,0.00370288965577715,0.100852019445045,0.0047757659987497,-2.24207769992951,0.00630403520494726,0.160943792294879,0.00931615837908228,-2.24370998717795,0.00307542278620048,0.155692574189938,0.00449828212167252
"11422-3",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111391193568701,0.305343511450382,-2.24819689576884,0.00294576613916199,0.154680090160067,0.00488905566249679,-2.2437832118506,0.00352613518636701,0.0900510438739384,0.00473122467957045,-2.24672542283879,0.00565278418007615,0.147089145465569,0.0102187543904919,-2.24648692835925,0.00294441013917545,0.155414190299603,0.00484745934428909
"11422-4",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112027394567954,0.285714285714286,-2.24982154058885,0.00300659603402256,0.163171272465819,0.00480496789301721,-2.24623739763348,0.00354975936779564,0.103821011002098,0.00472882203485298,-2.25392374705762,0.00603681427245983,0.161189041894034,0.0096006271458215,-2.25003229257752,0.00310938985347645,0.161934297192389,0.00457123002937004
"11422-5",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112199267279818,0.286290322580645,-2.24680328680033,0.00302465525031674,0.155267204667937,0.0047776751368451,-2.24925275817853,0.00358519569375603,0.110397308536256,0.00473412900167997,-2.2520010146249,0.00587909662700247,0.157783872974145,0.00976796889847758,-2.2482875580358,0.00308780501040628,0.154155553329027,0.00456872413331549
"11422-6",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111086162275506,0.284615384615385,-2.24987854362882,0.00295978395822598,0.149611917019478,0.0048867621099634,-2.24726262146255,0.00349601109817296,0.0929711261813651,0.00473048647731901,-2.25437296917325,0.00607445418850513,0.138655488787408,0.00962111395247298,-2.2504612500711,0.00297349997510994,0.148251544819991,0.0046743701267454
"11422-7",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111499260949971,0.297397769516729,-2.24653373524917,0.00290392231161932,0.161178612235277,0.00493889301266799,-2.24939869220181,0.00347081955744235,0.105313493739932,0.00471450953891168,-2.23956841581672,0.00570869371119961,0.149155166289513,0.00997502750081263,-2.24591697873602,0.00289425545185957,0.160787014952298,0.00512816204178358
"11422-8",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.110874781500795,0.305755395683453,-2.24537278330393,0.00285504525967804,0.15195941908048,0.0050524119040879,-2.24358741275181,0.00342359276302724,0.0858207479991505,0.00471769515724651,-2.24951361796877,0.00570534834066679,0.161612479218909,0.0100771911213174,-2.24527038942933,0.00282939897145783,0.151860002519121,0.00537544005472359
"11422-9",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111881253647698,0.26865671641791,-2.24077194944733,0.00290399556336804,0.153225521824502,0.00492913582289171,-2.23878023352252,0.00339418094414291,0.0952137215246747,0.00469756615104695,-2.25088093302132,0.00602507812176424,0.171432518701842,0.00955420628215696,-2.24128732395904,0.00290056632096333,0.152994842280991,0.00494976317004138
"11422-10",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.11155634061422,0.240458015267176,-2.24607207692243,0.00294320040193176,0.152827431989992,0.00488410163137572,-2.24489320247544,0.00337452805643946,0.102760102105171,0.00469982927822456,-2.24700297625168,0.00600624861307164,0.148138520110248,0.00958500571468797,-2.24618879228391,0.00291537857849556,0.152108967423036,0.00494463666909303
"11422-11",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111249266643981,0.301470588235294,-2.24636030672264,0.00288818297406606,0.157647723310896,0.00497173258328186,-2.24629330966695,0.0034554727129961,0.0959742402881985,0.00471475536713287,-2.24324162612374,0.0054193565640284,0.157619353641493,0.0110254614628935,-2.24647301484191,0.00296251832476027,0.157272344503677,0.00492232444677222
"11422-12",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111551188080726,0.323308270676692,-2.24661418200045,0.00292015818523065,0.158979908754325,0.00491522133012181,-2.24724779804227,0.00354899983297899,0.0980453705760783,0.00473433995638003,-2.24130031543387,0.0057632307210214,0.14315940885525,0.0099147367177297,-2.2467994087821,0.00294302838976857,0.159172789025561,0.00479034695538355
"11422-13",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.1114251134992,0.328467153284672,-2.24439800413015,0.00287255419467523,0.159183060622853,0.00498956464412314,-2.24687411969338,0.00351255641696726,0.0970351190493473,0.00472398377372686,-2.24380903495693,0.00581002473462695,0.164845619033314,0.00976909771637516,-2.2453345498793,0.00290736145354179,0.161063459068936,0.00507916996519649
"11422-14",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.11208420171684,0.301158301158301,-2.24209619040541,0.00295440519959992,0.15187059443739,0.00484873697505136,-2.23590745706318,0.00352304803765633,0.0868955750262434,0.00471693302611301,-2.24400372016378,0.00595090144882525,0.143221425287501,0.00964418306715295,-2.24188509804197,0.00293101326465386,0.152241905937431,0.00482712336075291
"11422-15",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111882389017262,0.2734375,-2.24369170132774,0.00297276808916713,0.148052826056087,0.00483391500033483,-2.24594913770614,0.00349334286287885,0.103769542460155,0.00471164436559123,-2.24297466030602,0.00623891776162844,0.160041959939992,0.00932718436191858,-2.24362919646804,0.00294484238038042,0.150172893464753,0.00483842679952605
"11422-16",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112019660108946,0.316205533596838,-2.24870667271135,0.00299737151764322,0.161166281694282,0.00480866923871178,-2.25042249675901,0.00362843078556075,0.107604053727378,0.00475317153642187,-2.25399572262969,0.00597496671087338,0.175033952926276,0.00959846045233216,-2.24754583636038,0.00299981218029787,0.162028921738647,0.00483512641833052
"11422-17",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.11186484439996,0.278884462151394,-2.24896525367804,0.0030107225312725,0.156225484125275,0.00480306776930648,-2.25011353706155,0.00354734719685203,0.108607965285386,0.00472895242011891,-2.25639003962147,0.00580992473157586,0.172423947582171,0.00989771615213293,-2.24985594432696,0.00308234957156347,0.155429872236473,0.00465676497617631
"11422-18",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111725111460731,0.3203125,-2.25081927162572,0.00298703081109116,0.163323324402709,0.0048332254231239,-2.24910577138263,0.00362059799873646,0.101540161283067,0.00475682447102499,-2.24745892281839,0.00610528230741528,0.171853242338176,0.0094392084254733,-2.24967380149625,0.00297187643975022,0.16356195328257,0.00487174710113312
"11422-19",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112623883807573,0.30327868852459,-2.24416770733922,0.00304674085232366,0.154075537078884,0.00475051814169337,-2.24036986973225,0.00364185597943612,0.0984931628392295,0.0047493466015881,-2.24301705945554,0.00559927444333001,0.13553951896106,0.0103402367795788,-2.24446000164223,0.00311488059473338,0.154043524589672,0.00450336669277802
"11422-20",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112018037040362,0.28740157480315,-2.2425143470231,0.00298419626063623,0.146175487315337,0.00482350718234085,-2.23965817575066,0.00352778032141194,0.0925267945066394,0.00472126087305213,-2.24159156087572,0.0057595976734786,0.145549888492376,0.00990686526763226,-2.24169938465498,0.00299430863037437,0.147132307138938,0.00475053319481959
"11422-21",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111764894104976,0.288537549407115,-2.24768673739449,0.00299664458714284,0.152608208438442,0.004821687192347,-2.24898925003362,0.00355534239690345,0.104375040711645,0.00473418545337972,-2.25238214985616,0.00596783492277247,0.15985101501085,0.00964333787593787,-2.24910273612075,0.00302868229297863,0.152227335310816,0.00486667371322804
"11422-22",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111993550208225,0.307392996108949,-2.24656858654779,0.00297215135850639,0.159395082595126,0.00483521915758917,-2.24634566973255,0.00357083566811521,0.10255904022616,0.00473394186963854,-2.24017135671156,0.00584655245591394,0.154676979504904,0.00972970842310467,-2.24640395268353,0.00302712237052451,0.158029636305368,0.00469673746036317
"11422-23",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111087238164095,0.298181818181818,-2.24415367898019,0.00287068358135833,0.150475292420609,0.00501867466017062,-2.24568691537848,0.00342855908078553,0.0935223369762864,0.00471694363048672,-2.23928904670036,0.00592286356385648,0.135852200777952,0.00963415841502254,-2.24489597830858,0.00285994526546453,0.149988708435762,0.00512867033384359
"11422-24",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111444389599688,0.292134831460674,-2.24577328997167,0.00291577331101366,0.155214384586439,0.00492839112626118,-2.2470818727057,0.00346898143977134,0.100204881224364,0.00471718312200629,-2.25315841048376,0.00556319958291066,0.165376034003016,0.010567825909155,-2.24636940778873,0.00297555929359097,0.154463323470962,0.00505281152484807
