"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.112091872428323,0.255378209576683,-2.24356988656552,0.00125382474225368,0.152083386503746,0.00203275228169888,-2.24282708896946,0.00145245731188976,0.103588317086925,0.00197961899266621,-2.24391012198897,0.0041125445496918,0.15298381463927,0.00628454856671316,-2.24336239752363,0.00129077674562442,0.15206540598218,0.00204379247424206,0.671033446337926
"11422-2",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111534266528498,0.250670241286863,-2.24644258797497,0.00123336595402566,0.156320655600457,0.00206440788643394,-2.24734918730047,0.00142552827658745,0.10675702683873,0.00197947123871619,-2.24864710700891,0.0040576035411052,0.161706051384922,0.00632799182310619,-2.24705739589748,0.00127225891557845,0.155339080983995,0.00208423749032332,0.666626622100684
"11422-3",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111949640790414,0.232764505119454,-2.24425793011539,0.00124347871243117,0.155176082586121,0.00204515849283091,-2.24371907913568,0.00141923328697747,0.107543267649615,0.00197549160210011,-2.24834603650732,0.00385789827123085,0.155243877047335,0.00662462685383653,-2.24405828394382,0.00128098338003958,0.155794875201331,0.00205716215185713,0.677666083947057
"11422-4",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111745816110952,0.248455730954015,-2.24574834571698,0.00124798589215436,0.152687581693676,0.00204394485382781,-2.246504797272,0.0014399428854021,0.106660080408921,0.00198000500977836,-2.24430149073532,0.00390015349587456,0.148887559725657,0.00654476691663176,-2.24598885301202,0.00128581390554677,0.152542335535812,0.00206244543718058,0.676176131033294
"11422-5",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111560859849465,0.240079365079365,-2.24415172035317,0.00122430897873301,0.154674604877933,0.00207768362378969,-2.24308218104657,0.00140325434299113,0.101907276904723,0.00197836854678989,-2.24269141835771,0.00377425515861109,0.15591618611772,0.00678278287807065,-2.24387643384749,0.00126121935073557,0.154733877840424,0.00209728468908605,0.650735449982843
"11422-6",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111761581414902,0.21447902571042,-2.24564467522634,0.00123924638863543,0.156859457461144,0.00205423375694116,-2.24631484366165,0.00139881026039356,0.112914067120378,0.00197669969560531,-2.24614583746791,0.00384047572025657,0.152674470383816,0.00664941640099575,-2.24604103287434,0.00126781816994286,0.156408226560015,0.00207123218650932,0.702371264562189
"11422-7",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111814041910436,0.243466299862448,-2.24795723637962,0.00125032002629449,0.159701233468762,0.00203946564939231,-2.24694590745461,0.00143671587659543,0.109140529361719,0.00197853814874085,-2.24717344133387,0.00413410141732855,0.170093853447047,0.00625612228233144,-2.24723751240386,0.00127958252886018,0.160031632423693,0.00206498743149011,0.667961757532314
"11422-8",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111506456677498,0.234228187919463,-2.24676434640877,0.00123501937583102,0.156052539016427,0.00206411266917328,-2.24670528940538,0.00141134394235326,0.107176886082988,0.00197939502509333,-2.24511707921864,0.00404136814730467,0.155359877769599,0.00634553562402675,-2.24639882980257,0.00126186876033018,0.15630265033229,0.00210089083507094,0.664614751090054
"11422-9",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.11152786593388,0.235177865612648,-2.24418914915735,0.00122131039953698,0.155062544034398,0.00208183214773626,-2.24388585531028,0.00139664621368666,0.103794757921759,0.00197813640696392,-2.24948069590889,0.00392292528130302,0.162842680317605,0.00649624029981906,-2.24427270013,0.0012511760683267,0.154812050360336,0.00211212011893979,0.658747364406528
"11422-10",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111836953293395,0.255060728744939,-2.24451477828132,0.00123641946613178,0.156487290069401,0.0020560893128298,-2.24598103943569,0.00143365482920411,0.108014483529188,0.00197828043511003,-2.24833377941571,0.00386590400973687,0.160238805891912,0.00658826386799972,-2.24549182319164,0.00127655995870078,0.155364224937199,0.00207042850312615,0.672540807902131
"11422-11",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111379403432656,0.251165889407062,-2.24662978029035,0.0012301096227798,0.154762695005563,0.00207274330954601,-2.24621353548398,0.0014209946727984,0.102447449828597,0.00198096012057472,-2.24915139017411,0.00395053128383921,0.152666478872736,0.00647888125296007,-2.2468515122024,0.00126626682876597,0.154359188496299,0.00210411501918623,0.654364939133993
"11422-12",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111619571179282,0.237299465240642,-2.24521230881672,0.00123126717775562,0.155825632944279,0.00206668708612719,-2.24591232481738,0.00141049296220695,0.107621037497259,0.00197807977864998,-2.24083577731062,0.00397542709853282,0.141264016824855,0.00642165531251841,-2.24608918772591,0.00127127837878579,0.155060954613116,0.00206578488581605,0.679777522055604
"11422-13",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111972790988421,0.23007623007623,-2.24596632871085,0.00125373792151276,0.155989930198676,0.00203331499802135,-2.24711153830096,0.00142976776255017,0.113143573794068,0.00197624697262403,-2.24769836173834,0.00376808786449218,0.155427584768723,0.00682863129662015,-2.2464433873593,0.00129105348277257,0.156837953056473,0.00204409086166919,0.697010997180076
"11422-14",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111115079389285,0.266535690897184,-2.24799182225721,0.00122014526514806,0.157291043134914,0.00209176703607879,-2.24715565582471,0.00142407479725126,0.0992574981122971,0.0019830991243585,-2.24602011894917,0.0039542359684352,0.156325213878279,0.00644380240509596,-2.24783648234924,0.00125505191174282,0.156856797933834,0.00212236465471574,0.622975265171974
"11422-15",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111842358874643,0.260899182561308,-2.24493763604249,0.0012423266737274,0.15496177903171,0.00204799164443322,-2.2452356498097,0.00144534734739166,0.104943031649065,0.00197963209438916,-2.24374028304383,0.00377130143531019,0.147874362949923,0.00679872800226988,-2.24516919570569,0.00128159417486286,0.154914932152207,0.00207913518876592,0.659608805462874
"11422-16",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111424353743574,0.228399196249163,-2.24672830691756,0.00123331244989711,0.154519430185942,0.00206666190100747,-2.24685481857912,0.00140426403913914,0.107067957023057,0.00197930030917675,-2.24227827760592,0.0038211930757575,0.144705564077437,0.00668724677627828,-2.24722852472713,0.00127029108338892,0.153926351509677,0.00207712415816759,0.684014865923317
"11422-17",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111858858411858,0.242837653478854,-2.24479405525358,0.0012434364351993,0.154608902843564,0.00204706822350557,-2.24479387800873,0.00142902747264176,0.106703780723113,0.00197747066501457,-2.24390717388208,0.00398134633860889,0.148831752643587,0.00641624457395679,-2.24473796436318,0.00127734676775604,0.154511335085665,0.00205975553544265,0.673133212181125
"11422-18",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111690714853444,0.256480218281037,-2.24874064419105,0.00124593456418908,0.161136221023686,0.00204734788329298,-2.24966687211529,0.00144578385430759,0.111121180942461,0.00198147568913827,-2.25436945539248,0.00390226151264048,0.162521161864755,0.00655691023788782,-2.24908989251242,0.00127677373784234,0.161190039155436,0.00205859656351601,0.665246764971553
"11422-19",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111695562992935,0.240652617267165,-2.24547405713999,0.00124146091134284,0.153359854809758,0.00205139759483262,-2.24469733570705,0.00142440410630253,0.104240912285599,0.00197799285974018,-2.24834950738256,0.00399361357318453,0.158840114440407,0.00641491872995897,-2.24544805755215,0.00127755619488777,0.15313816204755,0.00206123219458494,0.673840873392644
"11422-20",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111519264769366,0.248995983935743,-2.24584667669106,0.00123237459216941,0.154643136407873,0.00206715419738792,-2.24568526869199,0.00142170094454721,0.103647787631863,0.00197981358917344,-2.24185472496462,0.00381901886470931,0.156326280630572,0.00666226863847472,-2.24533675466637,0.00127190756522729,0.154523050549846,0.00210234885914948,0.648862004891279
"11422-21",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111939159476815,0.247245179063361,-2.24600538135803,0.00125010900280634,0.157016115563163,0.00203842032261091,-2.24588634450493,0.00144086790038156,0.108513118506432,0.00197849823059807,-2.2483273271619,0.00391894655756331,0.155719215222406,0.00651201626487819,-2.24604011934583,0.00128482111327213,0.157341293790313,0.00204952846209972,0.674629767144623
"11422-22",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111584798080128,0.231493943472409,-2.24664965971941,0.00123604917683303,0.156970994170963,0.00206030053338611,-2.24570315825079,0.00140912549081651,0.106760116938052,0.00197801624577851,-2.24589699372773,0.00396847123205606,0.156787967335302,0.0064209858887422,-2.24620198365297,0.00126165038623962,0.157558017742258,0.00209148846967175,0.666423002178888
"11422-23",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111563754092693,0.243097643097643,-2.24642781750589,0.00123653851877631,0.155596442894736,0.00206088622563146,-2.24654347674868,0.00142116387404779,0.106300224991318,0.00197940252278627,-2.2453207910194,0.00386013886758136,0.152224370171489,0.00659761449905819,-2.24582600668335,0.00126397395900771,0.156034487475038,0.0021038929267484,0.654920454910697
"11422-24",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111858445981841,0.258644536652835,-2.24726391475728,0.00125340902110074,0.15729517074491,0.00203536698859938,-2.24754436508402,0.0014563830014136,0.108328033215776,0.00198151214253552,-2.24987298019353,0.00385999557697343,0.156331881756683,0.00663131938876738,-2.24752155822162,0.00129609964431058,0.157260361377894,0.00202909013046484,0.671813809099425
"11422-25",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.112015493906277,0.249826509368494,-2.24509150867409,0.00125431481712309,0.154329828640249,0.0020335738912755,-2.24492448837437,0.00144791462390329,0.106908651995796,0.0019794529170443,-2.23655281014627,0.00411070242518654,0.146021832803523,0.00626189458384437,-2.2449007721667,0.00128998154749064,0.154848286440188,0.00205077641374353,0.673356431809646
"11422-26",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111758164036586,0.226993865030675,-2.24610130382915,0.00124366336018297,0.155912483210936,0.00204778374344746,-2.24606314529523,0.0014145639882346,0.10970540869897,0.00197665123422351,-2.25272846061917,0.00397247747786908,0.159893883157418,0.00645781879083909,-2.24604011385103,0.00127206137549759,0.156136056879418,0.00206756339832069,0.68587359061673
"11422-27",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111341589200188,0.240429818670248,-2.24760731246597,0.00123552354809661,0.154074221075291,0.00206561039007941,-2.24698937417851,0.00141731329871264,0.10385261011995,0.00198084040706484,-2.2502570835594,0.00381088426018817,0.148105916478253,0.00676210222434814,-2.24749452341497,0.00127015615313827,0.153693320042739,0.00209453211421872,0.66547803719017
"11422-28",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.111678680402112,0.227975790181574,-2.24519623237991,0.00123481689491979,0.155371800265042,0.00206021976749804,-2.24544582542447,0.00140536744964514,0.108442875712515,0.0019769973467815,-2.24957135842869,0.00389935343150479,0.153291562773482,0.0065641489809357,-2.24554687066641,0.00126598305807256,0.155605037981588,0.00208174188077693,0.681382100479515
"11422-29",2200,-2.245641,0.1549768,-0.7,0.1,0.1,0.11178512063892,0.218963165075034,-2.24513600844465,0.00124334030854764,0.153677703413658,0.00204811988678959,-2.24560385855267,0.00140729633921326,0.11026094713224,0.00197624406884365,-2.24463689463931,0.00395272200031919,0.152958595838517,0.00644704063953734,-2.24493584289227,0.00127517467756284,0.154045524393061,0.00206436902736263,0.69126572205324
