"sim","N","beta0","beta1","q","avg_prev","fpr","ppv","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",2200,-2.245641,0.1549768,0.75,0.111605099912472,0.653776978417266,NA,-2.24685293151683,0.00124114725608558,0.155327371673368,0.00205323300295548,-2.24564184490955,0.00144335115756948,0.10190210019394,0.00198118584019315,-2.24742702943401,0.00144138266130047,0.156204299125695,0.00235977118403786,-2.24678777687779,0.00123563686265876,0.155672188290885,0.00204119915722073,0.651394783588744
"11422-2",2200,-2.245641,0.1549768,0.75,0.111634047981757,0.644021739130435,NA,-2.24495299341226,0.00123385501439883,0.154018798202689,0.00206368821563693,-2.24462587812031,0.0014379393111877,0.101204311542903,0.00198093457070385,-2.24562509920262,0.00142051720519734,0.15533552564053,0.00239031757622165,-2.24459522987165,0.00122537000839018,0.154521821174875,0.00205826459967234,0.637228321182395
"11422-3",2200,-2.245641,0.1549768,0.75,0.111755259528856,0.655515370705244,NA,-2.24510736599068,0.00123958244966318,0.154637317713761,0.0020536464737877,-2.2439689642982,0.0014387159026253,0.101806727057492,0.00197973615774196,-2.24602107278944,0.00143636015834579,0.156553105684432,0.0023650800812519,-2.24500218766012,0.00123713563215085,0.154728556028987,0.0020361011199108,0.653761194197254
"11422-4",2200,-2.245641,0.1549768,0.75,0.111209443039693,0.638811513463324,NA,-2.24648433013488,0.0012249003471843,0.15228966980142,0.00208183269169058,-2.24558233999477,0.00142068054889832,0.0981383823460507,0.00198164878259803,-2.24640239110609,0.00141029226928058,0.155076737004538,0.00240867478151651,-2.24640019469361,0.0012209760347258,0.152496700471708,0.00207526420658483,0.63681721862108
"11422-5",2200,-2.245641,0.1549768,0.75,0.111648178771829,0.662727272727273,NA,-2.24696956903673,0.00124258083065639,0.156344998842722,0.00205163379551918,-2.24733135339427,0.00143708672799958,0.106991564533001,0.0019803176205304,-2.24812999450491,0.00144813932225513,0.158053908988487,0.002351007721185,-2.24705451199785,0.00123835583548282,0.156326521653389,0.00204195421441338,0.663886762094985
"11422-6",2200,-2.245641,0.1549768,0.75,0.111604080663524,0.641509433962264,NA,-2.24658549326542,0.00123621062804835,0.157237431382878,0.00206041360264275,-2.24596819192351,0.0014450665467889,0.102500947782112,0.00198193332409524,-2.24541196767399,0.00144004891948755,0.155714410950807,0.00235861591732253,-2.24659250368234,0.00123117606964719,0.157232088812416,0.0020460278639947,0.641602750181834
"11422-7",2200,-2.245641,0.1549768,0.75,0.111195327236793,0.653734238603298,NA,-2.24649742778092,0.00121938580475952,0.154856896771535,0.00209104126352124,-2.24628389886634,0.00139309237795601,0.103440822995396,0.00198129774711678,-2.24500078291309,0.0014111261421573,0.153370614420751,0.00240572113992269,-2.24631963877877,0.00121143070618133,0.155252278174178,0.00208638895124556,0.64955255447031
"11422-8",2200,-2.245641,0.1549768,0.75,0.111707113338936,0.654696132596685,NA,-2.24546274231108,0.00123432953472534,0.157309624940643,0.00206161723136822,-2.24502235612679,0.00142698901240612,0.104849610334907,0.0019788754934528,-2.24644554851407,0.00142380917858142,0.156932971328082,0.00238539587582088,-2.24541310743146,0.00122709734820547,0.157364118069851,0.00205434527531959,0.653840346445174
"11422-9",2200,-2.245641,0.1549768,0.75,0.111544575658061,0.648430493273543,NA,-2.24706448368318,0.00124000357209138,0.155293993522093,0.00205645133143544,-2.24673583217357,0.00144672762324926,0.102732280668891,0.00198261882717886,-2.24664454939777,0.0014314674774367,0.15511386761852,0.00237484814193254,-2.24703146329113,0.00123659906061195,0.15529017673919,0.00204302863440426,0.64803994806115
"11422-10",2200,-2.245641,0.1549768,0.75,0.111337579929827,0.640785781103835,NA,-2.24619174124799,0.00122413926473008,0.155344696932856,0.00208175351732081,-2.24661903995493,0.00141718661816755,0.103126115504916,0.00198081432751293,-2.24587364269911,0.00140903872932841,0.156975773650294,0.0024102650270344,-2.24615899851071,0.00121989110319458,0.155822872033144,0.002072626171136,0.638256821835091
"11422-11",2200,-2.245641,0.1549768,0.75,0.111952580929557,0.66579634464752,NA,-2.24593190541235,0.00125713646861164,0.153902800618504,0.00203030522269046,-2.24648617241904,0.00146999505960878,0.105986087057332,0.00198387954561812,-2.2459508047576,0.00145946173382605,0.153213430320863,0.00233590040391153,-2.24600768698806,0.00125099231874329,0.153669618019574,0.00201938617421409,0.667739524350507
"11422-12",2200,-2.245641,0.1549768,0.75,0.111391141294247,0.636111111111111,NA,-2.24569469294617,0.00122460272212309,0.15488364179625,0.00208017912910075,-2.24569253482132,0.00142339803057306,0.101261235964261,0.00198087341920159,-2.2463153630859,0.001405827035526,0.155286136967948,0.00241975903017582,-2.24552040449549,0.00121964918278034,0.155001710917318,0.00207308120212518,0.633427185452779
"11422-13",2200,-2.245641,0.1549768,0.75,0.111344868962585,0.623985572587917,NA,-2.24605920301407,0.00122685681445762,0.153703040318744,0.00207885770077627,-2.24644647161555,0.00144241843833617,0.099360678680256,0.00198407893176607,-2.24686452862049,0.00141859910050319,0.153097694106725,0.00239993558141176,-2.24616009933395,0.0012222811735452,0.153351657387759,0.00207363443143336,0.626761473645851
"11422-14",2200,-2.245641,0.1549768,0.75,0.111482980578696,0.663227016885554,NA,-2.24635869533959,0.00123323274244348,0.154949138926651,0.00206626858564372,-2.24657794365036,0.00141515168223363,0.1058614457461,0.00197947769383584,-2.24668862612781,0.00142735387611142,0.156394806853184,0.00238039861854944,-2.24626209810425,0.00122636904360598,0.155021756073309,0.00206139153813783,0.661706372967646
"11422-15",2200,-2.245641,0.1549768,0.75,0.111595717670162,0.663157894736842,NA,-2.24437121838571,0.00122614922964164,0.155049909424159,0.00207480227119603,-2.24455003857047,0.00140069854061266,0.10580031348479,0.00197825456356119,-2.243950091199,0.00141694622512568,0.154097137165147,0.00239323752682773,-2.24431993987497,0.0012201819576354,0.155147784897459,0.00206542288518192,0.662007475657892
"11422-16",2200,-2.245641,0.1549768,0.75,0.111168077736203,0.617956064947469,NA,-2.24460540772398,0.0012076110059553,0.154302008072339,0.00211203144597553,-2.24518796880461,0.00140189681697,0.0992652405522858,0.00198146813961248,-2.24401026202792,0.00139806227745509,0.154574477392343,0.00242909476959554,-2.24488471762125,0.00120419723015762,0.154506070602423,0.00210540783985581,0.620784653496512
"11422-17",2200,-2.245641,0.1549768,0.75,0.111279996826971,0.648007590132827,NA,-2.24524417874388,0.00122272104265969,0.151587394351077,0.00208494353856771,-2.2446337126317,0.00140640117571958,0.0996112305294408,0.00198083129982483,-2.24405150603972,0.0014164301836217,0.150033795131803,0.00239714626084475,-2.24506145407589,0.00121550842268349,0.15181378186457,0.00207567646164084,0.644508711504017
"11422-18",2200,-2.245641,0.1549768,0.75,0.111730302710441,0.666666666666667,NA,-2.24392609333588,0.00123348135738276,0.153394753282429,0.00206195997272548,-2.24382875340476,0.00141406324615961,0.104618748251295,0.00197738808765279,-2.24398162424325,0.00142315152839243,0.154229373645391,0.0023828315716486,-2.24373610373576,0.0012246913086811,0.153537957953869,0.00205934857877402,0.66350860647209
"11422-19",2200,-2.245641,0.1549768,0.75,0.111541121530096,0.634513274336283,NA,-2.24691105062286,0.00123756364607972,0.155962050870466,0.00205926601437712,-2.24732913082715,0.00145758921126167,0.102489919243144,0.00198448523349085,-2.24793610657899,0.00142558328193005,0.15722299564635,0.00238531542011095,-2.24701249664697,0.00123614809268688,0.155743851999523,0.0020434640104937,0.63670209751847
"11422-20",2200,-2.245641,0.1549768,0.75,0.111585938849955,0.629794826048171,NA,-2.24478031234874,0.00123187424822485,0.153370351540691,0.002066907394463,-2.24580821293837,0.00145021637595422,0.10122865488497,0.00198314780487561,-2.24430044271423,0.00142355955455421,0.150403353464089,0.0023861957322805,-2.2447743178754,0.00122348147979298,0.153259998110964,0.00205817661018985,0.630226234576762
"11422-21",2200,-2.245641,0.1549768,0.75,0.11181089507056,0.668508287292818,NA,-2.24430859769496,0.00123979964544343,0.153711129495092,0.0020522495237143,-2.2450123217032,0.00142644017303407,0.106726929672702,0.00197760392489613,-2.24472852922273,0.00142763306980483,0.154340691985133,0.00237611261990911,-2.24418187403702,0.00123139232549853,0.154024908800662,0.00204568844141075,0.665367425610272
"11422-22",2200,-2.245641,0.1549768,0.75,0.111621633744067,0.655077767612077,NA,-2.2459722776898,0.00123650924539116,0.15556124122642,0.00205922654684379,-2.24532486063283,0.00143119332837647,0.103367404246581,0.00197957545659327,-2.24678715059314,0.00142408484460768,0.156620234499041,0.0023860190921419,-2.24595926118639,0.00123306100685088,0.155521197404821,0.00204706968283443,0.655117470926859
"11422-23",2200,-2.245641,0.1549768,0.75,0.111820965422423,0.65,NA,-2.2447429985415,0.00124053490486243,0.154677488185137,0.00205087196100668,-2.24512187559863,0.00144875002296889,0.103881840474173,0.00198058495675638,-2.24377440204714,0.00142786009889529,0.154030729536809,0.00237336069890911,-2.24445096586103,0.00123278846182175,0.155156611961274,0.00204087302254908,0.644182766899129
"11422-24",2200,-2.245641,0.1549768,0.75,0.11178003625337,0.682070240295749,NA,-2.24443329579944,0.0012448731759295,0.150869164019368,0.00204739194188013,-2.2448099497447,0.00142405462919007,0.105995520593436,0.00197797501713532,-2.24412605418562,0.00143573389679488,0.151633505625912,0.00236573416278771,-2.24436322525569,0.00124124581940956,0.150526786376922,0.00203671122169077,0.682761508512992
"11422-25",2200,-2.245641,0.1549768,0.75,0.111329376969746,0.636029411764706,NA,-2.24570542555538,0.00122683648857672,0.152207377011047,0.00207858440038104,-2.24516678437916,0.00142845287173805,0.0984107854957478,0.0019821759557848,-2.24499076070586,0.0014038488796737,0.151611999918004,0.00242376369846368,-2.24550120740338,0.00122244966671248,0.152194037526498,0.00206859076060358,0.633474393104827
"11422-26",2200,-2.245641,0.1549768,0.75,0.111503485980075,0.646025878003697,NA,-2.24399777245216,0.00122840534168751,0.150482567960737,0.00207294930602336,-2.2446761591549,0.00142378173234961,0.101078199338232,0.00198011891756716,-2.2441016702331,0.00142083827390283,0.15198036039549,0.00238816331742127,-2.24388268930226,0.00122017483378901,0.150556951318241,0.00207023436629956,0.64415688883396
