"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","eta0_gs","se_eta0_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","eta0_cc","se_eta0_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta1_mle","eta0_mle","se_eta0_mle"
"11422-1",2200,-2.245641,0.1549768,0.1,0.9,0.113866620937797,0.106276150627615,-2.2473225396439,0.00137894269062716,0.156640377358255,0.00195844067185805,2.06855573287228,0.0941735846388263,-2.24709523326695,0.00145848964791281,0.139815319219618,0.00196794468311788,-2.24068141068442,0.00445386684282677,0.152396592332739,0.00617553196184091,2.360854001118,0.330808010603837,-2.24728152117731,0.00140402562412751,0.156149117837279,0.00193512825870868,2.0935904014554,0.107841632758531
"11422-2",2200,-2.245641,0.1549768,0.1,0.9,0.113657323556538,0.0816666666666667,-2.24722350374721,0.00137571842922821,0.153363943337515,0.00195996579230801,2.32278780031152,0.105849328492504,-2.24700807035574,0.00143553558147886,0.140166193992107,0.00196432186913942,-2.2464120627119,0.00440430173170238,0.152812307850612,0.00619246213120743,2.06977962957191,0.29432648957891,-2.24689747514077,0.00138459093210559,0.154153556460793,0.00194231430102651,2.21456449779058,0.114908717674812
"11422-3",2200,-2.245641,0.1549768,0.1,0.9,0.114244210909896,0.0857385398981324,-2.24416322263437,0.00138633421735719,0.154452569366983,0.00195468454601465,2.31439625392237,0.104304662315979,-2.24458978042055,0.00145023628299736,0.142267397140822,0.00196291857520769,-2.24613802455957,0.00454507750444352,0.148659022363927,0.00620165299646286,2.50325578845507,0.346701389814718,-2.24496223512846,0.00140797158028644,0.154254531104232,0.00193095616191716,2.46172752668992,0.12625120702949
"11422-4",2200,-2.245641,0.1549768,0.1,0.9,0.113964475107465,0.0993485342019544,-2.24395443842079,0.00135771554280998,0.156281278365793,0.00195877010640934,2.07533475836526,0.0960474023149522,-2.24325930224932,0.00143009819091503,0.138705992965642,0.00196122087886036,-2.23791591124082,0.00443582107981173,0.14983527254661,0.00616212212951175,2.360854001118,0.330808010603838,-2.24352839624643,0.00136841695716609,0.157112491218873,0.00195017843332032,1.97332460493249,0.105649210754268
"11422-5",2200,-2.245641,0.1549768,0.1,0.9,0.113514708453443,0.0924574209245742,-2.24556603263569,0.00135583111292633,0.152174473980999,0.00196272632441002,2.13800004170955,0.0990209827901116,-2.24574484988597,0.00142320773061919,0.13753596989258,0.00196324107266967,-2.2455232674435,0.00437985952241227,0.150944271757072,0.00619206913431043,2.06002345487387,0.294488836571182,-2.24584343005084,0.00137412689488936,0.152128086941906,0.00194819405706445,2.1813363677175,0.115794093544671
"11422-6",2200,-2.245641,0.1549768,0.1,0.9,0.113845547889014,0.0906821963394343,-2.24530011141287,0.00137354682640069,0.153133731240346,0.00195895944564317,2.21440537084466,0.100867983516688,-2.24571658055203,0.00144055829507774,0.139847674531033,0.00196431274743431,-2.24555509337885,0.00444290735279496,0.151733226640943,0.0061935172993612,2.57451880847168,0.366774287218673,-2.24568202887723,0.00139215772478738,0.152538167159323,0.00194038914618799,2.31787962400852,0.122737474966644
"11422-7",2200,-2.245641,0.1549768,0.1,0.9,0.113837011453537,0.0909090909090909,-2.24710355925461,0.00137657452404512,0.156195871009398,0.00195825442977181,2.2174068725609,0.100852829887411,-2.24667951565105,0.00144334364622842,0.141140688837114,0.00196437534938261,-2.25144685005829,0.00453903394736444,0.159279369391396,0.00619901720181449,2.49412330489203,0.346821674922665,-2.24712967248662,0.00139652587046089,0.156197307800417,0.00193267560097338,2.22078102209714,0.11510719264094
"11422-8",2200,-2.245641,0.1549768,0.1,0.9,0.114159910708458,0.0861924686192469,-2.2428638148442,0.00137552839077455,0.152846254658371,0.00195551849639755,2.27801383226357,0.103458987707305,-2.24311016506494,0.00143923735924368,0.140011712264648,0.00196124067225654,-2.23967717135269,0.00450491496671576,0.156668546453488,0.00616494391646006,2.49412330489203,0.346821674922667,-2.24295279768593,0.00139427600028545,0.152468644478376,0.00193966033036282,2.31924564767584,0.123595142081812
"11422-9",2200,-2.245641,0.1549768,0.1,0.9,0.113643611879447,0.0898692810457516,-2.24680123391941,0.00136239740207919,0.155785410536333,0.00196109015489047,2.1829822076208,0.100568597566967,-2.24697563119736,0.0014281600779519,0.14141837950074,0.00196325116477507,-2.24912760110202,0.00433575238909792,0.158023636772201,0.00619668415092188,2.64920970104921,0.391097235945796,-2.24670929117374,0.00137646378589685,0.155811156774476,0.00194257059162074,2.16806729786457,0.11398567743407
"11422-10",2200,-2.245641,0.1549768,0.1,0.9,0.11425603783627,0.0854922279792746,-2.24508376697801,0.00139988848026388,0.153766085636906,0.00195549402431516,2.35377737217866,0.105169867174023,-2.24498308904994,0.0014637596728547,0.141164773808045,0.00196642680529471,-2.24498683676554,0.00444242530856171,0.14918092886569,0.006191186430757,2.08901099083313,0.294010590617373,-2.24529712911757,0.00141712416335781,0.153906960395819,0.0019314789761617,2.37638333866614,0.120374964473572
"11422-11",2200,-2.245641,0.1549768,0.1,0.9,0.113907218210711,0.0924229808492923,-2.24519966394601,0.00137339529023989,0.153861461777607,0.00195770718762786,2.1972245603575,0.100041792522046,-2.24574026609321,0.00144204340837206,0.140481673130101,0.00196355521804442,-2.24852487614054,0.00454629855161765,0.164380243413485,0.00618141679461305,2.62103882409595,0.366183274043443,-2.24548437354086,0.00139646222642627,0.153795968751634,0.00193803562337725,2.24333935954754,0.118975358121197
