"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"11422-1",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.896551724137931,0.116069901004188,0.23489932885906,-2.27896815908217,0.00434975969561353,0.166029004032795,0.00484771054240189,0.156723494161789,0.0139728268397489,1.82815500633466,0.23637732549998,0.903169088500063,1.4322464961205,-2.27725365772938,0.00490037866526155,0.142972156275605,0.00522743442577494,0.163733896300007,0.0139718412435171,-2.29420395544404,0.018923614338706,0.184897175634225,0.0174695264680301,0.22304178929798,0.0726004950321136,2.8283167757742,1.0046218392733,-6.09381147538875,5.95428357124711,-2.27770496799959,0.00495913158748634,0.166480820275665,0.0184313074243771,0.159741860969272,0.0042113605109893,1.73834362092562,0.265702555905285,0.42447363353986,1.5172046430123,"Converged",""
"11422-2",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.846153846153846,0.117210285221733,0.164285714285714,-2.27346602182106,0.00446758116308335,0.176021912041706,0.004917866931824,0.118840786542111,0.0150864039884433,2.33281153340139,0.273053518716147,0.527060906554324,1.69754095697085,-2.27002394225025,0.00484381663350676,0.157008373575706,0.00518228223686624,0.122220744274719,0.0151251655143391,-2.29311515893689,0.0125665492276444,0.194058162130555,0.0151875984230083,0.101971362309401,0.0423562777892098,0.987024810738816,0.778016451105496,8.87705218502659,9.74065302565211,-2.27238935264686,0.00514143631794239,0.176043800652047,0.0168907667193646,0.119465170861402,0.0045487496919288,2.22986181126861,0.294418285716259,0.339306787263244,1.7073327845156,"Converged",""
"11422-3",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.870967741935484,0.116906527833282,0.150326797385621,-2.27704515567686,0.00443580128119633,0.181069809850681,0.00481791981983273,0.132682086110434,0.0156718455397253,2.4273388295906,0.287727669254226,-0.74068769027128,1.38778637433532,-2.27644381100544,0.00472415058871183,0.166803404578816,0.00502601181398809,0.125047090339928,0.0156856638206514,-2.25886380515594,0.016400699911943,0.164236568129489,0.0163158504061865,0.143735786935868,0.061426384846307,1.60724640432352,0.751963697510306,3.48752201539592,6.80398303959202,-2.27792296539458,0.00504277359369664,0.18107696428687,0.0177135789695602,0.136900056661463,0.00445765153149491,2.52070815740862,0.335205823039315,-1.14048235186852,1.41135907659888,"Converged",""
"11422-4",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.866666666666667,0.116510484408169,0.175675675675676,-2.28242590269714,0.00450555737258257,0.184279482614834,0.00488582216787698,0.122255859602594,0.015287698534417,2.30351237265106,0.265556237100807,-0.65138731693327,1.43306933039297,-2.28298867654438,0.00489382516321962,0.169479498684163,0.00515789100687185,0.11718879791209,0.0153183636646452,-2.2941803078029,0.0164885648172732,0.183986507108978,0.0170755402662422,0.186058366414286,0.0391327991024326,1.58866288170796,0.745237945595703,3.8749663929999,7.98885185335197,-2.28270144508822,0.00553517408406698,0.183725975119498,0.0175050051826762,0.122852646366976,0.00457566893431105,2.36701582685743,0.313933270677726,-0.727137073167965,1.52059518566669,"Converged",""
"11422-5",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,1,0.117332706420941,0.126865671641791,-2.27611767171955,0.00478528999570021,0.173183514019827,0.00506791481950529,0.138293835866626,0.0142571173393034,2.96496753725388,0.327096212941762,-2.18160033599629,1.54576027350541,-2.27298546426587,0.00505273308092196,0.161080804938797,0.00526668283639337,0.124859216941009,0.0142362972020944,-2.2801760666753,0.0152622783567979,0.172280253220556,0.0162745731344541,0.134492141801853,0.0343558910125501,25.5660694309577,57163.0589331421,-6.38339522989041e-06,265364.567287371,-2.2757676213383,0.00569325940811171,0.172516653917244,0.0162609806255399,0.13806421515802,0.00471448492445307,2.99626332458964,0.418826469006109,-2.2442409661948,1.78821470112,"Converged","100% PPV (Queried)"
"11422-6",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.84375,0.117783390746968,0.232558139534884,-2.27585153556285,0.00464272396312932,0.171743321614614,0.0050163359164641,0.14950834027881,0.0148485445626359,1.96443897762079,0.245454562745288,1.9016732673172,1.64833750865646,-2.27704620175314,0.00525922662541357,0.154182766814001,0.00547008548870475,0.166190413086648,0.0148849971676886,-2.28597669286306,0.0147062712642519,0.17924017599634,0.0162366338133989,0.219615161354035,0.0373209331682893,1.2811242665013,0.63383274825041,3.00895781567602,3.69621162512976,-2.27479864123696,0.00577068063288482,0.170713913688206,0.0181708263313634,0.151021569105467,0.00442552068876768,1.94785925101019,0.284980837532405,1.59847997968278,1.74040687167707,"Converged",""
"11422-7",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.851851851851852,0.117670876877753,0.192307692307692,-2.27609261117132,0.00469389721784447,0.177267407220176,0.0050232287329372,0.128261421114863,0.0161308246152765,2.59733749989644,0.283944452228119,-1.99633453300468,1.31278864465216,-2.27226150865968,0.00507775914786957,0.16124588642198,0.00536642292736694,0.10608798028553,0.0161310093343387,-2.27281152169886,0.0125419209658841,0.178393560242013,0.0153859047319684,0.109551053265764,0.0485988058013618,1.45568532334314,0.662134635098071,3.19188488372208,5.21858283640066,-2.27532912498872,0.00594771279454384,0.177476247367446,0.0175733423555328,0.128798211220554,0.00472376584513984,2.49178903520747,0.304378679713229,-1.92392662408846,1.30847078038573,"Converged",""
"11422-8",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.964285714285714,0.116246159703862,0.159235668789809,-2.28496509402471,0.00423169288462054,0.180548363461693,0.0047955564368637,0.179492300006866,0.0148158945067059,2.01716321928296,0.261884750753265,2.25546827972303,1.9113495753921,-2.28724395558785,0.00459544044667938,0.164939564460635,0.00501169705845956,0.196228290414952,0.0148324116596757,-2.28179117945414,0.0160517816649685,0.170669017098899,0.0167979992030691,0.139638159840245,0.0488123843612976,4.2800883746715,1.69918840438055,-6.64559775388478,5.9150865179146,-2.28712636559803,0.00469040079806927,0.181169803166801,0.0160995351789133,0.184101268557795,0.004384103986102,2.19337379690389,0.314341162493153,1.70741227696243,1.95842802553943,"Converged",""
"11422-9",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.892857142857143,0.116682542169355,0.2,-2.27432147486438,0.00462295987098723,0.174733619545406,0.00487661060804995,0.126917067027257,0.0170466294895452,2.12693113674098,0.260481321258594,-0.444589002657402,1.59429137636559,-2.2746330200109,0.00508593622144791,0.157927838875699,0.00519640221437197,0.12275958639105,0.01706362556601,-2.26849690797134,0.0145841322250899,0.19788588242426,0.0156195788614734,-0.0783021244495316,0.084283708993541,1.7296118262885,0.821986543166494,5.82995469728482,9.98759379033553,-2.2763958544096,0.00561696841094193,0.175642880100134,0.0186039920850335,0.129747684577577,0.00443011243811361,2.25407621222026,0.309909899393763,-0.667690291863854,1.68700889445021,"Converged",""
"11422-10",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.909090909090909,0.117261990509833,0.20979020979021,-2.27430111093931,0.004445785640005,0.168790328524418,0.00487923163890964,0.157816183903247,0.0138560095303066,2.05293445852578,0.24662534538368,0.454440943819474,1.30365718707389,-2.27274605198876,0.00492714655436111,0.148941739157019,0.00522450760136198,0.162658996995849,0.0138888967955743,-2.27713785922754,0.0137129507458475,0.157268744129971,0.0150581797124758,0.131506162439902,0.0396641753388757,2.35625855034172,0.949975502745112,-0.39213445265988,4.19061506481337,-2.27398557391981,0.00576886570114542,0.168011702940849,0.0203153433326454,0.163501328430916,0.00427034302201073,2.07282509690415,0.30275568429735,-0.0843349946016877,1.38103388963159,"Converged",""
