"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-1",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120958036369821,0.291666666666667,-2.2465568776248,0.00686932203283317,0.151740573071009,0.0072728603581277,-2.24811227988937,0.00816823061877898,0.147857320649382,0.00849892661350744,-2.29351365336871,0.0218010236626816,0.203271928704406,0.0230721294956208,-2.24635194165386,0.0285053403310336,0.152547113842874,0.0121317364920756,0.953522389365811,""
"11422-2",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121365210224936,0.309090909090909,-2.22825964900212,0.0063638753860027,0.137600196330501,0.00680425044199293,-2.23200655859262,0.00767054942420379,0.135468654757197,0.00802424450323192,-2.22760361344969,0.0209749184179314,0.150158031145191,0.0222781009564944,-2.23265942770476,NA,0.141633464342751,NA,0.958881574281496,""
"11422-3",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121108816853588,0.388888888888889,-2.24073275114719,0.00645671901248743,0.148988367306024,0.0068908051505514,-2.24455089524723,0.00827747409674111,0.144902497565495,0.00860299539858719,-2.25174205300775,0.0238841040716938,0.15948255891067,0.0250175267570613,-2.24508787201262,0.0289126002249383,0.152344509208476,0.0121247368537879,0.951845386618321,""
"11422-4",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.12085502450223,0.275862068965517,-2.24345588312756,0.00626113573018877,0.151435577543789,0.00671257850878647,-2.24535318298903,0.00737029216154517,0.14705369373605,0.00774236812517425,-2.26788501057157,0.0277777596180578,0.183753514115483,0.028731223644189,-2.24487250977137,0.00718353890723462,0.152362178895228,0.00756698958595015,0.958675483214814,""
"11422-5",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.122007223424929,0.25,-2.22913894320023,0.00680965373492414,0.141872880540306,0.00721365923230729,-2.22034139421618,0.00782660261180333,0.12778789901125,0.00817054818440316,-2.24141745857272,0.0237490156708207,0.152647684412379,0.0248908172285566,-2.23005914618178,NA,0.142690738124289,NA,0.967657456012265,""
"11422-6",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120627042825488,0.327272727272727,-2.24362756197258,0.0064095963831949,0.14821678476153,0.00684914856084632,-2.24746930985487,0.00783116192114855,0.145339731657749,0.00817889397313665,-2.23909440977921,0.0158750126583978,0.14884959924584,0.0177952172993808,-2.24462825113532,0.0212527987617047,0.149436152786582,0.00876892725334722,0.948501700962044,""
"11422-7",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120924881301246,0.344827586206897,-2.24317090118376,0.00624366075073224,0.151809477571666,0.00669550701637409,-2.24248749001681,0.00771516610242288,0.143017886885628,0.00806737941814778,-2.23979623233176,0.0180304607978872,0.163715587470724,0.0196115832386958,-2.24249156318416,0.181531698340034,0.150943876604797,0.0720107723246657,0.943712078510604,""
"11422-8",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120723598885411,0.212121212121212,-2.242958318895,0.00585536547941296,0.153056073787956,0.00634649155941647,-2.24275735440003,0.00659796350924191,0.146920505570273,0.0070221952432917,-2.21297978434634,0.0209380959502954,0.1245118939239,0.0222643343800089,-2.24116042564803,0.00981028836565285,0.151798378914478,0.0052884814545085,0.952610285652916,""
"11422-9",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.12131158517786,0.3,-2.23995191789206,0.00670883971997554,0.148399769667563,0.00712251148436001,-2.24512220956074,0.00803296822556917,0.148173951093726,0.00836889103791401,-2.21856711448733,0.0177387455511558,0.134974528900551,0.0193551618695204,-2.23836218407816,NA,0.146908168603595,NA,0.955599442183778,""
"11422-10",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.12131249699898,0.25,-2.24684928038329,0.00660587573406283,0.157087558768024,0.00702691917034768,-2.25661997484722,0.00766874464554365,0.162370062401127,0.00802254626792159,-2.24554833912483,0.0212047140719884,0.161815234584274,0.0225057712056803,-2.25370896386609,0.025405882564246,0.162711753461053,0.0147041538608572,0.976604157975036,""
