"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",2200,-2.245641,0.1549768,0.1,0.8,0.112996814804158,0.180353031465848,-2.24737685876828,0.00132052663377272,0.156959241885704,0.00197750453595435,-2.24709523326695,0.00145848964791281,0.125789123926992,0.0019741984740089,-2.23959152455992,0.00426463360600705,0.14978824113526,0.00620207397890672,-2.24730442135149,0.00135284879637041,0.156230885814062,0.00194443041129996,0.795469620027201
"11422-2",2200,-2.245641,0.1549768,0.1,0.8,0.112803921675592,0.156202143950995,-2.24753791876614,0.00131889357692452,0.153885240917225,0.00197968656805795,-2.24700807035573,0.00143553558147887,0.125998509559919,0.00197083959901054,-2.24802725249871,0.00418128142685399,0.156289933634615,0.00625622181828236,-2.24716486066378,0.00133854201341139,0.154895153178807,0.00194994765197735,0.803753497943054
"11422-3",2200,-2.245641,0.1549768,0.1,0.8,0.113295040963075,0.167697063369397,-2.24339677594841,0.00132223972452761,0.152440363902559,0.00197307491829414,-2.24466339465884,0.00145028966420541,0.127064063004559,0.0019698068750969,-2.24513185005648,0.00429707129425524,0.145617858415307,0.00621948086365283,-2.24452759829159,0.00135803522265604,0.15190966638892,0.00193326682046321,0.824228374542156
"11422-4",2200,-2.245641,0.1549768,0.1,0.8,0.113194481649477,0.164021164021164,-2.24349928790832,0.00130779037498309,0.155330664002697,0.0019800927320129,-2.24325930224932,0.00143009819091502,0.125920665758808,0.00196712002145807,-2.23870820589946,0.00425400891632231,0.151094315998468,0.00618934509635096,-2.24326674621875,0.00132686857376993,0.156257652524983,0.00196383442394967,0.793565769665729
"11422-5",2200,-2.245641,0.1549768,0.1,0.8,0.112569701608575,0.171111111111111,-2.24548947986057,0.00129584524935682,0.151583330700201,0.0019927247935747,-2.24574484988596,0.0014232077306192,0.121607126130594,0.00197070437314396,-2.2463241325439,0.00414498986306278,0.152233982780519,0.00627330651159495,-2.24585852209427,0.00132771999709867,0.151725708028829,0.00196588271417169,0.790492195781452
"11422-6",2200,-2.245641,0.1549768,0.1,0.8,0.112921994526849,0.170713201820941,-2.24535409799309,0.00131180353151847,0.15326645351643,0.00198192360961036,-2.24582034642313,0.00144063305383962,0.12485460368017,0.00197125925449359,-2.24511058944982,0.00422626031119084,0.154268865126674,0.00623186818671241,-2.24612804628967,0.00134405716018871,0.152904081369754,0.00195248152068386,0.808826370305519
"11422-7",2200,-2.245641,0.1549768,0.1,0.8,0.112990979208606,0.164750957854406,-2.2471963916619,0.00131933426320985,0.156693230908039,0.0019773943899637,-2.24669618172746,0.001443355670104,0.127252809156823,0.001970700862529,-2.25104932648443,0.00430978274150605,0.161027569568766,0.00621026749664057,-2.24708328407042,0.00134584394260241,0.156747075255908,0.00194386463424857,0.80455823639651
"11422-8",2200,-2.245641,0.1549768,0.1,0.8,0.113326346263503,0.158705701078582,-2.24316411227128,0.00132010542137955,0.153266139233387,0.00197351364072068,-2.24315573702411,0.00143927015124524,0.126464179121193,0.00196744743716085,-2.23959437461737,0.00424598693778525,0.155935605564725,0.00619342865621745,-2.2430328561174,0.00134787672994114,0.153084481313502,0.00194207569898984,0.813242394346597
"11422-9",2200,-2.245641,0.1549768,0.1,0.8,0.112694176207312,0.169895678092399,-2.24734162197742,0.00130147849286266,0.157185605236427,0.00198870004856725,-2.24697563119736,0.00142816007795189,0.125515442762372,0.00197064473715222,-2.25034223852588,0.00421711878817887,0.160959126677419,0.00623308485811491,-2.24679979953638,0.0013169243901834,0.157585755095895,0.00197710321594673,0.781032778800852
"11422-10",2200,-2.245641,0.1549768,0.1,0.8,0.113384534545346,0.164167324388319,-2.24638828427542,0.00133912202786759,0.156600392935236,0.0019677426882051,-2.24504736893315,0.00146380671878976,0.127415998345326,0.0019725492004523,-2.24701674073251,0.00418175717497461,0.152986289451995,0.0062570272903466,-2.24645116010309,0.0013718371871663,0.156516699639048,0.00192339978259139,0.818924638373692
"11422-11",2200,-2.245641,0.1549768,0.1,0.8,0.112933378414711,0.175491679273828,-2.24579014963093,0.00130961039567188,0.155112970398176,0.00198182716000821,-2.24574026609322,0.00144204340837207,0.12454483835993,0.00197080601069499,-2.24653054051212,0.00434881127005365,0.161068197990975,0.00618296890705608,-2.24549100531523,0.00133847180341679,0.15535452273635,0.00195494097835859,0.785989254472494
"11422-12",2200,-2.245641,0.1549768,0.1,0.8,0.112921869215564,0.172256097560976,-2.24720538289589,0.00131608981038918,0.156501159470101,0.00198023696872392,-2.24788530053515,0.0014471926320932,0.127902630093011,0.00197252193003343,-2.23855841282215,0.0041301493463557,0.148714055941746,0.00625456127120472,-2.24689957106903,0.00134345795011026,0.156857013158132,0.00194675205875613,0.791319768635418
"11422-13",2200,-2.245641,0.1549768,0.1,0.8,0.112756439858262,0.168639053254438,-2.24431016818611,0.00129458501880343,0.153013414417638,0.00199249265676464,-2.24332157159791,0.00141919184775931,0.120561318023227,0.00196963954287429,-2.24564407534812,0.00432932767892041,0.154318512389861,0.00619919697774903,-2.24385555201836,0.001317889282982,0.153427229893321,0.00197105050156037,0.779912513189703
