"LocationID","CountyName","binX_full","binXstar","PopulationDensity","LandArea","POP","DIABETES","binX_partial"
37001020100,"A",0,1,2243.4,1.7,3908,481,0
37001020200,"A",1,1,3112.6,1.3,4152,681,1
37001020300,"A",1,1,1871,4.3,8063,1226,1
37001020400,"A",1,1,1357.7,4.5,6059,1085,1
37001020501,"A",0,1,1297,2.8,3575,347,0
37001020502,"A",0,1,1806.8,2.1,3782,507,0
37001020601,"A",1,1,1496.2,2.2,3234,324,1
37001020602,"A",1,1,2255,1.1,2414,242,1
37001020701,"A",0,1,1721.4,2.6,4519,511,0
37001020702,"A",1,1,1622,2.9,4742,574,1
37001020801,"A",0,1,315.3,4.6,1450,172,0
37001020802,"A",1,1,3202.6,1.8,5857,938,1
37001020901,"A",0,1,1177.7,3,3583,366,0
37001020902,"A",0,0,853.7,4,3380,362,NA
37001021000,"A",1,1,2876,1.3,3720,651,1
37001021101,"A",0,0,855.5,3.1,2668,339,NA
37001021102,"A",0,1,797.3,4.2,3318,422,0
37001021201,"A",1,1,387.4,13.6,5252,767,1
37001021204,"A",0,0,333.6,12.8,4280,463,NA
37001021205,"A",1,1,1031.9,4.5,4636,432,1
37001021206,"A",0,1,862,5,4320,376,0
37001021207,"A",0,1,675.6,4.6,3086,343,0
37001021300,"A",0,0,115.5,52.5,6057,782,NA
37001021400,"A",0,0,104.5,25.4,2650,289,NA
37001021500,"A",0,0,131.6,35.6,4681,497,NA
37001021600,"A",0,0,538.6,12.9,6934,486,NA
37001021701,"A",0,0,1979.2,1.6,3237,298,NA
37001021702,"A",1,1,2491.2,2.1,5282,444,NA
37001021703,"A",1,1,543.4,9,4866,404,1
37001021801,"A",0,0,141.8,31.3,4441,445,NA
37001021802,"A",0,0,126.8,28,3553,327,NA
37001021803,"A",0,0,78.7,36.6,2879,303,NA
37001021901,"A",0,0,211.9,21.4,4535,445,NA
37001021902,"A",0,0,93.9,47.1,4423,403,NA
37001022001,"A",0,0,292.3,11.4,3319,329,NA
37001022002,"A",0,0,201.3,21.2,4276,492,NA
37033930100,"B",0,0,45.3,53.7,2436,383,NA
37033930200,"B",1,1,64,91.3,5838,870,1
37033930300,"B",0,0,92.3,45.1,4165,579,NA
37033930400,"B",0,0,54.5,48.5,2643,336,NA
37033930500,"B",0,0,63,61.1,3847,474,NA
37033930600,"B",0,0,38.2,125.3,4790,604,NA
37057060101,"C",0,0,1285.6,4.4,5633,412,NA
37057060102,"C",0,0,279.3,25.8,7213,614,NA
37057060201,"C",0,0,276.4,17.8,4909,531,NA
37057060202,"C",0,0,637.9,3.8,2424,279,NA
37057060203,"C",0,0,374.9,14.7,5528,515,NA
37057060301,"C",0,0,588.8,7.7,4534,427,NA
37057060302,"C",0,0,597.4,6.1,3620,312,NA
37057060303,"C",0,0,224.7,19.5,4372,403,NA
37057060304,"C",0,0,256.9,13.4,3445,331,NA
37057060400,"C",0,0,294.4,18.8,5533,554,NA
37057060500,"C",1,1,189.2,29.1,5499,633,1
37057060601,"C",0,0,638.6,6.8,4342,370,NA
37057060602,"C",0,0,495.8,5.2,2563,244,NA
37057060700,"C",1,1,1915.6,2.6,4915,644,1
37057060800,"C",0,1,1755.7,2.6,4538,718,0
37057060900,"C",0,0,1281.7,4.3,5471,580,NA
37057061000,"C",1,1,1644.5,3.1,5158,609,1
37057061100,"C",1,1,552.7,12.2,6744,763,1
37057061201,"C",1,1,667.7,8.8,5844,813,1
37057061202,"C",0,0,330.2,8.7,2857,315,NA
37057061300,"C",1,1,1992.8,1.1,2176,257,1
37057061400,"C",1,1,1511.5,2.2,3398,541,1
37057061500,"C",0,1,1109.9,5.6,6214,1032,0
37057061600,"C",0,1,907.7,3.2,2926,396,0
37057061701,"C",0,0,361,13.5,4857,467,NA
37057061702,"C",0,0,145.1,46.4,6730,788,NA
37057061703,"C",0,0,294.2,14.8,4349,453,NA
37057061802,"C",0,0,221.4,30.4,6740,641,NA
37057061803,"C",0,0,230.7,15.2,3503,368,NA
37057061804,"C",0,0,227.4,28.7,6536,726,NA
37057061901,"C",0,0,282.1,22.3,6301,631,NA
37057061902,"C",0,0,127,41.8,5308,611,NA
37057062001,"C",0,0,58.4,80.1,4677,487,NA
37057062002,"C",1,1,124.9,32.2,4021,499,1
37059080100,"D",0,0,88.4,87.6,7745,829,NA
37059080200,"D",0,0,137.8,37.8,5207,506,NA
37059080300,"D",0,0,321,27,8657,935,NA
37059080400,"D",0,0,114.9,44.8,5151,469,NA
37059080500,"D",0,0,349,12.7,4428,470,NA
37059080600,"D",0,1,180.4,20.3,3659,436,0
37059080700,"D",0,0,188.4,33.9,6393,761,NA
37067000100,"E",1,1,3697.6,0.6,2052,156,1
37067000200,"E",0,1,1876.3,0.6,1103,175,0
37067000301,"E",1,1,5200.6,0.3,1799,402,1
37067000302,"E",1,1,3990.1,0.5,1859,382,1
37067000400,"E",1,1,3886,0.8,3251,631,1
37067000500,"E",1,1,3796.1,0.6,2391,498,1
37067000600,"E",1,1,3980.2,0.5,2056,484,1
37067000700,"E",1,1,2495.9,0.7,1764,362,1
37067000801,"E",1,1,3845.4,0.8,3062,175,1
37067000802,"E",1,1,2602.8,0.8,2100,265,1
37067000900,"E",1,1,2961.9,1.2,3508,397,1
37067001000,"E",1,1,4219.7,1.1,4652,377,1
37067001100,"E",1,1,3632.1,0.6,2254,210,1
