"GEOID","CountyName","binX_full","binXstar","POP_DENS","METRO","O_POP","Y_DIABETES","binX_partial"
37001020100,NA,0,1,2243.4,TRUE,3908,481,0
37001020200,NA,1,1,3112.6,TRUE,4152,681,1
37001020300,NA,1,1,1871,TRUE,8063,1226,1
37001020400,NA,1,1,1357.7,TRUE,6059,1085,1
37001020501,NA,0,1,1297,TRUE,3575,347,0
37001020502,NA,0,1,1806.8,TRUE,3782,507,0
37001020601,NA,1,1,1496.2,TRUE,3234,324,1
37001020602,NA,1,1,2255,TRUE,2414,242,1
37001020701,NA,0,1,1721.4,TRUE,4519,511,0
37001020702,NA,1,1,1622,TRUE,4742,574,1
37001020801,NA,0,1,315.3,TRUE,1450,172,0
37001020802,NA,1,1,3202.6,TRUE,5857,938,1
37001020901,NA,0,1,1177.7,TRUE,3583,366,0
37001020902,NA,0,0,853.7,TRUE,3380,362,NA
37001021000,NA,1,1,2876,TRUE,3720,651,1
37001021101,NA,0,0,855.5,TRUE,2668,339,NA
37001021102,NA,0,1,797.3,TRUE,3318,422,0
37001021201,NA,1,1,387.4,TRUE,5252,767,1
37001021204,NA,0,0,333.6,TRUE,4280,463,NA
37001021205,NA,1,1,1031.9,TRUE,4636,432,1
37001021206,NA,0,1,862,TRUE,4320,376,0
37001021207,NA,0,1,675.6,TRUE,3086,343,0
37001021300,NA,0,0,115.5,TRUE,6057,782,NA
37001021400,NA,0,0,104.5,TRUE,2650,289,NA
37001021500,NA,0,0,131.6,TRUE,4681,497,NA
37001021600,NA,0,0,538.6,TRUE,6934,486,NA
37001021701,NA,0,0,1979.2,TRUE,3237,298,NA
37001021702,NA,1,1,2491.2,TRUE,5282,444,NA
37001021703,NA,1,1,543.4,TRUE,4866,404,1
37001021801,NA,0,0,141.8,TRUE,4441,445,NA
37001021802,NA,0,0,126.8,TRUE,3553,327,NA
37001021803,NA,0,0,78.7,TRUE,2879,303,NA
37001021901,NA,0,0,211.9,TRUE,4535,445,NA
37001021902,NA,0,0,93.9,TRUE,4423,403,NA
37001022001,NA,0,0,292.3,TRUE,3319,329,NA
37001022002,NA,0,0,201.3,TRUE,4276,492,NA
37033930100,NA,0,0,45.3,FALSE,2436,383,NA
37033930200,NA,1,1,64,FALSE,5838,870,1
37033930300,NA,0,0,92.3,FALSE,4165,579,NA
37033930400,NA,0,0,54.5,TRUE,2643,336,NA
37033930500,NA,0,0,63,TRUE,3847,474,NA
37033930600,NA,0,0,38.2,TRUE,4790,604,NA
37057060101,NA,0,0,1285.6,TRUE,5633,412,NA
37057060102,NA,0,0,279.3,TRUE,7213,614,NA
37057060201,NA,0,0,276.4,TRUE,4909,531,NA
37057060202,NA,0,0,637.9,TRUE,2424,279,NA
37057060203,NA,0,0,374.9,TRUE,5528,515,NA
37057060301,NA,0,0,588.8,TRUE,4534,427,NA
37057060302,NA,0,0,597.4,TRUE,3620,312,NA
37057060303,NA,0,0,224.7,TRUE,4372,403,NA
37057060304,NA,0,0,256.9,TRUE,3445,331,NA
37057060400,NA,0,0,294.4,TRUE,5533,554,NA
37057060500,NA,1,1,189.2,TRUE,5499,633,1
37057060601,NA,0,0,638.6,TRUE,4342,370,NA
37057060602,NA,0,0,495.8,TRUE,2563,244,NA
37057060700,NA,1,1,1915.6,TRUE,4915,644,1
37057060800,NA,0,1,1755.7,TRUE,4538,718,0
37057060900,NA,0,0,1281.7,TRUE,5471,580,NA
37057061000,NA,1,1,1644.5,TRUE,5158,609,1
37057061100,NA,1,1,552.7,TRUE,6744,763,1
37057061201,NA,1,1,667.7,TRUE,5844,813,1
37057061202,NA,0,0,330.2,TRUE,2857,315,NA
37057061300,NA,1,1,1992.8,TRUE,2176,257,1
37057061400,NA,1,1,1511.5,TRUE,3398,541,1
37057061500,NA,0,1,1109.9,TRUE,6214,1032,0
37057061600,NA,0,1,907.7,TRUE,2926,396,0
37057061701,NA,0,0,361,TRUE,4857,467,NA
37057061702,NA,0,0,145.1,TRUE,6730,788,NA
37057061703,NA,0,0,294.2,TRUE,4349,453,NA
37057061802,NA,0,0,221.4,TRUE,6740,641,NA
37057061803,NA,0,0,230.7,TRUE,3503,368,NA
37057061804,NA,0,0,227.4,TRUE,6536,726,NA
37057061901,NA,0,0,282.1,TRUE,6301,631,NA
37057061902,NA,0,0,127,TRUE,5308,611,NA
37057062001,NA,0,0,58.4,TRUE,4677,487,NA
