"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"seed1031-run1",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,2.19722457733622,0.9,0.895454545454546,0.117394484596826,0.202334630350195,-2.27643139833196,0.00195727691318994,0.175353418481364,0.00209095764851283,0.139876625304242,0.0063301672266801,-2.27435375544526,0.0021584066662214,0.157311626262004,0.00224085875194123,0.135605002290117,0.00634057572789141,-2.28836645547595,0.0104660207286289,0.179827631880799,0.0105114536040748,0.185617888484055,0.0200577905975839,-2.27608044371586,0.00202226194495675,0.174986648286563,0.00653473428599158,0.140871018268314,0.00210654880466116,2.25436446693703,0.114630062663126,-0.523044896798399,0.607968610097492,"Converged",""
"seed1031-run2",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,2.19722457733622,0.9,0.904545454545455,0.117058795676028,0.198482932996207,-2.27912575026272,0.00190420404898646,0.178338532467894,0.00207246640713286,0.138414797154742,0.00648050111684937,-2.27884652946879,0.00209874879475613,0.161098992560624,0.00221483388191461,0.140471535778545,0.00648342165424108,-2.26627431100187,0.0108403959321206,0.16376466074973,0.0108723468623625,0.137487799832081,0.0274828391309188,-2.2788282139492,0.00198764617634847,0.178002816902425,0.00670345904418564,0.13770513139636,0.00210001247626607,2.16035072363908,0.113762465177087,0.324651064154443,0.659364523042664,"Converged",""
"seed1031-run3",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,2.19722457733622,0.9,0.918181818181818,0.117176748058836,0.196153846153846,-2.27755656851912,0.00190232947154246,0.174276071127406,0.00207973360111092,0.147625034468857,0.00598471617778135,-2.27784757455288,0.00210044790158518,0.158579370475705,0.00222324544919483,0.150173515905936,0.00599655342064198,-2.2818087417755,0.0114116892382628,0.179833759601924,0.0117805039724605,0.138723179491393,0.015970263835595,-2.27794854883041,0.00197789885183612,0.174352241745341,0.00622332797277586,0.150403759069725,0.00208824942433907,2.2353745697318,0.1153525343164,-0.0482540169966337,0.630781204228061,"Converged",""
"seed1031-run4",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,2.19722457733622,0.9,0.881818181818182,0.116788570820818,0.185406698564593,-2.27667173518853,0.00184774972525086,0.175134562971331,0.00204280598459006,0.143951358155966,0.00621308936431021,-2.27604110277628,0.00201333858885844,0.158354301031753,0.00216200547239183,0.140107710688738,0.00620930789782278,-2.2676614762185,0.010081418629651,0.162112810033228,0.00996231035665923,0.148643940645605,0.0215074830386237,-2.27694853089229,0.00189549982432504,0.175492685979281,0.00644790725180535,0.145161244744779,0.00204979384987168,2.21846467926375,0.114007205303262,-0.456912304381186,0.581307270033758,"Converged",""
"seed1031-run5",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,2.19722457733622,0.9,0.886363636363636,0.116899043064109,0.182260024301337,-2.28138758841068,0.00186578103052217,0.180104306558982,0.00205388051267176,0.146271702455963,0.00575318464604826,-2.28186352240172,0.0020365690468722,0.164610265658084,0.00217532563505287,0.145272397685173,0.00575549815582125,-2.28802235664634,0.0101310209904324,0.187594717111946,0.0101483785139771,0.16228735002101,0.0188894087286367,-2.28144051857682,0.00193585402217603,0.180202170276629,0.0060135001422344,0.146466609502157,0.00206265360061587,2.23019896383631,0.115650760247234,-0.138468880534715,0.581743042784642,"Converged",""
"seed1031-run6",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,2.19722457733622,0.9,0.922727272727273,0.116975586490741,0.185696361355082,-2.27760449114935,0.00190421413855759,0.174216256100262,0.00206793143947972,0.145116888489279,0.00649289267160067,-2.27626743027606,0.00208013094243229,0.15697414750892,0.0021962307725034,0.145443544386284,0.00649345856941731,-2.28109414243356,0.011802514478794,0.175915432493912,0.0121877266137154,0.145001122590806,0.0223250599344368,-2.27701217956832,0.00197026722261071,0.173973020041474,0.00676639625458537,0.143280417093838,0.0020793186517396,2.19897250396114,0.117707445886736,0.269750177789114,0.67376309294724,"Converged",""
"seed1031-run7",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,2.19722457733622,0.9,0.936363636363636,0.117278278379468,0.148578811369509,-2.27956716595953,0.00188785392315854,0.177388919208861,0.00208137371616516,0.145556389134819,0.00581413015690699,-2.27979851313916,0.00202841596339811,0.164985039132843,0.00218305113666557,0.148804801696742,0.00581610778374899,-2.27473315105736,0.0129358133159279,0.175551511381332,0.0133564888565214,0.1334490706318,0.0169557304962662,-2.27918127810554,0.00192807473346874,0.177180039533504,0.00602228048647844,0.146784555958638,0.00208567869643892,2.4429096398325,0.127202769727605,0.250279270877981,0.685027772350258,"Converged",""
"seed1031-run8",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,2.19722457733622,0.9,0.890909090909091,0.116622167841554,0.208383233532934,-2.28047892271932,0.0018393962770954,0.179622011483515,0.00204466335776877,0.142937546638781,0.0064544770995572,-2.28317769459713,0.00205385022020137,0.162010153519924,0.00218779779115738,0.159108101486104,0.00646145106389624,-2.27984944018303,0.0100263273691932,0.181272693347298,0.0103104466325119,0.141160895739255,0.0228382805210262,-2.28101287187331,0.00191301497298101,0.179779333672622,0.00668492554934416,0.143971631370699,0.00206539868259866,1.91539249213733,0.109264491742617,1.75483522259443,0.787315314711259,"Converged",""
"seed1031-run9",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,2.19722457733622,0.9,0.9,0.117114251244774,0.170610211706102,-2.27960559214794,0.00186797862280639,0.179184828046725,0.00206194655887915,0.142266527731369,0.00600502333339269,-2.28099042320454,0.00203135599440814,0.165357893947315,0.00217766517566449,0.148026767856019,0.00599683707791146,-2.26872735575625,0.0103484460642606,0.169162522836731,0.0106844300837765,0.14592957096834,0.0201363322150466,-2.27972444986901,0.00193993889495227,0.179136818219225,0.00618954411048017,0.14286512988038,0.00208443939890413,2.25329628223955,0.121769489358232,0.687176311990576,0.698668757931915,"Converged",""
"seed1031-run10",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,2.19722457733622,0.9,0.904545454545455,0.117092342446534,0.181592039800995,-2.27709435189878,0.00189694689593816,0.17720427883224,0.00206815229706415,0.138489714044801,0.00615428128622849,-2.27750337662852,0.00208358014500896,0.161408588863662,0.00219671750894922,0.143858464369403,0.00617511323031916,-2.27809734582594,0.0109712379018969,0.18226433153434,0.0109862691322883,0.12067774892592,0.0254201057126678,-2.27684695171138,0.00196692082081585,0.177045799808359,0.00634592499638128,0.136454406724281,0.0020893557809812,2.16708756264328,0.116125492101797,1.01644144717676,0.770869794389851,"Converged",""
